# Transcript: douyin_7220273329960242470

- URL: https://www.douyin.com/video/7220273329960242470
- Title: 627 助阵重庆质检员的首次山城百分大战，希望帮助更多的年轻球员在赛场绽放自我 #山城百分大战 #waveball
- Published at: 2023-04-10 12:28:06+0800
- Generated at: 2026-06-12T17:51:10.512583+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:29.980] 一段中文篮球投篮教学、投篮动作分析、发力矫正和训练视频。
[00:00:30.000 --> 00:00:59.980] 一段中文篮球投篮教学、投篮动作分析、发力矫正和训练视频。
[00:01:00.000 --> 00:01:29.980] 一段中文篮球投篮教学、投篮动作分析、发力矫正和训练视频。
[00:01:30.000 --> 00:01:59.980] 一段中文篮球投篮教学、投篮动作分析、发力矫正和训练视频。
[00:02:00.000 --> 00:02:29.980] 一段中文篮球投篮教学、投篮动作分析、发力矫正和训练视频。
[00:02:30.000 --> 00:02:34.000] 一段中文篮球投篮教学、投篮动作分析、发力矫正和训练视频。
[00:02:34.000 --> 00:02:40.000] 一段中文篮球投篮教学、投篮动作分析、发力矫正和训练视频。
[00:02:40.000 --> 00:02:50.000] 一段中文篮球投篮教学、投篮动作分析、发力矫正和训练视频。
[00:02:50.000 --> 00:02:58.000] 一段中文篮球投篮教学、投篮动作分析、发力矫正和训练视频。
[00:03:00.000 --> 00:03:10.000] 一段中文篮球投篮教学、投篮动作分析、发力矫正和训练视频。
[00:03:10.000 --> 00:03:20.000] 一段中文篮球投篮教学、投篮动作分析、发力矫正和训练视频。
[00:03:20.000 --> 00:03:28.000] 一段中文篮球投篮教学、投篮动作分析、发力矫正和训练视频。
[00:03:28.000 --> 00:03:29.000] 一段中文篮球投篮教学、投篮动作分析、发力矫正和训练视频。
[00:03:29.000 --> 00:03:30.000] 一段中文篮球投篮教学、投篮动作分析、发力矫正和训练视频。
[00:03:30.000 --> 00:03:31.000] 一段中文篮球投篮教学、投篮动作分析、发力矫正和训练视频。
[00:03:31.000 --> 00:03:32.000] 一段中文篮球投篮教学、投篮动作分析、发力矫正和训练视频。
[00:03:32.000 --> 00:03:33.000] 一段中文篮球投篮教学、投篮动作分析、发力矫正和训练视频。
[00:03:33.000 --> 00:03:34.000] 一段中文篮球投篮教学、投篮动作分析、发力矫正和训练视频。
[00:03:34.000 --> 00:03:35.000] 一段中文篮球投篮教学、投篮动作分析、发力矫正和训练视频。
[00:03:35.000 --> 00:03:36.000] 一段中文篮球投篮教学、投篮动作分析、发力矫正和训练视频。
