# Transcript: douyin_7431142699882908937

- URL: https://www.douyin.com/video/7431142699882908937
- Title: 1946 西班牙联赛球员的投篮技术优化 发力扭曲，投篮卡顿！ 西班牙联赛球员的发力矫正与投篮技术优化 #投篮教学 #发力矫正 #waveball
- Published at: 2024-10-29 18:28:57+0800
- Generated at: 2026-06-12T17:37:09.198188+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:05.800] 这是9月我在北京对一位西班牙联赛职业球员的发力矫正与投篮技术优化内容。
[00:00:06.120 --> 00:00:09.040] 他主要存在发力扭曲与投篮速度慢的问题。
[00:00:09.620 --> 00:00:13.000] 本期视频主要总结对他进行矫正训练的两大方面。
[00:00:13.540 --> 00:00:16.020] 第一方面是对他的上肢发力进行了优化。
[00:00:16.440 --> 00:00:24.360] 他在投篮时右肩存在明显卡顿,肩部无法顺畅发力,手腕更多的带长发力,投篮手型频繁出现内撇的现象。
[00:00:24.360 --> 00:00:34.480] 首先是从出球轨迹上,要求他更多的侧伸右肩对框,从以前的头中出手更多的向右肩出手,这能让右侧的肩肘更加顺畅的完成伸展。
[00:00:34.780 --> 00:00:40.480] 其次是发力分序上,要求他保持先向上抬肩肘,再向前伸肘压腕的发力分序。
[00:00:41.200 --> 00:00:44.600] 此外我们还结合了特定的持球脚步做矫正练习。
[00:00:45.020 --> 00:00:49.220] 他在投篮中双肩存在明显的不平衡,左肩过高压迫右肩。
[00:00:49.220 --> 00:00:52.840] 我们通过向左的外侧脚急停,让左侧更多的压缩,
[00:00:52.840 --> 00:00:58.300] 同时结合左手的悬浮球,更多的让左手来起球,让右侧更加放松的向上起球。
[00:00:58.300 --> 00:01:02.680] 两侧就能达到相对的平衡,此练习效果也是非常显著。
[00:01:06.920 --> 00:01:09.480] 第二方面是提高他投篮的整体速度。
[00:01:09.840 --> 00:01:13.500] 首先强调提高他起球的速度,也就是向上摆臂的速度。
[00:01:13.860 --> 00:01:19.200] 同时在上肢发力点不要刻意停顿,保持小臂手腕的弹性,更快速的爆发出手。
[00:01:20.100 --> 00:01:22.780] 其次是提高该球员的下肢发力效率。
[00:01:22.840 --> 00:01:27.900] 该球员下肢存在部分关节灵活度受限的问题,不擅长大幅度的降重心,
[00:01:28.200 --> 00:01:34.040] 像他惯用的一二步单脚急停,需要更低的重心来制动,同时上步时还会产生一定的旋转,
[00:01:34.380 --> 00:01:38.440] 对身体的控制要求更高,但整体的变量多,发力效率不高。
[00:01:38.780 --> 00:01:44.480] 更推荐他小幅度的降重心,利用弹性来投篮,也就是让他更多采用双脚的垫步急停,
[00:01:44.800 --> 00:01:50.580] 垫步能高效的利用脚踝与臀部力量,轻松建立身体平衡的同时,利用快速的弹性来投篮,
[00:01:50.580 --> 00:01:52.320] 减少变量提高稳定性。
[00:01:52.840 --> 00:01:54.740] 实球与接球投篮中都能适配。
