# Transcript: douyin_7194670421717847355

- URL: https://www.douyin.com/video/7194670421717847355
- Title: 9936 为何都说他才是今年CBA准状元！总决赛邹阳与陈国豪赛场表现完整解读！ #邹阳 #陈国豪 #cba选秀
- Published at: 2023-01-31 12:35:45+0800
- Generated at: 2026-06-12T17:56:13.161997+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:02.300] 大家好,这里是篮球风云微博。
[00:00:03.080 --> 00:00:07.480] 本期视频将以独家视角回顾今年CBA选秀状元大热,
[00:00:07.600 --> 00:00:10.980] 邹洋与陈国豪在CUB总决赛上的表现。
[00:00:11.200 --> 00:00:15.120] 首先我们看第一球,邹洋破坏了广东的传导后直接快下,
[00:00:15.920 --> 00:00:19.360] 接到长传上篮遭到了陈国豪的回追封盖,
[00:00:19.860 --> 00:00:22.980] 挨了广东的进攻合合陈国豪上线持球,
[00:00:23.880 --> 00:00:28.160] 出右路遭到王岚清的抢断,快攻一条龙打进。
[00:00:28.160 --> 00:00:30.640] 广东的边线球,
[00:00:30.640 --> 00:00:34.920] 邹洋好好接球,再次把球给到陈国豪,
[00:00:35.560 --> 00:00:38.660] 陈国豪在三分线选择了投篮,命中。
[00:00:40.540 --> 00:00:43.000] 还是广东工业大学的进攻回合,
[00:00:45.680 --> 00:00:49.060] 陈国豪在外线要球,观察防守站位,
[00:00:50.100 --> 00:00:53.800] 刺探虚晃后直接突左路,抛投打进。
[00:00:55.660 --> 00:00:58.080] 王岚清选择了快发底线球,
[00:00:58.160 --> 00:01:01.520] 长传找到了前叉的邹洋,反手上篮予以回应。
[00:01:03.100 --> 00:01:06.500] 宋一朗持球找到陈国豪,陈国豪再次选择了三分,
[00:01:06.920 --> 00:01:08.200] 投出了一记三不沾。
[00:01:08.600 --> 00:01:11.760] 好,此处我们简要分析一下陈国豪的投篮问题。
[00:01:12.360 --> 00:01:16.840] 他接球后,起球与降中心同步,上下肢发力是脱节的,
[00:01:17.340 --> 00:01:19.160] 主要依赖上肢的力量来投篮,
[00:01:19.520 --> 00:01:23.160] 这种模式下在高压防守或者体能短缺的情况下,
[00:01:23.280 --> 00:01:24.680] 上肢是极易变形的。
[00:01:25.200 --> 00:01:26.300] 再次回到比赛,
[00:01:26.300 --> 00:01:30.300] 邹洋持球推进,遭到包夹后与朱思宇做了一个短传配合,
[00:01:30.400 --> 00:01:33.140] 突入禁区,遭到了陈国豪的打手犯规。
[00:01:36.140 --> 00:01:40.060] 一边再战,陈国豪顶壶持球,仍然是突他熟悉的左侧,
[00:01:40.460 --> 00:01:41.960] 顶着防守,抛投打进。
[00:01:43.940 --> 00:01:46.940] 仍然是广攻的进攻,陈国豪在外线持球试探,
[00:01:47.360 --> 00:01:50.660] 选择了后撤步三分,同样的问题,再次三不沾。
[00:01:51.160 --> 00:01:54.060] 来看下一球,清华进攻,文松接球上篮,
[00:01:54.500 --> 00:01:55.980] 陈国豪的强悍防守,
[00:01:55.980 --> 00:01:57.480] 造成了文松的失误。
