# Transcript: douyin_7137609234778262795

- URL: https://www.douyin.com/video/7137609234778262795
- Title: 6.4万 90%的人投篮还不会屈髋，纳什亲授保姆级教程，从根源解决投篮前倾 #库里 #布克 #waveball
- Published at: 2022-08-30 18:09:12+0800
- Generated at: 2026-06-12T18:03:47.946804+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:20.880] 投篮时身体重心前冲,大幅度前跳是困扰很多球友的一大顽疾。尤其在三分投篮时,很多球友由于下肢伸展缓慢,投篮难以用到下肢的力量,投篮发力脱节。投篮力量主要来自上肢,而大多数人单凭上肢力量,在远距离投篮是很吃力的,本能反应会向前跳,向前投去借力。
[00:00:20.880 --> 00:00:34.760] 投篮时身体重心前冲,大幅度前跳不仅姿态难看,同时严重降低了投篮的发力效率,影响投篮的稳定性。问题的根源在于他们在投篮时,低效的下肢发力模型以及错误的躯干头部姿态。
[00:00:34.760 --> 00:00:50.840] 首先,很多人在投篮时,还不会屈髋,会把屈髋环节做成了弯腰弓背,同时头部前瘫,下巴超过了脚尖,在蓄力阶段身体重心就已前倾了。那么该如何正确的屈髋蓄力呢?我们在那时的投篮教学中可以找到答案。
[00:00:50.840 --> 00:01:03.840] 我希望你能够在那些位置,你能够保持这个平衡,你能够下跌,然后跳起来,然后很好的早上出发,尤其是暖身是一个很好的方法,以创造韵律。
[00:01:03.840 --> 00:01:12.840] 你的肩胛是前面的,因为我们在前面玩游戏,对吗?但我不想它掉下来,我希望肩胛在这里,对吗?掉下来,只是一点点。
[00:01:12.840 --> 00:01:15.840] 那是一个很好的位置。现在我们将你的腿摆在这里,只是一点点。
[00:01:15.840 --> 00:01:20.840] 所以,我希望你走到地上,在你的腿上的球,跟这些人一起走。
[00:01:20.840 --> 00:01:23.840] 然后在空中跳起来。
[00:01:23.840 --> 00:01:27.840] 好,所以你感觉到你用了那些多的力量。
[00:01:27.840 --> 00:01:30.840] 我希望你能够到一个地步,你只是跳下来。
[00:01:30.840 --> 00:01:31.840] 下跌。
[00:01:31.840 --> 00:01:32.840] 是的,更好的位置。
[00:01:32.840 --> 00:01:35.840] 现在,你把你的腿的重量放在你的腿的球上。
[00:01:35.840 --> 00:01:36.840] 向前踢。
[00:01:36.840 --> 00:01:38.840] 然后能够跳起来。
[00:01:38.840 --> 00:01:39.840] 好。
[00:01:39.840 --> 00:01:44.840] 另一个能够帮助你的事情是,你的动作开始在上方,然后你在上面放下它。
[00:01:44.840 --> 00:01:45.840] 对吗?
[00:01:45.840 --> 00:01:49.840] 这样你使用了,因为现在我感觉你,你想要获得更多的能量。
[00:01:49.840 --> 00:01:54.840] 我认为有些可能是因为你可能会到上面,然后还在打。
[00:01:54.840 --> 00:01:55.840] 对吗?
[00:01:55.840 --> 00:01:58.840] 不然,我几乎想要你去复杂,在打前面。
[00:01:58.840 --> 00:01:59.840] 好的。
[00:01:59.840 --> 00:02:00.840] 你知道我意思吗?
[00:02:00.840 --> 00:02:04.840] 所以,从你推到地上到开放的力量,那是永维的运动。
[00:02:04.840 --> 00:02:05.840] 上去。
[00:02:05.840 --> 00:02:07.840] 我喜欢这个。
[00:02:09.840 --> 00:02:11.840] 更好的位置,好球。
[00:02:11.840 --> 00:02:12.840] 一个动作。
[00:02:12.840 --> 00:02:14.840] 像一个大门。
[00:02:15.840 --> 00:02:17.840] 看,那是一个漂亮的球。
[00:02:19.840 --> 00:02:49.840] 这样的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的画面的
[00:02:49.840 --> 00:02:51.560] 可以让你提前去宽
[00:02:51.560 --> 00:02:53.900] 在踏出第一步时就开始将重心
[00:02:53.900 --> 00:02:55.840] 在空中就完成了降重心
[00:02:55.840 --> 00:02:58.480] 第二步触地的瞬间就衔接登地启动
[00:02:58.480 --> 00:02:59.780] 下肢伸展向上跳
[00:02:59.780 --> 00:03:00.720] 同时起球
[00:03:00.720 --> 00:03:05.440] 我们同样可以练习一二步
[00:03:05.440 --> 00:03:08.040] 来培养多取宽少屈膝的发力习惯
[00:03:08.040 --> 00:03:14.000] 最后需要补充一点
[00:03:14.000 --> 00:03:16.200] 有些人在进行两段式跳投时
[00:03:16.200 --> 00:03:18.320] 在出手后会有前跳的现象
[00:03:18.320 --> 00:03:19.760] 这属于正常情况
[00:03:19.760 --> 00:03:20.600] 无需纠正
[00:03:20.600 --> 00:03:22.200] 此类以科比为代表
[00:03:22.200 --> 00:03:24.120] 它是通过大幅度的屈膝屈宽
[00:03:24.120 --> 00:03:25.640] 来充分蓄力起跳
[00:03:25.640 --> 00:03:29.180] 上肢会在空中等待下肢完全伸展后发力出手
[00:03:29.180 --> 00:03:32.360] 而两段式投篮本身就是前后发力的投篮
[00:03:32.360 --> 00:03:35.700] 它会通过前摆双腿或单腿来平衡身体重心
[00:03:35.700 --> 00:03:38.260] 最终形成了出手后的小幅度前跳
