# Transcript: douyin_7200672049872833851

- URL: https://www.douyin.com/video/7200672049872833851
- Title: 507 有幸向@于洋说拳 学习与交流传统武术中的发力模式，这与我们之前探讨、研究的在篮球运动中利用弹性发力的内容高度相似！#投篮教学 #筋膜训练
- Published at: 2023-02-16 16:45:08+0800
- Generated at: 2026-06-12T17:53:57.379986+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:02.000] 一刮,咻!
[00:00:02.000 --> 00:00:06.000] 我这只腿要撑起来,因为我前后腿是撑起来的。
[00:00:06.000 --> 00:00:09.000] 我它,对阵。
[00:00:09.000 --> 00:00:13.000] 比如说,腿撑起来,一直撑起来,很松很松。
[00:00:13.000 --> 00:00:16.000] 那我的撑起来脚底中是不是类似地盘是缝起来的?
[00:00:16.000 --> 00:00:21.000] 但是相对又有个弹性,这种感觉,我会上来,有个弹性。
[00:00:21.000 --> 00:00:25.000] 就是失中的那种弹性,失能是一体之间的一体。
[00:00:25.000 --> 00:00:27.000] 那种除非之在,好夸张大家。
[00:00:27.000 --> 00:00:29.000] 准备,跳!
[00:00:30.000 --> 00:00:32.000] 再来准备跳,正量跳。
[00:00:32.000 --> 00:00:35.000] 跳!准备,踢!
[00:00:35.000 --> 00:00:37.000] 就是我随时可以跳。
[00:00:37.000 --> 00:00:39.000] 而不是说,准备跳,我有个准备的。
[00:00:39.000 --> 00:00:41.000] 准备,一腰跳就走。
[00:00:41.000 --> 00:00:43.000] 这失中。
[00:00:43.000 --> 00:00:45.000] 失中我那个弹性,失能在。
[00:00:45.000 --> 00:00:47.000] 但是我很放松,很放松。
[00:00:47.000 --> 00:00:49.000] 随时都可以。
[00:00:49.000 --> 00:00:52.000] 精打精打,就是那种感觉。
[00:00:52.000 --> 00:00:53.000] 随时有点好弹。
[00:00:53.000 --> 00:00:55.000] 你看后腿撑起来。
[00:00:55.000 --> 00:00:56.000] 前腿撑起来。
[00:00:56.000 --> 00:00:58.000] 前后腿,习惯见不到。
[00:00:58.000 --> 00:00:59.000] 有个撑。
[00:00:59.000 --> 00:01:01.000] 这技术上从后头,过来。
[00:01:01.000 --> 00:01:03.000] 微射这样过。
[00:01:03.000 --> 00:01:05.000] 我现在打的最差。
[00:01:05.000 --> 00:01:07.000] 后面我一拍,我也是最差。
[00:01:07.000 --> 00:01:11.000] 我在拉长的过程中,我以离影,我在办法。
[00:01:11.000 --> 00:01:14.000] 拉长的过程中,你看我在以离影,是它更长了。
[00:01:14.000 --> 00:01:16.000] 是它更长了。
[00:01:16.000 --> 00:01:19.000] 所以说,一人行为,一人行为。
[00:01:19.000 --> 00:01:23.000] 从后面开始一个,包括小腿打的,离影是一共。
[00:01:23.000 --> 00:01:25.000] 弹不出来。
[00:01:25.000 --> 00:01:28.000] 微勾它,有过张力。
[00:01:28.000 --> 00:01:30.000] 你看,你看,你看。
[00:01:30.000 --> 00:01:32.000] 都是。
[00:01:32.000 --> 00:01:35.000] 这些感觉很痛,干嘛这样。
[00:01:35.000 --> 00:01:41.000] 就是,用多的力气,你说,微微有个短度,是可以向下走。
[00:01:41.000 --> 00:01:43.000] 但是不要刻意去攻。
[00:01:43.000 --> 00:01:46.000] 不要刻意去攻敝脉。
[00:01:46.000 --> 00:01:49.000] 微微一做就闪着。
[00:01:49.000 --> 00:01:52.000] 你做的目的是把这些运动解起来。
[00:01:52.000 --> 00:01:53.000] 这个技术在上进。
[00:01:53.000 --> 00:01:57.000] 你感觉你做,使它们都来做张力的形成。
[00:01:57.000 --> 00:01:58.000] 很华裔。
[00:01:58.000 --> 00:02:00.000] 不弹不弹,不会打得。
[00:02:00.000 --> 00:02:03.000] 通出来,就是一条线。
[00:02:03.000 --> 00:02:06.000] 有一种传统力,有种发作。
