# Transcript: douyin_7011435359858953504

- URL: https://www.douyin.com/video/7011435359858953504
- Title: 5.3万 技术解析|“触地即弹”NBA顶级射手踮脚投篮的秘密 #投篮教学 #篮球干货 #库里 #汤普森
- Published at: 2021-09-24 17:50:07+0800
- Generated at: 2026-06-12T18:12:53.931760+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:01.260] 这是汤普森的投篮。
[00:00:03.180 --> 00:00:04.340] 这是库里的投篮。
[00:00:07.060 --> 00:00:08.160] 这是布克的投篮。
[00:00:10.300 --> 00:00:11.400] 这是哈登的投篮。
[00:00:14.860 --> 00:00:26.240] 在他们的这些投篮中,我们观察他们的脚步细节,他们在投篮前都有一个共同点,会快速点起脚尖,用脚尖发力起跳,那么用点脚发力投篮,到底有什么优势?
[00:00:26.240 --> 00:00:31.640] 用脚尖起跳能获得更快的弹速,发力更加集中,让起跳变得轻松省力。
[00:00:32.040 --> 00:00:34.380] 同时点脚可以自然带动屈膝、屈髋。
[00:00:34.660 --> 00:00:43.660] 从力学角度来看,我们的足弓就像弹簧,当我们点脚时弹簧能更充分的蓄力,其次点脚时小腿肌肉群也是处于拉伸蓄力状态。
[00:00:43.980 --> 00:00:52.920] 脚步肌肉群与小腿肌肉群的超等长收缩,产生了远超肌肉拉伸时的力,超等长收缩的优点,更大力量,更快速度,更省力。
[00:00:52.920 --> 00:00:57.000] 我们在跳绳运动中,能直接的体会到这种触底击弹的感觉。
[00:00:57.400 --> 00:01:02.300] 相对于脚尖发力的模式,我们常见的是脚掌发力模式,用脚掌发力起跳。
[00:01:02.660 --> 00:01:06.440] 身体更容易保持平衡,但触底时间长,能量损耗较大。
[00:01:06.760 --> 00:01:10.720] 其次用脚掌发力起跳调动的是大腿肌肉群,起跳速度慢。
[00:01:11.160 --> 00:01:15.180] 这也是一些人明明用了很大力气,投三分仍然吃力的原因之一。
[00:01:15.380 --> 00:01:20.420] 尤其在实战比赛中,复刻、哈登等球员投篮前的点脚习惯更加明显。
[00:01:20.740 --> 00:01:22.900] 甚至还运用到了他们创造投篮空间。
[00:01:22.920 --> 00:01:27.780] 在脚尖的脚步中,点脚发力这项技术也是解决投篮手快脚慢的方法之一。
[00:01:28.120 --> 00:01:33.080] 我们在学习这项技术时,需要注意的是,点脚发力的关键是不要过度用力。
[00:01:33.480 --> 00:01:36.740] 过度用力会导致脚尖无法承受,破坏身体的平衡。
[00:01:37.220 --> 00:01:40.300] 其次,点脚与起跳衔接要快速,不要停顿。
[00:01:40.680 --> 00:01:49.860] 这是因为肌肉在被牵拉后,如果没有立即进行向心收缩,牵拉的时间太长,会运动幅度太大,那么弹性能量就会以热量的形式流失。
[00:01:50.100 --> 00:01:52.900] 最后,分享两种脚尖发力起跳的训练。
[00:01:52.920 --> 00:01:55.460] 方法一,剪刀步投篮训练。
[00:01:57.560 --> 00:01:59.460] 方法二,垫步投篮训练。
