# Transcript: douyin_7046281596852374816

- URL: https://www.douyin.com/video/7046281596852374816
- Title: 3.4万 “吸球”与“拉腕”，库里投篮上肢发力细节深度解析！ #库里 #篮球教学 #waveball
- Published at: 2021-12-27 15:31:19+0800
- Generated at: 2026-06-12T18:10:01.063041+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:04.060] 前面我们讲到了库里投篮上肢发力的核心技术甩边发力。
[00:00:04.400 --> 00:00:07.780] 本期视频将深度解析库里甩边发力的具体细节。
[00:00:08.200 --> 00:00:13.960] 很多人认为库里的投篮上肢发力是推投,其实用甩投来描述库里的投篮更加准确。
[00:00:14.400 --> 00:00:16.340] 那么推投与甩投有什么区别呢?
[00:00:16.740 --> 00:00:25.400] 推投主要是借助胸部及肩部的力量将球向上推,压腕较浅,球的弧度高,球的旋转较弱,在中远距离落点难以控制。
[00:00:25.620 --> 00:00:28.860] 推投这种发力形式常见于近距离的抛投。
[00:00:28.860 --> 00:00:39.140] 而库里的甩投主要是通过顶肘,利用手臂和手腕的力量将球甩出,压腕非常充分,球的旋转强烈,在远距离能更好地控制球的落点。
[00:00:39.520 --> 00:00:44.520] 香港的知名篮球教练Coach飞用吸和拉来形容库里投篮的上肢发力。
[00:00:44.980 --> 00:00:49.340] 吸就是利用下肢产生的弹性,再通过辅助手的力量顺势起球。
[00:00:49.820 --> 00:00:51.960] 投篮手利用向上的惯性吸住篮球。
[00:00:52.200 --> 00:00:58.620] 拉直的是,当向上的惯性产生时,投篮手手臂快速发力拉直手肘,手腕顺势下压。
[00:00:59.000 --> 00:01:01.640] 吸与拉是连贯的动作,没有明显停顿。
[00:01:02.060 --> 00:01:07.700] Coach飞吸拉理念,能帮助我们更加直观深刻地理解,库里投篮的上肢发力。
[00:01:08.100 --> 00:01:12.320] 我们再回到库里投篮上肢发力的具体细节,首先是持球。
[00:01:12.700 --> 00:01:20.940] 库里使用的是投篮手相对放松自然的侧腕持球,手腕稍微后曲,这能避免投篮手手臂的紧绷,便于流畅发力。
[00:01:21.140 --> 00:01:28.660] 投篮手呈弧形与篮球自然贴合,增大与篮球的接触面积,保证在抬球阶段,篮球的重心落在手掌。
[00:01:28.860 --> 00:01:36.220] 其次是起球,库里的起球是贴近身体的向上起球,以肘部为轴心掀着小臂,再向上顶大臂。
[00:01:37.740 --> 00:01:49.860] 而在传统投篮中常见的起球是大臂小臂同步上举,举球后拉,形成高肘部投篮,下肢力量的传导受阻,上肢的顶肘力量大大削弱,这也是很多球友投篮无力。
[00:01:50.020 --> 00:01:58.840] 最常见的问题之一,最后是拉球,当库里起球到抬球点,下肢与上肢发力的方向,力量,速度都向上同步时。
[00:01:58.860 --> 00:02:06.140] 投篮手手臂快速发力拉直手肘,手腕顺势下压,篮球会获得强烈的后旋,飞行的弹道更稳。
[00:02:06.520 --> 00:02:18.880] 快速旋转的篮球与空气产生摩擦,在篮球飞行轨迹的末段会产生下坠的力量,篮球会更大概率地掉入篮筐,这能更轻松地控制球的落点,令远距离投篮更加稳定。
