# Transcript: douyin_7629305320225255012

- URL: https://www.douyin.com/video/7629305320225255012
- Title: 共创 6878 进步不能停！徐远征投篮问题诊断，主视眼观念限制了他的篮球发展之路！#waveball #投篮教学 #进步不能停 #投篮发力
- Published at: 2026-04-16 18:41:08+0800
- Generated at: 2026-06-12T15:47:38.472173+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:05.180] 为何徐远征拥有不错的下肢及核心力量,但在急停投篮中却刹不住车?
[00:00:08.080 --> 00:00:11.300] 本期视频我们将系统诊断徐远征的投篮问题。
[00:00:12.720 --> 00:00:16.660] 近期,徐远征再次发布了关于投篮中主视眼的相关视频,
[00:00:17.100 --> 00:00:22.080] 但其中一些认知上的误区恰恰也是他自身投篮长期存在卡点的重要根源。
[00:00:23.660 --> 00:00:26.400] 他把主视眼视作为起球轨迹的核心依据,
[00:00:26.400 --> 00:00:30.660] 认为哪只眼是主视眼,就应该围绕哪只眼建立起球路径。
[00:00:32.500 --> 00:00:36.140] 这其实正是当前投篮教学中一个被严重放大的误区。
[00:00:36.680 --> 00:00:42.720] 徐远征本身是左眼主视,右手投篮,因此他习惯沿着左眼方向起球。
[00:00:44.200 --> 00:00:49.840] 但问题在于,这种刻意偏向主视眼的起球方式容易打乱身体中轴的对齐,
[00:00:50.220 --> 00:00:52.400] 破坏力量沿动力链的自然传导。
[00:00:56.400 --> 00:00:58.980] 这种方向上的偏差让他走了很多年的弯路。
[00:01:00.600 --> 00:01:02.280] 虽然刻苦训练是他的日常,
[00:01:03.280 --> 00:01:06.340] 但现今他仍然未能突破投篮中的诸多卡点。
[00:01:07.540 --> 00:01:09.940] 下面我们主要从两个层面展开分析。
[00:01:10.460 --> 00:01:12.560] 第一,起球轨迹过度偏左,
[00:01:13.160 --> 00:01:15.320] 甩锯占比过高,稳定性下降。
[00:01:19.420 --> 00:01:21.940] 徐远征的投篮以左眼为中心起球,
[00:01:22.200 --> 00:01:24.500] 为了保持左眼无遮挡的舒适感,
[00:01:24.900 --> 00:01:25.860] 画了一条很长,
[00:01:25.860 --> 00:01:27.720] 且整体偏左的起球轨迹,
[00:01:28.100 --> 00:01:29.960] 使得他的投篮发力点偏高,
[00:01:30.400 --> 00:01:31.260] 右眼被遮挡。
[00:01:31.780 --> 00:01:33.760] 并且在投篮手开始伸展时,
[00:01:34.160 --> 00:01:35.240] 仍没有完全回正,
[00:01:35.740 --> 00:01:38.640] 而是额外给球施加一个横向力来对正篮筐。
[00:01:39.200 --> 00:01:41.800] 这附加的变量大幅降低了投篮的一致性。
[00:01:43.700 --> 00:01:45.740] 早期朗佐鲍尔也曾有类似问题,
[00:01:46.220 --> 00:01:48.360] 但经过几个秀赛期的针对性优化,
[00:01:48.740 --> 00:01:49.540] 已明显改善。
[00:01:51.120 --> 00:01:53.200] 真正的问题不在于手眼一侧,
[00:01:53.360 --> 00:01:55.600] 而在于错误地把主视眼当成,
[00:01:55.600 --> 00:01:56.300] 起球几准,
