# Transcript: douyin_7170184787536203011

- URL: https://www.douyin.com/video/7170184787536203011
- Title: 9972 #程鑫凯/ #吴泽建案例，深度解析投篮中的手腕发力！ #投篮教学 #waveball
- Published at: 2022-11-26 12:58:59+0800
- Generated at: 2026-06-12T17:59:07.313962+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:04.080] 我们先看这组视频对比,重点观察他们投篮的手腕动作。
[00:00:04.500 --> 00:00:06.860] 程兴凯的手腕放松柔和,充分下压。
[00:00:07.300 --> 00:00:09.680] 吴泽健的手腕充满张力,扮成下压。
[00:00:10.140 --> 00:00:14.280] 程兴凯惯用的是一段式投篮,而吴泽健惯用的是两段式投篮。
[00:00:14.760 --> 00:00:20.320] 一段式投篮更注重整体发力,手肘的伸直带动了自然的压腕,手腕是被动下压。
[00:00:20.740 --> 00:00:24.980] 而两段式投篮是末端发力,手腕主动发力来增加投篮的力量。
[00:00:25.360 --> 00:00:28.240] 本期视频将深度解析投篮中手腕的发力。
[00:00:28.240 --> 00:00:33.240] 首先,一段式投篮追求整体发力,上肢所负责的工作负担减少。
[00:00:33.560 --> 00:00:38.360] 只需相对放松的微调整体力量与方向,减少了投篮中的可变因素。
[00:00:38.740 --> 00:00:44.040] 而两段式投篮是末端发力,上肢所负责的工作量较大,尤其在高压紧张时。
[00:00:44.400 --> 00:00:49.220] 手部的小肌肉群会变得不可靠,我们常会见到在末端发力较多的投篮中。
[00:00:49.560 --> 00:00:52.940] 投篮的手形容易变形,难以保持每次投篮的一致性。
[00:00:58.240 --> 00:01:07.840] 而手腕相对放松的投篮中,手臂只需要向篮筐方向伸直,拉直手肘带动手腕的自然下压。
[00:01:08.180 --> 00:01:12.460] 手形更加稳定,在出手后,手部常伴有柔和的抖动与回弹。
[00:01:12.920 --> 00:01:24.740] 在双子星百分大战的第三场中,程兴凯的投篮命中率为50%,罚球命中率为100%,而吴泽健的投篮命中率为39%,罚球命中率为47%。
[00:01:24.740 --> 00:01:36.420] 在上赛季的NBA球员中,罚球命中率前两位的分别是乔丹普尔的92.5%,与斯蒂芬库里的92.3%,他们的投篮手腕同样都是相对放松的。
[00:01:36.420 --> 00:01:54.300] 其次,手腕的相对放松能增加你的投篮射程,克莱汤普森形容投篮就像倒流的瀑布,力量就如水流一样,从脚趾到手指的有序传导,手腕主动发力的投篮,就像是中途拉下了闸门,阻断了水流原本流畅的加速过程。
[00:01:54.740 --> 00:01:59.660] 这也是很多人投篮明明屈膝,躯宽蓄力都很深,但还是投不远的根源。
[00:01:59.960 --> 00:02:04.340] 像威斯布鲁克的投篮就是比较典型的过多依赖手指、手腕发力。
[00:02:04.640 --> 00:02:09.920] 同时他的投篮手手肘很多时候并未伸直,大臂、小臂的力量大量损失。
[00:02:10.220 --> 00:02:17.400] 难以保持每次投篮的一致性,我们常会看到威斯布鲁克在三分线外投出三不沾,在中距离砸到即时期。
[00:02:17.800 --> 00:02:24.720] 最后,投篮中手腕的放松是相对的放松,是松而不散的状态,在持球时手指、手腕都需要保持。
[00:02:24.740 --> 00:02:28.700] 一定的张力,保证脱球上局以及压腕波止的稳定性。
[00:02:32.580 --> 00:02:41.420] 需要注意的是,部分职业球员由于较好的身体素质,仍然能依靠较强的手臂,手腕的力量来投篮,也能维持可观的命中率。
