# Transcript: douyin_7077019377517759748

- URL: https://www.douyin.com/video/7077019377517759748
- Title: 5.0万 揭露颠投的真相！你的投篮是颠投还是跳投？ #投篮教学 #跳投 #waveball
- Published at: 2022-03-20 11:29:36+0800
- Generated at: 2026-06-12T18:08:15.434780+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:04.920] 库里的投篮并不是颠头,而是起跳高度较低的跳投。
[00:00:05.360 --> 00:00:08.820] 颠头是在国内广为流传的概念,到底什么才是颠头?
[00:00:09.220 --> 00:00:15.200] 我们先看视频,视频中前国家队神射手李南,在原地的两段是投篮,这正是颠头。
[00:00:15.580 --> 00:00:21.860] 此类投篮的发力模式,是举球与降重心同步,下肢伸展的同时手臂发力伸展完成投篮。
[00:00:22.340 --> 00:00:27.320] 与颠头相对的就是跳投,我们再看国内新生代顶级射手吴前的原地投篮。
[00:00:27.320 --> 00:00:33.600] 他使用的正是一段式跳投,因为起跳高度低,很多人会把一段式投篮也看作是颠头。
[00:00:33.980 --> 00:00:40.280] 而一段式投篮与颠头的发力模式是不同的,一段式投篮的发力模式是陈球与降重心同步。
[00:00:40.700 --> 00:00:44.900] 利用身体上升的力量举球到上肢发力点,最后顺势拨球出手。
[00:00:45.320 --> 00:00:51.320] 一段式和两段式都是跳投,都是下肢完成伸展后上肢发力出手,区别在于出手时机。
[00:00:51.440 --> 00:00:57.020] 一段式是在起跳最高点前出手,而两段式是在起跳最高点甚至下落时出手。
[00:00:57.380 --> 00:01:01.460] 颠头与跳投相比,整体的动作速率较慢,发力效率较低。
[00:01:01.920 --> 00:01:05.840] 随着投篮技术的发展,颠头向跳投的进化已成为主流趋势。
[00:01:06.180 --> 00:01:10.440] 目前在职业球员中,已经很少能见到颠头这种投篮方式了。
[00:01:10.800 --> 00:01:19.000] 很多球员并不是从小就学习的是跳投,像吴前在中学时使用的仍是颠头的方式,后期才修改成了一段式跳投。
[00:01:19.200 --> 00:01:23.920] 然而在国内还有很多篮球爱好者,仍然使用的是颠头的投篮方式。
[00:01:24.280 --> 00:01:26.780] 也有一部分球友为了更美观的投篮姿态,
[00:01:26.780 --> 00:01:30.600] 更高效的发力模式,已开始调整自己的投篮方式。
