# Transcript: douyin_7346798357320420649

- URL: https://www.douyin.com/video/7346798357320420649
- Title: 共创 2058 为何用左眼瞄准竟不会投篮了？强化主视眼瞄，让你的投篮命中率飙升 #投篮教学 #发力矫正 #waveball
- Published at: 2024-03-16 11:29:50+0800
- Generated at: 2026-06-12T17:40:51.876265+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:04.480] 其实你的主视野瞄准与你的脚下站位与触手方向是紧密相关的。
[00:00:04.480 --> 00:00:10.140] 我所有的投篮都是偏的,你看得再正,投出去都是偏的。
[00:00:10.160 --> 00:00:12.780] 右手就开始旋,这是这个意思。
[00:00:16.340 --> 00:00:22.860] 很多小伙伴在投篮触手时会出现手臂摆动的情况,这会严重影响到投射方向的稳定性。
[00:00:23.040 --> 00:00:27.320] 本期视频就从强化主视野的瞄准这个角度来解决此类问题。
[00:00:27.320 --> 00:00:30.260] 视频中的球员是右手投篮,右眼为主视野。
[00:00:30.700 --> 00:00:33.780] 而同侧瞄准也是成为优秀射手的重要基础。
[00:00:34.240 --> 00:00:36.820] 本期视频主要优化的就是他的主视野瞄准。
[00:00:37.140 --> 00:00:41.340] 我们在进行了主视野的测试后勾起了他的一段痛苦回忆。
[00:00:41.420 --> 00:00:47.700] 当时因为当时受伤的时候,我捂着这个眼睛,有三个月,然后就拿左眼投,跟他们打球。
[00:00:48.440 --> 00:00:50.640] 然后刚才怎么投,全是歪的。
[00:00:52.580 --> 00:00:55.120] 你右眼,其实你右眼的范围只有这个范围。
[00:00:55.120 --> 00:00:56.940] 你把身子过来,右眼基本。
[00:00:57.320 --> 00:00:58.560] 是这个范围,中间这一项。
[00:00:58.800 --> 00:00:59.120] 右眼。
[00:01:01.000 --> 00:01:08.660] 此处我们通过图例说明,当他真身站位,左脚与右脚平行,或右脚之后时,他的主视野视野如图。
[00:01:09.060 --> 00:01:11.280] 篮筐并不在他主视野的焦点中心。
[00:01:11.560 --> 00:01:15.740] 而当他右脚前置小幅度侧胜时,他的主视野视野开始改变。
[00:01:16.080 --> 00:01:18.800] 如图,篮筐就接近他的主视野焦点中心。
[00:01:19.000 --> 00:01:20.400] 尽量把你的右眼露出来。
[00:01:21.640 --> 00:01:22.660] 从这条缝里。
[00:01:23.420 --> 00:01:25.060] 露出来,露出来,对,这个意思。
[00:01:25.700 --> 00:01:27.260] 还可以,就把你的右手打开。
[00:01:27.320 --> 00:01:27.820] 往上。
[00:01:28.020 --> 00:01:30.080] 你把脚前置,就是右眼到中线。
[00:01:30.280 --> 00:01:31.020] 沿着中线。
[00:01:31.540 --> 00:01:32.040] 对。
[00:01:32.960 --> 00:01:35.320] 右手右眼,然后中线就走了这一下。
[00:01:35.940 --> 00:01:38.360] 这最终目的是把右手抬高送出去啊。
[00:01:38.880 --> 00:01:41.040] 那右脚拖后了,那个右手抬不起来啊。
[00:01:45.700 --> 00:01:49.760] 那我们说的你的右左也会向那把右侧锁定过来。
[00:01:49.800 --> 00:01:54.000] 让你的这块瞄准更加精准一点会。
[00:01:54.360 --> 00:01:54.660] 啊。
[00:01:55.440 --> 00:01:55.880] 真的。
[00:01:56.760 --> 00:01:57.000] 啊。
[00:01:57.000 --> 00:01:57.300] 这就正。
[00:01:57.320 --> 00:01:58.600] 直接正了,就不用扭了。
[00:01:58.640 --> 00:01:59.640] 右脚,对,这一下。
[00:02:00.760 --> 00:02:03.380] 对,这就没有身体的扭曲,手上的扭曲就没了。
[00:02:11.840 --> 00:02:14.080] 还有你的辅助手,不要张开。
[00:02:14.500 --> 00:02:15.120] 这样打开。
[00:02:17.320 --> 00:02:17.880] 啊,谁?
[00:02:17.940 --> 00:02:20.000] 视频里有个要交叉的形式。
[00:02:21.580 --> 00:02:23.620] 那就是往一个点发力啊,你张开。
[00:02:23.840 --> 00:02:24.740] 都是那种感觉。
[00:02:24.780 --> 00:02:25.520] 就是这个意思。
[00:02:25.800 --> 00:02:27.080] 你才能把你这个手稳定。
[00:02:27.080 --> 00:02:28.400] 要不然你还是往这边旋。
[00:02:29.000 --> 00:02:32.200] 你的左手,左肩一往这边带,右手就开始旋。
[00:02:32.480 --> 00:02:33.400] 对,这是这个意思。
[00:02:33.640 --> 00:02:35.680] 应该已经连接十个了。
[00:02:36.160 --> 00:02:36.360] 嗯。
[00:02:36.560 --> 00:02:37.020] 哈哈。
