# Transcript: douyin_7457390590817373476

- URL: https://www.douyin.com/video/7457390590817373476
- Title: 9075 NBA顶级后卫的投篮为何如此吃力？ 亚历山大已成长为 NBA 全明星级别的后卫，但他的投篮也存在明显的问题，他的生涯三分命中率在35%左右，这块短板与顶级后卫仍有较大差距，尤其他投篮的上肢框架并不建议大家去效仿学习。亚历山大这类问题要做到流畅的高肘部跳投，可参考相似的优质案例，杜兰特或科比。此外， 手眼异侧主导的类型，也可以通过特定的训练做到顺畅的低肘部投篮 #waveball #投篮教学 #亚历山大 #杜兰特 #科比
- Published at: 2025-01-08 12:04:11+0800
- Generated at: 2026-06-12T17:35:54.762989+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:07.760] 亚历山大投篮时为何一脸吃力?亚历山大已成长为NBA全明星级别的后卫,但他的投篮也存在明显的问题。
[00:00:08.160 --> 00:00:13.740] 他的生涯三分命中率在35%左右,这块短板与顶级后卫仍有较大差距。
[00:00:14.040 --> 00:00:17.740] 尤其他投篮的上至框架,并不建议大家去效仿学习。
[00:00:18.160 --> 00:00:24.220] 在亚历山大的投篮中,他的头部会随着视线做向右的偏转,头部决定了我们的身体重心。
[00:00:24.220 --> 00:00:32.020] 而右手球员投篮时头部向右偏转与下至躯干向左旋转,是一种对抗发力的形式,会造成投篮侧。
[00:00:32.420 --> 00:00:34.400] 肩关节的卡顿与肘关节的扭曲。
[00:00:34.860 --> 00:00:40.500] 这类球员大概率是左眼主使右手投篮的一侧类型,在他们的投篮中主饰演过于强势。
[00:00:40.840 --> 00:00:47.140] 这会导致在起球的过程中,头部会随着视线做向右的偏转,造成了右肩上抬的卡压。
[00:00:47.260 --> 00:00:53.520] 在发力的末段,他们会大幅外旋整条手臂,完成上肢的伸展,造成了投篮手的明显摇摆。
[00:00:53.520 --> 00:00:56.040] 手指手腕难以完成精准的控制。
[00:00:56.360 --> 00:01:03.000] 同时由于肩颈的过度紧张,这类人的面部也会产生代偿发力,呈现出趋利的面部表情。
[00:01:03.440 --> 00:01:09.840] 由于右肩的卡压,亚历山大养成了低肩部,低肘部的投篮,在他发力时,右侧压缩非常明显。
[00:01:10.220 --> 00:01:16.860] 左右肩部的高度差别较大,这对他起跳后的平衡影响较大,尤其影响在他远距离投篮的稳定控制。
[00:01:16.860 --> 00:01:23.080] 在上赛季休赛期,他也尝试调整了他投篮上肢的发力结构,也就是提高他手肘的高度。
[00:01:23.380 --> 00:01:28.860] 但肩部卡压的问题并未解决,调整后他的跳投存在明显挺腰发力代偿的情况。
[00:01:29.240 --> 00:01:34.740] 亚历山大现有的投篮框架,既影响了他的平衡起跳,又限制了他上肢的舒展。
[00:01:35.100 --> 00:01:41.320] 亚历山大这类问题要做到流畅的高肘部跳投,可参考相似的优质案例,杜兰特或科比。
[00:01:41.460 --> 00:01:44.540] 他们都是以明确的,手眼一侧主导的类型。
[00:01:44.900 --> 00:01:46.200] 他们都是高肘部投篮。
[00:01:46.200 --> 00:01:53.220] 也就是完成右肩的充分上抬后,保证肩肘腕在一条线上对位篮筐,在进行上肢的主动发力。
[00:01:53.580 --> 00:01:59.700] 同时,他们在投篮时保持头部的中立位,双眼聚焦篮筐中心,明显地加大了侧身的幅度。
[00:01:59.980 --> 00:02:09.740] 同时保持胸口与下肢相同的朝向,做到从站位到发力过程,双脚、双肩的连线几乎是平行,保证了在起跳中身体的相对平衡。
[00:02:09.960 --> 00:02:15.180] 此外,手眼依次主导的类型,也可以通过特定的训练做到顺畅的低肘部投篮。
[00:02:15.180 --> 00:02:17.460] 我们将在后期将进行详细解读。
