# Transcript: douyin_7296829060288711947

- URL: https://www.douyin.com/video/7296829060288711947
- Title: 1.1万 帮助普通人打造教科书般投篮，香港篮球教练的投篮矫正！ #投篮矫正 #克莱汤普森 #waveball
- Published at: 2023-11-02 19:43:26+0800
- Generated at: 2026-06-12T17:43:59.856975+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:06.480] 这是9月从香港远赴重庆来找我,做发力矫正与投篮技术优化的一位中学篮球教练。
[00:00:11.680 --> 00:00:15.940] 他的主要需求是解决投篮发力卡顿,加快整体的出手速度。
[00:00:16.300 --> 00:00:20.800] 这是他之前的投篮,缺乏远距离的投篮的能力,这是调整后的投篮。
[00:00:21.260 --> 00:00:25.040] 调整后他与克莱汤普森的发力模式与技术动作都比较接近了。
[00:00:25.100 --> 00:00:27.380] 在三分距离的投篮也变得游刃有余。
[00:00:27.380 --> 00:00:32.680] 他之前的投篮,也是以膝关节主导的下肢蓄力,重心会有前冲的习惯。
[00:00:33.080 --> 00:00:38.980] 而他的关节刚性偏弱以及力线不够正直,力量的传导与稳定性有较大的提升空间。
[00:00:39.420 --> 00:00:44.520] 登身缓慢,上肢发力点较低,重心前冲,投篮抗防守的干扰的能力偏弱。
[00:00:44.860 --> 00:00:46.720] 这也是大多数球友的同病。
[00:00:47.060 --> 00:00:52.500] 本期视频是对他投篮调整的简要总结,梳理出了四个重点方面,供大家参考借鉴。
[00:00:52.740 --> 00:00:55.280] 第一方面是关于手型及力线的调整。
[00:00:55.280 --> 00:00:59.180] 之前他的出手由于躯干朝向与脚下站位不同向,出手时,
[00:00:59.520 --> 00:01:06.900] 他的投篮手会在水平面大幅度的向外扭转,造成过度的旋转发力,出手后手腕,手指会形成大幅的摆动。
[00:01:07.320 --> 00:01:11.020] 这里要求他的躯干与脚下站位同向,蹬底与气球同向,
[00:01:11.340 --> 00:01:17.920] 也就是从脚下到髋部到躯干的整体,向左蓄力与瞄准,肩背稳定下积极地向上送右肩。
[00:01:18.280 --> 00:01:21.320] 调整后他的力线变得正直,手型稳定不再摇摆。
[00:01:25.280 --> 00:01:32.220] 第二方面是矫正他下肢的蓄力模式。
[00:01:32.540 --> 00:01:35.520] 他的投篮发力存在手快脚慢发力脱节的问题。
[00:01:35.880 --> 00:01:40.080] 尤其远距离暴露的较为明显,下肢核心力量难以转化到篮球上。
[00:01:40.380 --> 00:01:47.040] 这里把他的发力由膝关节主导调整到髋关节主导,用更少的蓄力幅度和时间,获得更高效的力量转化。
[00:01:47.420 --> 00:01:54.060] 之前他的踝膝髋关节的刚性偏弱,我们先从脚部上优化,在一二步中强调左脚偏重心稳定。
[00:01:54.160 --> 00:01:55.260] 右脚更多的轻轻的转动。
[00:01:55.280 --> 00:01:59.380] 右脚更多的轻轻的轻弹,在垫步中使用双脚前置,双脚的前脚掌支撑与蹬地。
[00:01:59.680 --> 00:02:04.760] 再从意识上强化关节刚性,提高踝系宽的整体链接,更多的利用了弹性。
[00:02:05.060 --> 00:02:08.600] 从而解决了脚慢的问题,整体发力随之变得快速流畅。
[00:02:09.020 --> 00:02:11.180] 第三方面是调整身体的重心。
[00:02:11.500 --> 00:02:15.000] 之前他膝关节主导发力的习惯,屈膝伸膝都是向前的。
[00:02:15.300 --> 00:02:21.720] 重心也跟随向前,从下至到上至都难以充分伸展,出手角度较低,篮球的弧度也偏低。
[00:02:21.720 --> 00:02:28.020] 要求他脚步前置,躯干保持相对直立,躯干在腿部之后保证了他向上发力,向上起跳。
[00:02:32.200 --> 00:02:37.660] 从脚下到躯干到上至都能完整地伸展,出手角度与投篮弧度自然得到了提高。
[00:02:38.080 --> 00:02:43.160] 第四方面是同步他上下至发力的节奏,消除他之后大幅降重心的习惯。
[00:02:43.220 --> 00:02:47.680] 养成提前降重心的习惯,面对来球更多的做收球,减少沉球。
[00:02:47.680 --> 00:02:51.400] 明确降重心的同时,是上下至同时收紧的状态。
[00:02:51.400 --> 00:02:53.400] 登地的同时,开始起球。
[00:02:53.400 --> 00:02:59.600] 上下至蓄力发力的形成更加匹配,这能使上下至协同发力,力量的传导更加高效。
[00:02:59.600 --> 00:03:05.160] 调整后他投篮的整体发力轻松快速,动作更加舒展美观,且更具经济性。
[00:03:05.160 --> 00:03:10.360] 但长期来看,他还需通过专项训练,重点提高下至整体的刚性与弹性。
