# Transcript: douyin_7031380362534096160

- URL: https://www.douyin.com/video/7031380362534096160
- Title: 2.9万 投篮无力？压腕脱手？ #特雷杨 最值得普通人学习的投篮模板 #篮球教学 #waveball
- Published at: 2021-11-17 11:46:55+0800
- Generated at: 2026-06-12T18:11:12.347292+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:01.720] 你是否投三分总感觉吃力?
[00:00:02.660 --> 00:00:05.160] 还处于投篮压腕经常脱手的困扰中?
[00:00:06.920 --> 00:00:10.300] 本期视频将以特雷扬为案例来解决这两大问题。
[00:00:10.800 --> 00:00:14.760] 在NBA相对瘦小的特雷扬却有着稳定的超远投射能力。
[00:00:15.180 --> 00:00:18.320] 特雷扬投篮发力的特点,放松、快速、连贯。
[00:00:21.240 --> 00:00:23.240] 我们先从特雷扬下肢发力来看。
[00:00:23.660 --> 00:00:28.520] 特雷扬是一段式投篮的代表,传统投篮中起跳主要是为了增加出手点的高度。
[00:00:28.520 --> 00:00:32.040] 而一段式投篮的起跳,则是为了增加投篮的力量。
[00:00:32.360 --> 00:00:34.920] 他的起跳也充分利用了筋膜的弹性来发力。
[00:00:35.180 --> 00:00:38.800] 特雷扬合球后快速沉球,降重心,趋宽带动屈膝。
[00:00:39.260 --> 00:00:48.340] 躯干略微前倾,此时脚下与臀部都是放松状态,在起球阶段时,脚踝、膝盖、臀部协同向上发力,快速蹬地顺势起球。
[00:00:48.700 --> 00:00:53.100] 当膝盖完全伸直,腿部力量瞬间转移到了手臂时,再顺势出手。
[00:00:53.100 --> 00:00:58.600] 其次,特雷扬的投篮把上肢发力几乎做到了极致。
[00:00:58.980 --> 00:01:10.480] 第一点,低肘部投篮,特雷扬是典型的低肘部投篮,他在举球到抬球点时,手肘的高度低于肩部的高度,也就是大臂与身体的夹角小于90度,抬球点在鼻子附近。
[00:01:10.860 --> 00:01:12.800] 这能让手臂有更长的发力动成。
[00:01:13.420 --> 00:01:17.000] 特雷扬投篮时向上的顶肘与向上的起跳,是同向发力。
[00:01:17.100 --> 00:01:21.120] 这能使手臂充分发力,同时下肢力量的传导也更顺畅。
[00:01:21.400 --> 00:01:23.000] 这也是远距离射手的必备技巧。
[00:01:23.100 --> 00:01:28.600] 很多人从小学习的是高肘部投篮,也就是投篮中在抬球点时肘部抬得过高。
[00:01:28.600 --> 00:01:35.100] 主要靠上肢带长发力去投篮,这容易造成上下肢发力的脱节,相对是比较低效且费力的。
[00:01:35.600 --> 00:01:42.100] 第二点,特雷扬在投篮时投篮手大臂与小臂的夹角,压缩的也非常小,远小于90度。
[00:01:42.100 --> 00:01:47.600] 这能获得更大的发力角度,使攻三投机发力更加充分,进一步提升投篮力量。
[00:01:47.600 --> 00:01:53.100] 第三点,投篮辅助手,特雷扬和球投篮时,习惯将投篮手放在前面。
[00:01:53.100 --> 00:01:58.100] 这可以使投篮手手腕更加放松,投篮时投篮手手肘更正。
[00:01:58.100 --> 00:02:03.100] 在起球阶段主要使用辅助手发力来举球,同时辅助手会向投篮手方向加仰。
[00:02:03.100 --> 00:02:08.100] 让投篮手紧贴篮球,保证了投篮手稳定的压腕与播球。
[00:02:09.100 --> 00:02:15.100] 很多人因为手小或持球方式不当,在出手时容易出现还未开始压腕就已脱手的情况。
[00:02:15.100 --> 00:02:22.100] 这样投出的篮球旋转较弱,方向很难控制,学习特雷扬的辅助手技术,能有效解决此类问题。
[00:02:23.100 --> 00:02:28.100] 如果您想要更多详细的详细,请订阅我们的频道。
