# Transcript: douyin_7487420132151627071

- URL: https://www.douyin.com/video/7487420132151627071
- Title: 7941 这是很多人的缩影！高强度防守下，周楷恒灾难级的投篮表现！ 投篮成了周楷恒冲击职业的绊脚石！本视频主要还原当他在面对接近职业水平的防守时，他的投射问题被进一步放大的现实。他想要冲击职业，必须得弥补投篮这块短板，精准的投篮不只是肌肉记忆的简单堆砌，当你的投篮结构存在明显缺陷时，这种机械的重复虽能维持基础命中率，却封堵了你突破上限的空间。#投篮教学 #waveball
- Published at: 2025-03-30 10:14:08+0800
- Generated at: 2026-06-12T17:32:31.145169+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:03.220] 投篮成为了周凯恒冲击职业道路上的绊脚石。
[00:00:03.600 --> 00:00:10.160] 两年前在渠州现场见到周凯恒时,就发现了他投篮存在发力脱节、出手挣扎的问题。
[00:00:10.460 --> 00:00:16.660] 我们在上期的视频中分析了他投篮问题的主要根源以及解决办法,但也收到了不少网友的质疑。
[00:00:16.780 --> 00:00:21.600] 他们认为发力脱节、手心摇摆无关紧要,他已经够准了,他无需改变。
[00:00:21.860 --> 00:00:24.160] 这是周凯恒在静态投篮时的表现。
[00:00:24.300 --> 00:00:29.460] 这次活动中他参加了三分球大赛,这次三分球大赛是无限式投篮。
[00:00:29.460 --> 00:00:32.540] 一共15球,周凯恒总共命中了8球。
[00:00:32.780 --> 00:00:35.600] 随后出场的孟柏龙命中了12球。
[00:00:35.860 --> 00:00:42.520] 本视频主要来还原周凯恒在面对接近职业级别防守时,他投篮的问题被放大的事实。
[00:00:59.460 --> 00:01:29.460] 并且并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并并
[00:01:29.460 --> 00:01:58.980] 周凯恒如果要冲击职业这条道路
[00:01:58.980 --> 00:02:01.420] 他必须去弥补投篮这块短板
[00:02:01.420 --> 00:02:04.160] 精准的投篮不是简单的肌肉机的对气
[00:02:04.160 --> 00:02:06.860] 当你的投篮结构存在技术缺陷时
[00:02:06.860 --> 00:02:09.920] 这种机械的重复虽然能保证你基础的命中率
[00:02:09.920 --> 00:02:13.260] 但它却封堵住了你突破上限的空间
[00:02:13.260 --> 00:02:23.800] 在我们上升过程中就可以自由出手
[00:02:23.800 --> 00:02:27.400] 从根源上解决他手型摇摆不定的问题
