# Transcript: douyin_7234741865877130555

- URL: https://www.douyin.com/video/7234741865877130555
- Title: 共创 6360 专业深度解读|外八发力改内八发力快速提升投篮表现 #投篮教学 #蛋壳健康 #waveball
- Published at: 2023-05-19 12:13:25+0800
- Generated at: 2026-06-12T17:48:27.775284+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:03.080] 体态的矫正可以快速提升我们的运动表现。
[00:00:03.360 --> 00:00:08.880] 本期视频将分享一位球员从脚下外八发力调整为内八发力后对投篮的影响。
[00:00:08.980 --> 00:00:10.360] 很多人都会有类似的问题。
[00:00:10.800 --> 00:00:15.600] 本期视频我们有幸邀请到了蛋壳健康动作质量评估室杨帆为大家解读。
[00:00:15.840 --> 00:00:18.320] 视频中是来自篮球风云的学员案例。
[00:00:18.840 --> 00:00:22.640] 我们来看这一位学员,他在起跳之前的一个重心下降位置。
[00:00:23.020 --> 00:00:27.700] 投篮手这边的脚尖呢,这边是外八,而这一侧呢却是一个内八的状态。
[00:00:27.700 --> 00:00:31.960] 在外八的情况下,膝盖是向里的,脚尖却是向外的。
[00:00:32.220 --> 00:00:34.020] 这就是我们常说的膝盖内扣。
[00:00:34.400 --> 00:00:37.860] 这种位置下对他的膝关节会造成非常大的减切力。
[00:00:38.260 --> 00:00:43.760] 同时,这种外八的状态下会形成他的足外翻,让他的整个足弓向下塌陷。
[00:00:44.120 --> 00:00:47.260] 在蹬身的过程中,足弓给不到很大的弹性。
[00:00:47.900 --> 00:00:50.060] 那我们再来看内八的这种状态下。
[00:00:50.380 --> 00:00:53.840] 大家会不会觉得脚尖向内的时候反而是一种膝内扣?
[00:00:54.400 --> 00:00:57.680] 其实脚尖和膝盖的朝向是一致的情况下,
[00:00:57.700 --> 00:01:02.340] 并不会形成膝盖内扣,但向内旋的反而是他的髋关节。
[00:01:02.780 --> 00:01:07.240] 髋关节内旋让他的臀中肌和后侧链筋膜充分拉长,
[00:01:07.620 --> 00:01:10.580] 在起跳的瞬间才能产生出来这个爆发力,
[00:01:10.900 --> 00:01:13.980] 让他可以蹦得更高,产生更高的弹跳力。
[00:01:14.320 --> 00:01:16.900] 以及在整个脚尖内八的过程中,
[00:01:17.040 --> 00:01:19.980] 他的整个足弓可以更好的延展起来,
[00:01:20.200 --> 00:01:24.340] 让足弓拱起来,弹跳起来的时候足弓也能够支撑住,
[00:01:24.480 --> 00:01:27.600] 可以获得一个更好的从足底下上来的,
[00:01:27.600 --> 00:01:31.440] 这个髋、膝、踝整个动力链条的力的传导,
[00:01:31.700 --> 00:01:35.940] 所以也会跳得更高,落地的时候也会获得更好的缓冲力。
