# Transcript: douyin_7024701574664441124

- URL: https://www.douyin.com/video/7024701574664441124
- Title: 2.7万 杰伦·格林的投篮到底存在什么问题？全面解析 #杰伦格林 的投篮技术 #投篮教学 #篮球干货
- Published at: 2021-10-30 11:49:49+0800
- Generated at: 2026-06-12T18:11:50.871372+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:04.960] 杰伦格林已出战了五场NBA常规赛,虽然已展现出顶级的身体天赋。
[00:00:05.320 --> 00:00:10.660] 场均可以得到14.2分,但由于他投篮稳定性不足,投篮能力一直受到质疑。
[00:00:11.060 --> 00:00:13.300] 杰伦格林的投篮,到底出了什么问题?
[00:00:13.740 --> 00:00:16.280] 本期视频将全面解析杰伦格林的投篮。
[00:00:16.780 --> 00:00:20.880] 杰伦格林可以轻松投中超远三分,也可以在中距离制空干把。
[00:00:21.360 --> 00:00:24.240] 他的出手速度非常快,加之他顶级的弹跳。
[00:00:24.680 --> 00:00:26.480] 杰伦格林的投篮很难被封盖。
[00:00:26.920 --> 00:00:29.600] 首先,我们从杰伦格林的投篮发力来看。
[00:00:29.600 --> 00:00:32.720] 第一点,杰伦格林投篮的整体发力非常流畅。
[00:00:33.060 --> 00:00:39.080] 他采用的是现代投篮的发力模式,接球后沉球快速降重心,前脚掌蹬地顺势起球。
[00:00:39.440 --> 00:00:41.980] 身体将要到最高点时,顺势波球出手。
[00:00:42.420 --> 00:00:49.300] 这相比传统投篮,举球与降重心同时的发力模式,对整体力量的要求更低,让投篮更加的省力。
[00:00:50.780 --> 00:00:55.160] 第二点,低肘投篮,这是杰伦格林能轻松命中超远三分的关键。
[00:00:55.260 --> 00:00:59.460] 举球到抬球点时,手肘的高度低于或等于肩部的高度。
[00:00:59.660 --> 00:01:03.160] 也就是大臂与身体的夹角,小于或等于90度。
[00:01:03.500 --> 00:01:07.500] 这能让大臂有更长的发力动成,这是远距离射手的必备技术。
[00:01:07.920 --> 00:01:10.240] 其次是杰伦格林投篮的不稳定因素。
[00:01:10.520 --> 00:01:13.660] 第一点,投篮手手肘与辅助手手肘都过于外翻。
[00:01:14.140 --> 00:01:17.920] 杰伦格林使用的是侧腕起球,他习惯从身体的左侧起球。
[00:01:18.380 --> 00:01:23.880] 边起球边正腕,到达抬球点时,投篮手手肘腕朝向左侧,仍然没有正对篮筐。
[00:01:23.920 --> 00:01:27.300] 在释放点时,主要靠手指来较大幅度的纠偏。
[00:01:27.300 --> 00:01:31.700] 这位球员会过于依赖手感,很难保证投篮长期的稳定性。
[00:01:32.120 --> 00:01:35.600] 杰伦格林这几场投篮命中率,也如坐过山车一般起伏。
[00:01:36.020 --> 00:01:37.860] 第二点,辅助手的大拇指拨球。
[00:01:38.180 --> 00:01:43.480] 杰伦格林的辅助手,拇指拨球常会造成篮球的侧旋,投篮弹道会左右偏移。
[00:01:43.800 --> 00:01:51.620] 而像库里,欧文等顶级射手也会有拇指拨球的习惯,但他们已经稳定地掌握了该技术,极少会出现方向上的偏移。
[00:01:51.620 --> 00:01:58.040] 杰伦格林的这两个投篮习惯,是造成他投篮不稳定的分源,要想成长为联盟的顶级的分手。
[00:01:58.400 --> 00:02:00.660] 投篮技术的修正,是他的必经之路。
[00:02:01.020 --> 00:02:05.380] 强如迈克尔乔丹,进入NBA后也经历了多次投篮动作的修改。
[00:02:05.760 --> 00:02:11.260] 在30岁左右时才固定了投篮动作,拥有了稳定的命中率,而不再局限于手感。
[00:02:11.700 --> 00:02:17.240] 再如,朗佐鲍尔出境NBA时,也存在类似杰伦格林一样投篮曲线发力的问题。
[00:02:17.240 --> 00:02:22.480] 而近两个赛季他已将使用多年的投篮曲线发力模式,改为直线发力模式。
[00:02:22.740 --> 00:02:24.740] 投篮命中率也得到显著提高。
