# Transcript: douyin_7331965378689584395

- URL: https://www.douyin.com/video/7331965378689584395
- Title: 2232 解读正身与侧身投篮“酒仙桥德罗赞”张子昊的投篮优化 ② #投篮训练 #库里 #布克 #waveball
- Published at: 2024-02-05 12:10:18+0800
- Generated at: 2026-06-12T17:42:04.284454+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:09.000] 我说的是,比如说你一个球啊,这个球对方向是,你只是挤着它,它就会迁就。
[00:00:09.000 --> 00:00:14.000] 主流的球,它是拉一点弦线。它拉一点弦线,它就会迁就。
[00:00:14.000 --> 00:00:19.000] 但我看现在,它是,这个球就对手。
[00:00:19.000 --> 00:00:22.000] 这就是投篮的。
[00:00:22.000 --> 00:00:27.000] 这是两种弦弦模式,传统的话就可以,像是科尔或者纳什。
[00:00:27.000 --> 00:00:33.000] 它们的右手肩图,两脚对抗,胸口对抗,右肩上起,这就很直,直线。
[00:00:37.000 --> 00:00:42.000] 我们现在更多的库里布克尔侧伸。侧伸之下有一个拉斜线。
[00:00:42.000 --> 00:00:47.000] 从身体越左侧拉到右侧,越右侧,就是一个斜线拉的。
[00:00:51.000 --> 00:00:53.000] 这两个都能很直。
[00:00:53.000 --> 00:00:56.000] 但现在可能随着技术更新,侧伸的话,
[00:00:56.000 --> 00:00:57.000] 这图然会更直。
[00:00:57.000 --> 00:00:59.000] 更省力,更轻松,更动。
[00:00:59.000 --> 00:01:03.000] 这种传统模式就越来越小。
[00:01:03.000 --> 00:01:05.000] 你的话更偏传统。
[00:01:05.000 --> 00:01:07.000] 你只有略向左,你侧向的找着空间。
[00:01:07.000 --> 00:01:10.000] 你震的话,你的头感觉是挡住的。
[00:01:10.000 --> 00:01:13.000] 侧着这个空间,看,这块。
[00:01:13.000 --> 00:01:16.000] 让你接近,然后又不挡住这一下。
[00:01:16.000 --> 00:01:19.000] 对,这不是挡住的。
[00:01:19.000 --> 00:01:21.000] 接近,重心。
[00:01:21.000 --> 00:01:24.000] 不会挡住你,对,这一下。
[00:01:24.000 --> 00:01:26.000] 你自己人说了,在这里,把手腕掰过来。
[00:01:26.000 --> 00:01:28.000] 有点掰过来,这种。
[00:01:28.000 --> 00:01:32.000] 你刚才那个球就是掰过来了。
[00:01:32.000 --> 00:01:34.000] 你是不用掰,它自然去回正了。
[00:01:34.000 --> 00:01:36.000] 这一下,回正了。
[00:01:36.000 --> 00:01:38.000] 对。
[00:01:38.000 --> 00:01:45.000] 其实他刚才有点甩局了。
[00:01:45.000 --> 00:01:48.000] 其实,我说了,杜兰特是这个模式。
[00:01:48.000 --> 00:01:50.000] 布克也是这个模式。
[00:01:50.000 --> 00:01:53.000] 只不过球哥的甩局太过于,太过于夸张了。
[00:01:56.000 --> 00:02:04.000] 这样的这样的这样的这样的这样的这样的这样的
[00:02:04.000 --> 00:02:06.700] 把球拉出去的
[00:02:06.700 --> 00:02:10.920] 而不是靠压腕伸压出去的
[00:02:10.920 --> 00:02:11.780] 是拉出去的
