# Transcript: douyin_7505624436997999923

- URL: https://www.douyin.com/video/7505624436997999923
- Title: 7257 手腕不要后倒？不要让直腕毁了你的投篮！ 近两年来在网络上一直流传着投篮要像库里一样保持直腕，手腕不要“后倒”等谣言。这样的教学理念误导了太多篮球爱好者，本期视频将从生物力学和实战角度解析这一误区，并还原手腕在投篮中的真实作用。#投篮教学 #waveball #库里 #汤普森 #纳什
- Published at: 2025-05-18 11:36:08+0800
- Generated at: 2026-06-12T16:39:06.998419+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:06.340] 近两年来在网络上一直流传着,投篮要像库里一样保持直腕,手腕不要后倒等谣言。
[00:00:06.800 --> 00:00:15.680] 这样的教学理念误导了太多篮球爱好者,本期视频将从生物力学和实战角度解析这一误区,并还原手腕在投篮中的真实作用。
[00:00:16.080 --> 00:00:19.120] 首先是误区来源,是对稳定手腕的过度简化。
[00:00:19.660 --> 00:00:25.600] 许多网络投篮教练强调,投篮时手腕要直,本意是避免手腕松弛导致发力分散,
[00:00:25.680 --> 00:00:29.520] 但这种表述容易让学习者误以为手腕应全程保持锁定。
[00:00:29.520 --> 00:00:33.320] 而实际上,手腕的动态参与才是投篮精准的核心。
[00:00:33.860 --> 00:00:41.920] 这种低效的手腕结构具体表现为,投篮时刻意保持手腕角度不变,会导致手腕僵硬,削弱手指对球的控制,
[00:00:42.260 --> 00:00:46.860] 投出推而非拨的球,篮球旋转不足且篮球弧线偏平直。
[00:00:47.340 --> 00:00:52.360] 此类代表案例有威斯布鲁克,早期的爱德华兹,乔纳森,库明加,
[00:00:52.620 --> 00:00:56.600] 在国内还有大家熟知的周琦,周凯恒,孟伯龙等。
[00:00:56.900 --> 00:00:59.200] 这里需要辟个谣,一些网络投篮教练,
[00:00:59.200 --> 00:01:01.280] 宣扬的库里投篮时直腕的习惯。
[00:01:01.540 --> 00:01:04.900] 我们通过视频还原真相,观察库里的投篮慢动作,
[00:01:05.320 --> 00:01:08.440] 出球瞬间手腕自然后伸,处于蓄力状态,
[00:01:08.820 --> 00:01:13.660] 释放时迅速向前下压,形成手腕由后伸到前屈的连贯动作。
[00:01:14.160 --> 00:01:16.940] 无论在库里本人的投篮,还是他亲自教学中,
[00:01:17.220 --> 00:01:19.280] 他的投篮都是保持了手腕的后伸蓄力。
[00:01:19.900 --> 00:01:23.760] 在2024年NBA全明星期间,库里指导小球迷的投篮,
[00:01:24.060 --> 00:01:26.360] 就纠正了小球迷投篮时直腕的习惯。
[00:01:26.820 --> 00:01:27.780] 第二方面是,
[00:01:27.780 --> 00:01:31.960] 手腕在投篮中的力学角色,弹性储能与精准释放。
[00:01:32.360 --> 00:01:34.960] 手腕在投篮中扮演了类似弹簧的角色,
[00:01:35.380 --> 00:01:40.300] 在蓄力阶段,接球时手腕适度后伸,前臂击群蓄积弹性适能。
[00:01:40.880 --> 00:01:43.460] 在释放阶段,下肢力量传导至手臂后,
[00:01:43.820 --> 00:01:46.160] 手腕快速前屈,实现鞭打效应,
[00:01:46.440 --> 00:01:48.780] 将前臂的角速度转化为篮球的线速度,
[00:01:49.120 --> 00:01:51.640] 也就是将适能转化为篮球的旋转和抛物线。
[00:01:52.000 --> 00:01:54.840] 第三方面是,投篮中关于手腕的技术要点。
[00:01:54.840 --> 00:01:56.840] 首先,持球动作。
[00:02:24.840 --> 00:02:27.420] 投篮中手腕需要动态屈伸而非静态锁定,
[00:02:27.820 --> 00:02:31.160] 这是顶级射手的共性,并非某个球员的个人习惯。
[00:02:31.640 --> 00:02:35.300] 最后总结,直腕的真正含义是避免手腕左右晃动,
[00:02:35.640 --> 00:02:36.960] 而非禁止自然屈伸。
[00:02:37.420 --> 00:02:39.800] 动态的手腕爆发力结合手指控球,
[00:02:40.120 --> 00:02:41.680] 才是投篮精准化的核心。
[00:02:42.240 --> 00:02:44.640] 但需注意,投篮是全身协调动作,
[00:02:45.020 --> 00:02:47.520] 手腕必须与腿部发力,手臂伸展,
[00:02:47.840 --> 00:02:50.720] 核心稳定等环节配合,才能最大化效果。
[00:02:51.160 --> 00:02:53.120] 练习时建议录像复盘动作,
[00:02:54.840 --> 00:02:56.460] 避免固化错误动作。
