# Transcript: douyin_7210004973231377722

- URL: https://www.douyin.com/video/7210004973231377722
- Title: 共创 4287 【投篮技术专访】一段式是两段式投篮的基础，埃文·戈登谈中美投篮教学的差异！ #投篮教学 #投篮训练
- Published at: 2023-03-13 20:21:38+0800
- Generated at: 2026-06-12T17:53:35.147287+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:25.700] 在蔡崇信篮球奖学金训练营,本频道就投篮技术专题,采访了本次训练营的技术指导艾文·戈登,他现任汕头大学的主教练,曾经效力于NCAA传统强校亚利桑那州立大学,他也是NBA三分王艾里克·戈登的弟弟。
[00:00:30.000 --> 00:00:41.780] 这就是一个论点,我爸爸是个非常好的射手,他是一个二动手的射手,我老兄弟是一个二动手的射手,他是一个两个之间的混合。
[00:00:41.780 --> 00:00:59.280] 我是我一个一动手的射手,我认为一个动作是更加有效的,更加快,但是,你知道,作为一个小伙子,更重要的是能够快速地取得你的射击。
[00:00:59.280 --> 00:00:59.580] 是的。
[00:01:00.000 --> 00:01:02.820] 对于一个大小的男生,他可以做到两个动作。
[00:01:02.820 --> 00:01:13.780] 但是,我觉得今天的游戏要更有效率,你必须要先学会一动手,才能进入两个动作的射击。
[00:01:13.780 --> 00:01:14.340] 是的。
[00:01:14.340 --> 00:01:24.000] 例如,如果你教学生,比如10岁的孩子,一动手比两个动作更好。
[00:01:24.000 --> 00:01:24.880] 我相信是的。
[00:01:24.880 --> 00:01:25.580] 是的。
[00:01:25.580 --> 00:01:27.780] 对。
[00:01:27.780 --> 00:01:29.280] 好的,那是什么区别?
[00:01:29.280 --> 00:01:33.380] 我认为,在美国和中国,动作是在学习。
[00:01:33.380 --> 00:01:41.820] 我认为,在美国,有很多比较多的游戏,而不是只是站着的摄影。
[00:01:41.820 --> 00:01:51.040] 比如,一个球员可能会进行很多的打击,而这些打击将会是他们在一场比赛中的打击。
[00:01:51.040 --> 00:01:52.840] 所以,会有很多的重复。
[00:01:52.840 --> 00:01:57.580] 然后,就是在练习,练习什么在一场比赛中的事情。
[00:01:57.580 --> 00:01:58.560] 所以,在中国,我看到很多的球员在打击。
[00:01:58.560 --> 00:02:00.860] 我看到很多的球员在打击。
[00:02:00.860 --> 00:02:05.380] 他们在打击,但是在美国,可能会有一个人在打击你。
[00:02:05.380 --> 00:02:09.060] 他们在站着,让你感受到那种感觉。
[00:02:09.060 --> 00:02:09.560] 好的。
[00:02:09.560 --> 00:02:13.260] 但是,我认为,在中国,他们在打击比在美国更多。
[00:02:13.260 --> 00:02:16.060] 但是,结果不太好。
[00:02:16.060 --> 00:02:20.060] 因为,在比赛中,我们会跑,然后打击。
[00:02:20.060 --> 00:02:20.560] 是的。
[00:02:20.560 --> 00:02:21.860] 比较像一场比赛。
[00:02:21.860 --> 00:02:24.260] 这是我对我的球员来说的。
[00:02:24.260 --> 00:02:25.560] 那是好事。
[00:02:25.560 --> 00:02:27.700] 最重要的事情。
[00:02:27.700 --> 00:02:28.420] 最重要的事情。
[00:02:28.560 --> 00:02:29.360] 最重要的事情。
[00:02:29.360 --> 00:02:31.160] 打击是自信。
[00:02:31.160 --> 00:02:34.060] 一旦孩子失去自信,或者是一个球员。
[00:02:34.060 --> 00:02:35.560] 它很难回来。
[00:02:35.560 --> 00:02:38.560] 但是,为了建立那种重复。
[00:02:38.560 --> 00:02:42.760] 很多三分球的球员,其实是很好的二分球球员。
[00:02:42.760 --> 00:02:43.160] 是的。
[00:02:43.160 --> 00:02:48.060] 但是,我认为很多人,他们想打三分球那么快,他们不练习二分球。
[00:02:48.060 --> 00:02:49.560] 以为他们要先练习。
[00:02:49.560 --> 00:02:53.560] 就像他们来到球场,他们就开始打三分球。
[00:02:53.560 --> 00:02:54.060] 是的。
[00:02:54.060 --> 00:02:54.560] 是的。
[00:02:54.560 --> 00:02:57.560] 我认为,在他们整个中阶段,有些人他们不打三分球。
[00:02:57.560 --> 00:02:58.060] 他们只打三分球。
[00:02:58.560 --> 00:02:59.260] 他们只打两分球。
[00:02:59.260 --> 00:02:59.860] 哦,打三分球。
[00:02:59.860 --> 00:03:00.360] 是的。
[00:03:00.360 --> 00:03:03.360] 史蒂夫·克尔,是 Golden State Warriors的总裁。
[00:03:03.360 --> 00:03:05.860] 他是NBA的有名的射手。
[00:03:05.860 --> 00:03:09.560] 他说,他整个中阶段都没有打三分球。
[00:03:09.560 --> 00:03:10.060] 好的。
[00:03:10.060 --> 00:03:22.560] 你认为,如果你看到冠军,任何人都能赢得冠军,但没有一个队会完全只注重三分球。
[00:03:22.560 --> 00:03:26.560] 球员的球技,他们的进步。
[00:03:26.560 --> 00:03:27.560] 三分球。
[00:03:27.560 --> 00:03:57.560] other good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good
[00:03:57.560 --> 00:03:58.060] -Yeah.
[00:03:58.060 --> 00:03:58.560] -So.
