# Transcript: douyin_7146928066596572429

- URL: https://www.douyin.com/video/7146928066596572429
- Title: 1.1万 纳什的投篮为何如此神准？更适合普通人的标准模板，纳什投篮深度解析 #纳什 #投篮教学 #waveball
- Published at: 2022-09-24 20:51:01+0800
- Generated at: 2026-06-12T18:02:37.412344+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:05.340] 他是球场上的艺术家,也是一位战斗力十足的勇士,他的投篮之准历史罕见。
[00:00:05.680 --> 00:00:10.800] 四个赛季都进入了命中率180俱乐部,成为历史第一人,他就是史蒂夫·纳什。
[00:00:11.140 --> 00:00:15.500] 纳什的投篮为何如此神准?本期视频将全面解析纳什的投篮。
[00:00:16.000 --> 00:00:21.560] 纳什与库里的投篮有着明显不同,库里投篮采用的是侧身站位,加上侧腕持球。
[00:00:21.940 --> 00:00:26.320] 而纳什的投篮更符合传统标准,正对篮筐站位,正腕持球。
[00:00:26.320 --> 00:00:29.080] 纳什把投篮做到了非常标准的正义制。
[00:00:29.500 --> 00:00:35.800] 纳什常用的是一段式投篮,他的投篮都有明显的陈球习惯,持球与身体重心一同下沉。
[00:00:36.200 --> 00:00:42.500] 登地的同时开始起球,利用登地向上的力量顺势出手,整个动作一气呵成,没有停顿。
[00:00:42.920 --> 00:00:47.780] 首先是纳什投篮的下肢发力部分,第一点,我们从纳什的投篮站姿来看。
[00:00:48.160 --> 00:00:53.640] 他采用几乎与肩同宽的站距,右脚略在左脚之前,双脚的脚尖都指向篮筐。
[00:00:53.780 --> 00:00:55.820] 同时胸部也是正对篮筐的。
[00:00:55.820 --> 00:01:02.300] 第二点,纳什的投篮充分运用到了核心以及下肢力量,他通过较大幅度的屈膝区宽来蓄力。
[00:01:02.660 --> 00:01:08.140] 降重心的同时保持胸口朝前,防止躯干前倾,这能更好的衔接向上发力。
[00:01:08.520 --> 00:01:13.820] 纳什的脚下有明显体肿的习惯,积极地使用前脚掌发力,启动下肢登身。
[00:01:14.280 --> 00:01:22.080] 第三点,纳什在急停跳投出手后,常有双腿前摆的习惯,这能平衡身体重心,同时也能提高出手的弧度。
[00:01:22.240 --> 00:01:25.300] 纳什的急停跳投会在上肢发力点略有停顿。
[00:01:25.300 --> 00:01:29.080] 等待下肢腾空后出手,这更接近1.5段式投篮。
[00:01:29.540 --> 00:01:36.720] 其次是纳什投篮的上肢发力,纳什的投篮都是在下肢完全伸展后,开始顶肘向上,压腕向前出手。
[00:01:37.100 --> 00:01:51.480] 第一点,纳什是典型的右手肩上投篮,投篮手手肘有明显,内收的习惯,他的右肘部,右肩部,右臀部,右膝,右脚尖都在一条直线上,正对篮筐的中心线,这确保了他投篮方向的精准度。
[00:01:51.740 --> 00:01:53.860] 第二点,充分的顶肘与压腕,
[00:01:53.860 --> 00:02:11.460] 造就了纳什投篮的强后旋与高弧度,纳什在举球时都有提前锁腕的习惯,他的手腕的后曲角度较大,用掌根与篮球接触,五指自然伸展,在他向上顶肘时,手掌能更稳定地脱球,压腕时有更大的发力角度,保证了篮球充足的后旋。
[00:02:11.660 --> 00:02:23.760] 他在起球的同时,下把内收带动着头部后仰,这是投篮手更充分地向上顶肘,让力量自下而上高效地传导,最终也形成了较高的出手角度,提高了篮球飞行的弧度。
[00:02:23.860 --> 00:02:38.900] 第三点,投篮辅助手,纳什是非常纯粹的单手投篮,他的辅助手置于篮球的侧上方,仅用手指轻扶篮球,辅助手没有发力抓球与拇指轻弹的习惯。
[00:02:40.540 --> 00:02:53.840] 在上肢发力方面,很多人难以做到像纳什一样的正与直,主要是由于小臂旋前以及手腕后曲受限,小臂旋前受限,投篮手手肘自然就会外翻,导致上肢力线不直,影响投篮弹道的稳定。
[00:02:53.860 --> 00:02:59.380] 而手腕后曲受限,会造成举球不稳,压腕不充分提前脱手的情况。
[00:02:59.840 --> 00:03:03.740] 这需要加强上肢关节的灵活度训练以及肌肉、筋膜的松紧。
[00:03:04.720 --> 00:03:13.540] 总的来说,大多数普通人的身高、手掌尺寸平平、弹跳、力量水平一般,纳什的投篮,是更适合普通人的标准模板。
