# Transcript: douyin_7225136404202868005

- URL: https://www.douyin.com/video/7225136404202868005
- Title: 1.5万 投篮矫正 | 如何从低效的两段式颠投快速进化为流畅跳投！ #投篮矫正 #投篮教学 #waveball
- Published at: 2023-04-23 14:59:19+0800
- Generated at: 2026-06-12T17:50:32.657349+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:06.660] 视频中球员的投篮是具有代表性的两段式颠头,既没有出手速度,也没有出手高度。
[00:00:06.960 --> 00:00:14.800] 是一种比较低效的投篮模式,在职业赛场仅有少数大的球员仍在使用,而在国内这也是大众普遍使用的一种投篮模式。
[00:00:15.220 --> 00:00:19.300] 经过本人约两个月的指导矫正,这位球员的投篮发生了阶段性的变化。
[00:00:19.620 --> 00:00:24.620] 从头三分之力,重心前倾倒可以在三分线上轻松完成干拔、后仰。
[00:00:24.620 --> 00:00:29.160] 出手高度、出手角度显著提高、抗防守干扰性增强。
[00:00:29.440 --> 00:00:33.560] 完成了从两段式颠头到1.5段与两段式跳投的初步进化。
[00:00:33.940 --> 00:00:36.280] 本期视频将分享其中的一些矫正要点。
[00:00:36.660 --> 00:00:39.720] 对于大多数有类似问题的球友,极具参考意义。
[00:00:40.060 --> 00:00:46.760] 首先是整体的发力模型,这位球员之前是通过弯腰降重心、屈膝蓄力主导,重心明显前倾。
[00:00:47.220 --> 00:00:50.340] 他的膝关节、腰部、肩关节都累积了不少伤病。
[00:00:50.540 --> 00:00:53.820] 改善方法是建立躯宽后座蓄力主导。
[00:00:53.820 --> 00:00:56.160] 带动小幅度自然的屈膝的动作模式。
[00:00:56.460 --> 00:01:02.140] 调动更稳定更强大的宽关节周围的肌群,同时胸口朝向蓝框,腰背挺直。
[00:01:02.520 --> 00:01:05.900] 保持身体重心的稳定,以及力量的顺畅传导。
[00:01:06.040 --> 00:01:08.980] 此动作模式的建立对于该球员难度还是较大。
[00:01:09.300 --> 00:01:12.260] 他的宽关节、肩关节活动度都明显受限。
[00:01:12.620 --> 00:01:15.420] 还存在膝外板、圆肩驼背的体态问题。
[00:01:15.840 --> 00:01:18.780] 大约经过一个月的针对性矫正训练才初步达标。
[00:01:19.020 --> 00:01:22.880] 如果你还是难以找到区宽发力感,可以尝试一二步急停,
[00:01:22.880 --> 00:01:25.540] 以及后撤或侧撤的跳步来衔接蓄力。
[00:01:25.840 --> 00:01:29.460] 这都可以有效锁定膝关节,更多的调动身体的后测量。
[00:01:31.180 --> 00:01:32.220] 其次是发力节奏。
[00:01:32.500 --> 00:01:37.300] 他之前降重心与起球同步,下肢的登身是被上肢主动发力带动的伸展。
[00:01:37.620 --> 00:01:40.180] 下肢的伸展较慢,下肢完全伸展。
[00:01:40.380 --> 00:01:43.320] 登身力量传导上来时,球已将要出手。
[00:01:43.580 --> 00:01:45.340] 也就是我们常说的手快脚慢。
[00:01:45.740 --> 00:01:46.720] 发力效率较低。
[00:01:47.180 --> 00:01:49.760] 调整他的发力节奏为陈球与降重心同步。
[00:01:49.840 --> 00:01:52.860] 登地的同时起球,主动用前脚掌启动登地。
[00:01:52.880 --> 00:01:53.080] 上肢伸展同步。
[00:01:53.400 --> 00:01:55.160] 起球与下肢的伸展同步。
[00:01:55.460 --> 00:02:00.440] 等待下肢完全伸展后上肢再发力出手,也就是充分向上后再向前。
[00:02:00.760 --> 00:02:03.800] 力量传导更高效,上下肢做到了协同发力。
[00:02:04.160 --> 00:02:07.320] 最后,需要强调的是一个非常重要的环节收球。
[00:02:07.620 --> 00:02:10.020] 这也是这位球员需要继续优化的部分。
[00:02:10.300 --> 00:02:14.280] 我用收球的动作来抑制他过早地打开大臂与身体的夹角。
[00:02:14.560 --> 00:02:18.460] 同时上肢向身体内收球,也会使躯宽后座变得自然流畅。
[00:02:18.640 --> 00:02:22.360] 这是目前我解决投篮中上下肢协同发力最有效的方法。
[00:02:22.880 --> 00:02:52.060] guards
[00:02:52.060 --> 00:02:46.020] guards
[00:02:52.060 --> 00:02:46.020] guards
[00:02:52.880 --> 00:02:55.880] 好
[00:03:05.880 --> 00:03:06.880] 明白了
[00:03:06.880 --> 00:03:07.880] 太好了
[00:03:07.880 --> 00:03:09.880] 这个练习的没问题
[00:03:09.880 --> 00:03:11.880] 太辛苦了
