# Transcript: douyin_7002158395511934212

- URL: https://www.douyin.com/video/7002158395511934212
- Title: 10.5万 如何像利拉德一样远投？利拉德投篮的3大细节！ #利拉德 #篮球干货 #投篮教学
- Published at: 2021-08-30 17:50:46+0800
- Generated at: 2026-06-12T18:13:40.358266+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:06.860] 在10年前,超远三分几乎只是节末的运气一扔,而在10年后这已经成了一些球员们的常规武器。
[00:00:07.220 --> 00:00:15.960] 据统计,19-20赛季的利拉德投进了54季超远三分球,成为了NBA历史上单赛季超远三分命中最多的球员。
[00:00:16.360 --> 00:00:24.420] 在30英尺约合9.14米外的三分命中率,联盟的平均值为22.9%,而利拉德却能达到41.5%。
[00:00:24.420 --> 00:00:33.900] 奥士全联盟。利拉德能把超远三分投的如此轻松协议,除了他经历了无数个小时的刻谱特训外,这也和他独特的投篮方式密切相关。
[00:00:34.240 --> 00:00:36.760] 本期视频解析利拉德投篮的三大细节。
[00:00:37.220 --> 00:00:38.640] 细节一,投篮出手点。
[00:00:39.060 --> 00:00:47.500] 很多人会认为像科比、詹姆斯那样在头顶上方的出手点才是标准的投篮,相比较低的出手点,高出手点需要更好的身体素质。
[00:00:47.700 --> 00:00:54.220] 射程有限。利拉德的出手点就相对较低,他把出手点放在了额头位置,大约是右手的食指。
[00:00:54.420 --> 00:00:59.280] 直向他的眉毛。降低出手点可以利用更多的下肢力量,大大增加了射程。
[00:00:59.640 --> 00:01:02.200] 利拉德以证明低出手点一样可以获得成功。
[00:01:02.660 --> 00:01:07.440] 如果你担心低出手点会被封盖,那你就需要提高出手速度,或者在控球。
[00:01:07.840 --> 00:01:09.640] 创造投篮空间方面下功夫。
[00:01:09.960 --> 00:01:11.040] 细节二,陈球。
[00:01:11.340 --> 00:01:14.860] 在三分级远距离投篮时,利拉德都有明显的陈球。
[00:01:15.040 --> 00:01:18.920] 陈球习惯能保证每次投篮出手的姿势,及节奏的稳定。
[00:01:19.280 --> 00:01:22.840] 其次陈球也能让我们充分利用下肢力量,让射程更远。
[00:01:23.260 --> 00:01:24.400] 同上同下是一段事。
[00:01:24.440 --> 00:01:29.540] 投篮发力的核心要素,利拉德总是将球与臀部朝同一个方向移动,球下沉。
[00:01:29.880 --> 00:01:32.140] 臀部下沉,举球同时抬起臀部。
[00:01:32.520 --> 00:01:34.180] 这在远距离投篮时尤为重要。
[00:01:34.640 --> 00:01:38.440] 很多人会在此处犯错,他们总是将球与臀部反方向地移动。
[00:01:38.840 --> 00:01:44.540] 在举球时下蹲,球会在头部位置卡顿,投篮发力脱节,失去了大部分的下肢力量。
[00:01:44.720 --> 00:01:47.440] 在远距离投篮时,养成陈球的习惯。
[00:01:47.880 --> 00:01:51.640] 球与臀部同上同下一动,你也能像利拉德一样轻松远投。
[00:01:51.640 --> 00:01:59.980] 细节三,投篮的直线发力,由于人的生理结构,单手单肩投篮时,投篮手会偏离身体正前方20度到30度。
[00:02:00.320 --> 00:02:06.700] 利拉德是右手投篮,他将双脚及臀部向左内旋,形成侧身,来修正这个手臂的水平外展角。
[00:02:07.040 --> 00:02:13.160] 在他出手时将臀部右侧正对篮筐,这可以消除上半身肌肉的紧张,让投篮更轻松流畅。
[00:02:13.480 --> 00:02:19.580] 同时这也避免了投篮手肘的过度外翻,让腿、臀部、手臂在同一条直线上正对篮筐。
[00:02:21.640 --> 00:02:51.620] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
