# Transcript: douyin_6999194171127074056

- URL: https://www.douyin.com/video/6999194171127074056
- Title: 4.5万 齐聚5位全美第1高中生！杰伦·格林与他的“独角兽家族” #UNICON #UniconFam #杰伦格林
- Published at: 2021-08-22 18:08:03+0800
- Generated at: 2026-06-12T18:13:48.932487+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:12.360] 2018年,佛罗里达州立大学的教练,在观看了杰伦格林的一场高中比赛后,用unicorn,独角兽这个词来形容杰伦格林,誉为他的天赋如同独角兽一般,只存在于传说里。
[00:00:12.740 --> 00:00:17.780] 随后杰伦格林的这个绰号也被广为流传,同年杰伦格林创建了独角兽家族。
[00:00:17.880 --> 00:00:22.960] 他重新定义了独角兽,意为拥有独特个人风格,在球场上无所不能的人。
[00:00:23.340 --> 00:00:26.320] 先后有八名顶尖高中生加入了独角兽家族。
[00:00:26.320 --> 00:00:32.080] 他们分别是2019届,排名第一的詹姆斯·怀斯曼,现效力于荆州勇士队。
[00:00:32.380 --> 00:00:36.920] 2019届排名第五的RJ汉普队,现效力于奥兰多魔术队。
[00:00:37.420 --> 00:00:41.440] 2020届排名第六的杰伦萨克斯,现效力于奥兰多魔术队。
[00:00:41.760 --> 00:00:45.980] 2019届排名第六的弗农凯里,现效力于夏诺特黄蜂队。
[00:00:47.600 --> 00:00:52.960] 2021届排名第一的切特霍姆格伦,他现已加入了NCAB的钢萨加大学。
[00:00:53.520 --> 00:00:55.900] 2021届排名第五是位的西安哈蒙。
[00:00:55.900 --> 00:01:02.880] 哈蒙身高虽然只有180厘米,但有着极强的单打能力,曾获得了2019年全美高中生单挑王。
[00:01:03.280 --> 00:01:08.040] 现已加入了NCAA的西肯塔基大学,独角兽家族中还有两位女球员。
[00:01:08.420 --> 00:01:13.660] 2020届排名第一的佩奇·布克斯,现效力于NCAA的康尼迪格大学。
[00:01:14.000 --> 00:01:16.900] 他在上赛季获得了2021年度全美最佳球员。
[00:01:17.240 --> 00:01:20.340] 另一位是2021届排名第一的阿奇福德。
[00:01:20.760 --> 00:01:25.880] 高中时期佩奇是他在赛场上最大的竞争对手,但私下他们又是非常亲密的。
[00:01:25.900 --> 00:01:26.260] 他和他同时也成为了一对很好的好友。
[00:01:26.600 --> 00:01:29.960] 竞赛季他也将加入康尼迪格大学与佩奇成为队友。
[00:01:30.300 --> 00:01:35.360] 独角兽家族成为了美高赛场的一段佳话,他们是一群有共同追求的年轻人。
[00:01:35.760 --> 00:01:39.380] 他们千夫一柄,他们刻苦努力,他们也都渴望成为传奇。
