# Transcript: douyin_6997613791248747806

- URL: https://www.douyin.com/video/6997613791248747806
- Title: 3.2万 你知道你的主视眼是哪一只吗？在投篮时用主视眼瞄准真的重要吗？ #投篮教学 #篮球干货 #库里
- Published at: 2021-08-18 11:55:23+0800
- Generated at: 2026-06-12T18:14:05.126005+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:04.760] 库里投篮为何总是歪头描蓝,球哥早期投篮为何总是从左侧起球。
[00:00:05.160 --> 00:00:07.980] 本期视频解析在投篮中关于主视眼的秘密。
[00:00:08.360 --> 00:00:10.680] 人类在用眼过程中是否存在主视眼?
[00:00:11.120 --> 00:00:16.600] 从人的生理角度讲,99%的人都有一个主视眼,可能是左眼,也可能是右眼。
[00:00:16.920 --> 00:00:18.920] 也有接近1%的人没有主视眼。
[00:00:19.340 --> 00:00:21.900] 主视眼所看到的东西会被大脑优先接收。
[00:00:22.360 --> 00:00:28.060] 这点类似于人们惯用右手或惯用左手的偏向性,在正常的双眼视觉中存在视差效应。
[00:00:28.060 --> 00:00:33.580] 主视眼是定位目标精确位置信息的眼,这在需要瞄准的运动中起到重要作用。
[00:00:33.960 --> 00:00:37.480] 如何确定自己的主视眼,在视频的最后会做详细介绍。
[00:00:37.900 --> 00:00:42.860] 在篮球运动中,右手型球员,右眼为主视眼,那么这被称作同侧主导。
[00:00:43.260 --> 00:00:46.820] 右手型球员,左眼为主视眼,这被称作一侧主导。
[00:00:47.220 --> 00:00:52.920] 如果你的投篮不稳定,投篮线路总是左右偏移,很可能就是由于你的瞄篮机制存在问题。
[00:00:53.160 --> 00:00:57.720] 我们在确定主视眼后,可以根据瞄篮的主导方式来调整自己的起球。
[00:00:58.060 --> 00:01:01.460] 同侧主导的类型可以学习汤普森·库里的起球方式。
[00:01:01.920 --> 00:01:08.220] 从身体的中路起球,再投入偏右侧抬球,让投篮线路更加接近你的主视眼,达到主视眼。
[00:01:08.560 --> 00:01:11.080] 手腕、篮筐,三点在一条直线上。
[00:01:11.440 --> 00:01:14.100] 左手型球员则可参考小托马斯与詹宁斯。
[00:01:14.500 --> 00:01:20.300] 如果是一侧主导型,不建议学习球哥、杜兰特、拉塞尔他们这类从一侧抬球投篮的模式。
[00:01:20.480 --> 00:01:26.400] 一侧抬球虽然拥有更好的瞄篮视野,但抬球线路是一个曲线,在运动中很难控制。
[00:01:28.060 --> 00:01:35.140] 在上赛季,球哥就已经调整了自己的起球方式,从以前的左侧起球,改为了从身体中部起球。
[00:01:35.580 --> 00:01:38.000] 他上赛季的投篮命中率也有明显提升。
[00:01:38.440 --> 00:01:46.240] 一侧主导型,四柱推荐詹姆斯·哈登的起球方式,从身体的中路起球,抬球点放在两眼之间,投篮线路接近主视眼。
[00:01:46.600 --> 00:01:50.080] 这样起球线路几乎是直线,同时又使用了主视眼瞄篮。
[00:01:50.400 --> 00:01:55.600] 此方法左右手型球员都适用,还有那不到1%用双眼瞄准的人同样适用。
[00:01:56.020 --> 00:01:58.040] 投篮本身是一项非常复杂的技术。
[00:01:58.080 --> 00:02:00.680] 主视眼只是其中很少有人注意的一环。
[00:02:01.020 --> 00:02:06.620] 如果你的投篮仪很稳定,就不需要为了迁就主视眼,去修改自己习惯的投篮动作了。
[00:02:06.960 --> 00:02:09.380] 最后,该如何确定自己的主视眼呢?
[00:02:09.740 --> 00:02:13.460] 推荐使用世界知名眼科医学博士西奥多朗的测试方法。
[00:02:13.800 --> 00:02:16.500] 在一张纸上剪一个直径约4厘米的孔。
[00:02:16.580 --> 00:02:19.220] 在第二张纸上写一个字母,大约3厘米高。
[00:02:19.660 --> 00:02:23.480] 将带有字母的纸粘贴在墙上,大约与眼睛齐平的高度。
[00:02:23.860 --> 00:02:25.780] 你站在离墙约3米远的地方。
[00:02:25.780 --> 00:02:29.580] 你的双手握住有孔的纸,将孔放在你的双眼之间。
[00:02:30.020 --> 00:02:32.500] 透过纸上的孔用双眼指示墙上的字母。
[00:02:32.920 --> 00:02:40.460] 此时不要移动或调整你的位置,闭上一只眼睛,如果你看到字母还在孔洞中,那么睁开的那只眼就是你的主视眼。
[00:02:40.840 --> 00:02:45.480] 如果你看到字母在孔洞中消失,那么睁开的那只眼就是你的非主视眼。
[00:02:45.860 --> 00:02:54.660] 如果你两只眼睛分别都能看到字母或者两次测试,看到字母都有位移,那么你就是纳不到1%,没有主视眼,用双眼瞄准的人。
[00:02:55.780 --> 00:02:58.060] 如果你看到字母在孔洞中消失,那么你就是纳不到1%,没有主视眼。
