# Transcript: douyin_7479695041884097830

- URL: https://www.douyin.com/video/7479695041884097830
- Title: 3732 罕见优质！会跳投的中国女库里，邓雨婷投篮深度解析 她既能像库里一样在比赛中从容的极限出手，也能面对防守像布克一样贴脸跳投，她就是最近在NCAA打出名堂的中国球员邓雨婷，邓雨婷的投射技术足够优秀，在女生中是非常罕见，也是比较值得国内球员与普通大众参考的模型。#邓雨婷 #waveball #投篮教学
- Published at: 2025-03-09 14:36:50+0800
- Generated at: 2026-06-12T17:34:50.198242+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:06.320] 他既能像库里一样,在比赛中从容地极限出手,也能面对防守像不可一样贴脸跳投。
[00:00:06.620 --> 00:00:18.140] 他就是最近在NCAA打出名堂的中国球员邓宇婷,邓宇婷的投射技术足够优秀,在女生中是非常罕见,也是比较值得国内球员与普通大众参考的模型。
[00:00:18.420 --> 00:00:20.800] 本期视频就深度解析邓宇婷的投篮。
[00:00:21.260 --> 00:00:27.340] 首先是邓宇婷的投篮发力节奏,以她的接球投篮为例,收球的同步进行了重心的下沉。
[00:00:27.340 --> 00:00:31.160] 她的上肢会略早发力起球,但下肢保持着张力。
[00:00:31.500 --> 00:00:38.580] 登地的同步宽关节伸展将身体向上略向后推动,下肢趋于伸展时,上肢伸肘压腕出手。
[00:00:38.960 --> 00:00:47.800] 但在她的中距离跳投时,仍然是登地同步起球的发力节奏,下肢登身更加积极,起跳更充分,在上升中顺势出手。
[00:00:48.180 --> 00:00:54.220] 第二方面是邓宇婷的下肢发力模型,她的下肢是怀系宽三关节联动蓄力的模式。
[00:00:54.380 --> 00:00:56.280] 下肢整体是内旋的结构。
[00:00:56.280 --> 00:01:03.840] 宽关节内旋带动膝关节怀关节的内旋内收,这让她拥有稳定重心的同时整体更具弹性与爆发。
[00:01:04.300 --> 00:01:13.240] 很多人由于怀关节或宽关节的活动度受限,更多的俯身弯腰或膝关节前跪来降重心,跪出现脚外八星内扣等松散的下肢结构。
[00:01:13.700 --> 00:01:22.540] 这里值得一提的是女性相比男性普遍骨盆更宽,宽关节灵活性更好,快速下降重心,保持身体平衡的能力更佳。
[00:01:22.740 --> 00:01:26.160] 在投篮中需要频繁使用坐姿曲宽降重心的动作。
[00:01:26.280 --> 00:01:30.680] 由于生理结构的差异,女性在此环节就比男性更具技术优势。
[00:01:34.820 --> 00:01:37.500] 第三方面是邓雨婷投篮的上肢结构。
[00:01:37.780 --> 00:01:40.720] 邓雨婷采用的是侧腕持球起球的模式。
[00:01:41.100 --> 00:01:48.880] 她的起球轨迹是从身体中线拉向右肩,这与肩关节肘关节自然的运动轨迹吻合,也让她的出手快速流畅。
[00:01:48.880 --> 00:01:51.060] 她有辅助手拇指拨球的习惯。
[00:01:51.360 --> 00:01:54.880] 辅助手拇指的拨球更多的是保证双手的平衡。
[00:01:56.280 --> 00:01:58.220] 她的手指和手指的拨球轨道。
[00:01:58.220 --> 00:02:02.500] 同时她的出手,投篮手保持拉直,动作重复性较好。
[00:02:02.500 --> 00:02:05.280] 最后,是对邓雨婷投篮的两点建议。
[00:02:05.280 --> 00:02:09.260] 第一点,可统一她远投与中距离跳投的发力习惯。
[00:02:09.260 --> 00:02:11.960] 在远距离投篮也保持更积极的蹬地。
[00:02:11.960 --> 00:02:15.920] 这可提高她面对不同强度防守下,投篮动作的一致性。
[00:02:15.920 --> 00:02:20.020] 也能增强她在远距离投篮时抗防守干扰的能力。
[00:02:20.020 --> 00:02:24.820] 第二点,可参考库里投篮修改的历程,减少投篮手手肘的外翻。
[00:02:24.820 --> 00:02:31.220] 这也能增加她的手肘扶住手拇指拨球的参与程度,从而进一步提高上肢手型的稳定性。
