# Transcript: douyin_7014311118449528071

- URL: https://www.douyin.com/video/7014311118449528071
- Title: 5.2万 顶级射手的高阶技术—投篮辅助手拇指拨球的真相 #库里 #辅助手 #投篮教学
- Published at: 2021-10-02 11:49:32+0800
- Generated at: 2026-06-12T18:12:32.828111+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:04.100] 提到投篮辅助手的拇指拨球,很多人会觉得它是一个坏习惯。
[00:00:04.500 --> 00:00:08.440] 本期视频解析以库里·欧文为代表的投篮辅助手拇指拨球。
[00:00:08.880 --> 00:00:13.980] 首先我们从库里的投篮说起,库里在投篮出手时,辅助手拇指会向内扣拨球。
[00:00:14.340 --> 00:00:19.660] 尤其在他的远距离投篮时,辅助手拇指向内扣的力度与幅度都变得更加明显。
[00:00:19.940 --> 00:00:23.840] 在这一记超远三分钟,他的辅助手手腕都内旋了约90度。
[00:00:23.840 --> 00:00:29.260] 在他出手后由于辅助手向右发力的惯性,辅助手与投篮手快速撞击到了一起。
[00:00:29.720 --> 00:00:35.340] 库里辅助手拇指的拨指,主要帮助他将篮球拨向他的投篮手,确保投篮手直线发力。
[00:00:35.780 --> 00:00:44.640] 从力学角度来看,库里使用此技术和他的起球有关,库里采用的是侧腕起球,到达抬球点时,手腕过于偏左,未朝向篮筐。
[00:00:44.960 --> 00:00:49.880] 在抬球点时,辅助手拇指拨指向右,通过左右手的合力达到方向的一致性。
[00:00:49.880 --> 00:00:57.480] 在库里的常规投篮中,他的辅助手拇指拨球,对投篮力量的影响是很小的,主要作用于投篮弹道的修正。
[00:00:57.480 --> 00:01:01.760] 从他从小的投篮习惯来看,库里年幼时采用的是双手投篮。
[00:01:01.760 --> 00:01:05.760] 在他的双手投篮中,移用到了辅助手拇指的拨球技术。
[00:01:05.760 --> 00:01:11.960] 在他经典的球员通到投篮时,他也使用的是双手投篮,基本延续了他年幼时的技术动作。
[00:01:11.960 --> 00:01:17.340] 其次,我们再来分析欧文的投篮,都是在三分线距离的出手,相比库里。
[00:01:17.340 --> 00:01:20.840] 欧文投篮时的辅助手,拇指的拨指幅度更大。
[00:01:20.840 --> 00:01:25.960] 欧文同样采用的是投篮手侧腕起球,同时他习惯于从身体左侧起球。
[00:01:25.960 --> 00:01:30.840] 投篮时身体重心也略偏左,这导致他在抬球点时投篮力线过于偏左。
[00:01:30.840 --> 00:01:39.840] 他用辅助手拇指更大幅度向右的拨指,来修正投篮力线的偏移。
[00:01:39.840 --> 00:01:47.300] 在此片段对比下,我们可以明显的看到,詹姆斯投篮时,辅助手跟随动作与欧文辅助手拨球动作的差别。
[00:01:47.300 --> 00:01:54.300] NBA传奇射手雷基·米勒,在他的投篮中也使用了辅助手拇指拨球的技术。
[00:01:54.300 --> 00:01:58.800] 这么多优秀射手都在使用该技术,那么是否值得我们去学习呢?
[00:01:58.800 --> 00:02:02.300] NBA知名技巧训练士德鲁·汉伦,给出了建议。
[00:02:17.300 --> 00:02:24.300] 他说,如果有一个辅助手拨球的技术,他会使用他的拇指。
