# Transcript: douyin_7182430630523718968

- URL: https://www.douyin.com/video/7182430630523718968
- Title: 3.4万 你的投篮为何费力？物理学解读常见的6种投篮力学模型 #投篮教学 #库里 #下坠跳投
- Published at: 2022-12-29 12:59:06+0800
- Generated at: 2026-06-12T17:57:46.721830+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:01.520] 这是库里的向上投篮。
[00:00:02.840 --> 00:00:04.640] 这是早期罗斯的下坠投篮。
[00:00:06.400 --> 00:00:08.340] 这是维斯布鲁克的僵尸跳投。
[00:00:09.760 --> 00:00:11.960] 这是以赛亚托马斯的前跳投篮。
[00:00:13.240 --> 00:00:14.880] 这是科沃尔的飘移跳投。
[00:00:15.920 --> 00:00:20.120] 本期视频将从力学的角度来解读六种常见的投篮模型。
[00:00:20.580 --> 00:00:25.400] 投篮是一种斜抛运动,我们实力于篮球,篮球以弧形的轨迹穿过篮筐。
[00:00:25.740 --> 00:00:28.560] 篮球会受到水平方向和垂直方向的力。
[00:00:28.560 --> 00:00:37.420] 我们在三分线上投篮时,篮球要穿过篮筐,假设需要的水平力与垂直力都是10牛顿,而篮球的速度为2米每秒。
[00:00:37.780 --> 00:00:42.760] 第一种力学模型,我们在三分线上不起跳,单纯地靠上肢的力量来投篮。
[00:00:43.200 --> 00:00:49.100] 我们的上肢就必须产生10牛顿的垂直力与10牛顿的水平力,才能将球投进篮筐。
[00:00:49.560 --> 00:00:55.100] 这相当于在三分线上进行站投,对于力量水平一般的普通人来说是比较困难的。
[00:00:55.240 --> 00:00:57.700] 但这也是很多人罚球时的巴力模式。
[00:00:57.700 --> 00:01:02.780] 在罚球线的距离,很多人无需起跳,仅凭上肢力量也能完成投篮。
[00:01:03.220 --> 00:01:07.380] 第二种力学模型,垂直向上起跳,在起跳的过程中投篮。
[00:01:07.720 --> 00:01:16.480] 当我们垂直起跳投篮时,假设起跳的速度是1米每秒,此时篮球也以1米每秒的速度上升,要在三分线上命中投篮。
[00:01:16.840 --> 00:01:22.180] 我们的上肢只需要在垂直方向输出5牛顿的力,水平方向的力仍然是10牛顿。
[00:01:22.540 --> 00:01:24.560] 这也就是库里的投篮发力模型。
[00:01:24.780 --> 00:01:27.020] 他在起跳后快速衔接了出手。
[00:01:27.700 --> 00:01:29.980] 投篮最大化的利用了起跳产生的垂直力。
[00:01:30.320 --> 00:01:34.760] 他的上肢发力就变得比较轻松,这也是库里能够轻松远投的关键。
[00:01:35.120 --> 00:01:37.500] 第三种力学模型是罗斯的下坠跳投。
[00:01:37.940 --> 00:01:44.420] 投篮在起跳的下落阶段才开始出手,假设下落的速度为1米每秒,篮球将与球员一同下落。
[00:01:44.800 --> 00:01:49.160] 此时要产生2米每秒的球速,上肢就会需要输出更大的垂直力。
[00:01:49.460 --> 00:01:54.160] 水平方向所需的力仍然是10牛顿,垂直方向的力就需要15牛顿。
[00:01:54.320 --> 00:01:57.540] 这就是早期罗斯投篮的方式,它爆炸的弹跳。
[00:01:57.700 --> 00:01:59.420] 但绝对没有给他的投篮增加力量。
[00:01:59.720 --> 00:02:03.840] 他在起跳的下落阶段上肢才发力出手,反而增加了上肢的负担。
[00:02:04.240 --> 00:02:06.960] 第四种力学模型是威斯布鲁克的僵尸跳投。
[00:02:07.400 --> 00:02:12.100] 也就是在起跳的最高点出手投篮,上肢在空中有明显的停顿后发力。
[00:02:12.420 --> 00:02:17.200] 篮球并没有获得垂直向上的加速度,此时要产生2米每秒的球速。
[00:02:17.540 --> 00:02:20.220] 上肢必须产生10牛顿的垂直力与水平力。
[00:02:20.320 --> 00:02:26.000] 这在中近距离的投篮,对上肢力量的要求较低,对投篮稳定性的影响较小。
[00:02:26.000 --> 00:02:34.000] 但到了三分线或更远的射程,无法从下肢获得投篮力量,上肢的过度发力,就很容易导致投篮手型的变形。
[00:02:34.320 --> 00:02:39.800] 即使是威斯布鲁克这类爆发力十足的球员,在三分线上也会频繁投出三不沾。
[00:02:40.220 --> 00:02:45.420] 第五种力学模型是托马斯的前跳投篮,小托马斯也是在起跳的最高点出手。
[00:02:45.680 --> 00:02:50.080] 但他的起跳是大幅向前跳,假设他向前起跳的速度为1米每秒。
[00:02:50.220 --> 00:02:55.540] 那么他要在三分线上命中投篮,他在水平方向上只需要输出5牛顿的力。
[00:02:55.540 --> 00:03:00.980] 在垂直方向上他是在最高点出手,篮球几乎没有获得垂直向上的加速度。
[00:03:01.240 --> 00:03:07.040] 所以垂直方向仍需要输出10牛顿的力,小托马斯的前跳仍然增加了他投篮的力量。
[00:03:07.380 --> 00:03:11.720] 第六种力学模型是科沃尔的飘移投篮,他的起跳是向上向前跳。
[00:03:12.080 --> 00:03:18.300] 他是在起跳的过程中出手投篮,他的起跳在水平方向与垂直方向,都为投篮增加了力量。
[00:03:18.400 --> 00:03:25.220] 假设他起跳在水平方向与垂直方向上的速度都是1米每秒,那么他要在三分线上命中投篮。
[00:03:25.540 --> 00:03:29.540] 上至在水平与垂直方向上,只需要输出5牛顿的力量。
[00:03:30.620 --> 00:03:34.300] 轻松省力的发力模式是保证投篮稳定的重要根基。
[00:03:34.700 --> 00:03:39.460] 科沃尔相对高效的发力方式也使他成为了NBA历史前十的投手。
