# Transcript: douyin_7218037631957929220

- URL: https://www.douyin.com/video/7218037631957929220
- Title: 2.3万 相对高效的下肢发力模型，上肢发力存在明显短板！黄宇军投篮技术深度解析 #黄宇军 #waveball
- Published at: 2023-04-04 11:52:27+0800
- Generated at: 2026-06-12T17:51:35.024937+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.160 --> 00:00:07.340] 大家一直催更黄宇军的投篮解析,在上月,黄宇军到访重庆,本人也在现场多角度记录了他的投篮。
[00:00:07.620 --> 00:00:15.120] 黄宇军的投篮模式,有不少值得大众借鉴的方面,但也存在着明显短板,本期视频将深度解析黄宇军的投篮。
[00:00:15.480 --> 00:00:20.320] 黄宇军在远距离惯用的是,一段是投篮,在中近距离常用两段是跳投。
[00:00:20.720 --> 00:00:25.480] 但两种投篮方式的发力节奏却是相同的,黄宇军投篮的整体发力节奏是,
[00:00:25.480 --> 00:00:32.080] 降重心与陈球同步,登地的同时起球,上下直是协调发力的,投篮动作的流畅性较好。
[00:00:32.380 --> 00:00:41.240] 第一方面,是黄宇军的投篮的下置发力,首先,黄宇军拥有相对高效的下置发力模型,快速降重心与下置登身的能力都较强,
[00:00:41.520 --> 00:00:48.380] 他的降重心是去宽主导,趋宽带动小幅度的屈膝,脚下有明显的体重习惯,脚下的登身快速积极。
[00:00:48.380 --> 00:00:52.480] 其次是,投篮站姿,黄宇军习惯较宽的站姿,是略宽于肩的。
[00:00:52.740 --> 00:00:58.100] 这有助于投篮时建立稳定的身体平衡,但这也会一定程度降低下置的登身速度。
[00:00:58.360 --> 00:01:05.280] 对于初学者以及动态平衡能力一般的人,不要盲目追求窄距站位,身体的平衡才是投篮中最重要的基础。
[00:01:05.540 --> 00:01:12.440] 最后是关于下置的内旋发力,黄宇军的下置有内旋发力的习惯,在他的急停投篮中更为常见。
[00:01:12.440 --> 00:01:18.580] 具体表现为,向下蓄力时,关部右侧主动向内旋,带动膝关节与踝关节左旋。
[00:01:18.840 --> 00:01:23.960] 这不但能快速拉紧身体的后侧链,还能修正他手肘外翻对投篮方向的干扰。
[00:01:24.220 --> 00:01:28.560] 内旋蓄力的势能是非常强大的,我们在后期视频中将做出详细。
[00:01:28.820 --> 00:01:35.480] 黄宇军投篮的下置发力模型,是比较值得大众参考学习的,下面是黄宇军投篮的上置发力部分。
[00:01:35.740 --> 00:01:38.040] 这部分也是导致他投篮不稳定的重点。
[00:01:38.040 --> 00:01:43.680] 首先是持球,他的投篮手,五指用力伸展,有用虎口刻意去卡球的习惯。
[00:01:43.920 --> 00:01:49.040] 这能确保在起球到出手阶段,篮球的重心一直保持在食指与中指一侧。
[00:01:49.300 --> 00:01:54.940] 这对于他个人来说,这样的持球是相对稳定的,主要得于他远超身高比例的大手。
[00:01:55.200 --> 00:01:59.540] 其次是起球出手,黄宇军沿着身体中线起球,从头中出手。
[00:01:59.800 --> 00:02:02.620] 这就导致了他的手肘会出现明显的外翻。
