# Transcript: douyin_7552362733249793315

- URL: https://www.douyin.com/video/7552362733249793315
- Title: 6135 再次成功诊断库里投篮问题！库里自述“在足弓间打球” 我之前对库里投篮问题的诊断，在库里最新发布的自传中得到验证。库里：我整个上半身的所有动作都在为纠正脚下的失衡而做出调整，这次投篮或许还是能投进，但投进的概率已经“谬以千里”。 #发力矫正 #投篮教学 #waveball #库里
- Published at: 2025-09-21 10:24:36+0800
- Generated at: 2026-06-12T16:36:49.109634+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:04.620] 我对库里最新投篮问题的诊断再次在他的自述中得到了验证。
[00:00:05.520 --> 00:00:16.600] 2025年8月19日,库里中国行的当天,在我的家乡重庆,我现场对库里的投篮进行了诊断,并以视频的形式呈现给大家,同样遭到很多网友的质疑。
[00:00:16.960 --> 00:00:24.240] 但在库里2025年9月最新发布的自传中,他描述自己常遇到的投篮的问题与我之前的诊断基本一致。
[00:00:24.240 --> 00:00:35.560] 布兰登对我的指导精确到毫米级别,看到一记投篮轻微偏左,他能马上指出我把过多的重心放在了第五支骨,也就是小脚趾上。
[00:00:36.080 --> 00:00:41.600] 一根小脚趾上的插制毫里会导致整个动作链出现波动,最终影响我的出手。
[00:00:41.680 --> 00:00:52.900] 原视频中我描述了近年来,库里的投篮有时会出现两脚不平衡的状况,过度的右侧沉重,难以建立动态平衡的基础会导致投篮手的摇摆左偏。
[00:00:52.900 --> 00:00:55.980] 其次,库里也描述了他的投篮的代偿机制。
[00:00:55.980 --> 00:01:00.940] 为了弥补这个微小的偏差,我不得不通过扭动胯部来重新获得平衡。
[00:01:01.740 --> 00:01:08.840] 随后,我整个上半身的所有动作都在为纠正小脚趾的适衡而做出调整。
[00:01:09.720 --> 00:01:15.520] 这次投篮或许还是能投进,但投进的概率已经没有1000里。
[00:01:15.760 --> 00:01:20.120] 在伤病影响或极端投篮场景时,库里也不得不使用代偿机制。
[00:01:20.280 --> 00:01:22.880] 我在原视频中同样提出了他投篮的代偿机制。
[00:01:22.900 --> 00:01:25.380] 并与他的字数完全相符。
[00:01:29.320 --> 00:01:37.540] 在库里的最新自传中,还强调了他的私人训练师布兰登·佩恩要求他投篮中追求极致的平衡,在足弓之间打球。
[00:01:38.000 --> 00:01:44.660] 在库里发布自传之前,在我对球员的训练中,也提出了同样的训练理念,并对球员的投篮进行改造。
[00:01:52.900 --> 00:01:53.020] 在赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛赛
[00:02:22.900 --> 00:02:24.320] 预想平衡
[00:02:24.320 --> 00:02:24.520] 对
[00:02:24.520 --> 00:02:25.580] 漂亮
