# Transcript: douyin_7362466119086656804

- URL: https://www.douyin.com/video/7362466119086656804
- Title: 6761 用腿投篮，用眼追踪！库里私人训练师深度解析库里投篮 #投篮教学 #发力矫正 #waveball #库里
- Published at: 2024-04-27 16:48:45+0800
- Generated at: 2026-06-12T17:39:41.333096+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:03.140] 他是库里与纳什这两位顶级射手的私人训练师。
[00:00:03.520 --> 00:00:08.260] 大家在库里的很多训练中会看到这位白发训练师,他叫布鲁斯弗雷泽。
[00:00:08.640 --> 00:00:14.960] 从2014年开始,主要针对库里进行技术训练,而在此之前他也是纳什的私人训练师。
[00:00:15.360 --> 00:00:18.960] 本期视频就是弗雷泽本人对库里投篮技术的深度解读。
[00:00:19.400 --> 00:00:23.260] 首先,弗雷泽谈到对于库里来说,投篮的节奏是最重要的。
[00:00:23.560 --> 00:00:26.060] 库里经常把让动作流畅起来挂在嘴边。
[00:00:26.060 --> 00:00:33.500] 而从纯粹的技术角度来看,一二步的单脚急停投篮与双脚急停的跳步投篮,库里都经常使用。
[00:00:33.800 --> 00:00:39.660] 第二方面,库里在起球时会将球举到眼睛附近开始发力出手,他的球会更接近他的额头。
[00:00:40.000 --> 00:00:43.740] 而像纳什是比较传统的,会将球举到右肩膀去投篮。
[00:00:44.160 --> 00:00:52.300] 库里的脚下站位会稍微向左旋转,有时他会在空中进行旋转,把球送向右肩对起篮筐,尤其在球场的左侧。
[00:00:52.300 --> 00:00:58.660] 而像纳什的两脚脚尖习惯正对篮筐,使用的是正身站位。
[00:00:58.780 --> 00:01:04.340] 第三方面是篮球一旦出手,库里会将注意力集中在篮球飞行的轨迹上,观察弧线。
[00:01:04.680 --> 00:01:10.480] 观察篮球的旋转,同样的像纳什也有这样的习惯,弗里则相信几乎所有顶级的射手都是如此。
[00:01:10.840 --> 00:01:14.300] 此方法对于需要提高投篮弧度的球友是立竿见影的。
[00:01:14.620 --> 00:01:20.540] 第四方面,库里不像雷阿伦那样,跳到最高点再去出手,而是在上升的过程中去出手。
[00:01:20.800 --> 00:01:22.280] 这里再次说明库里的投篮。
[00:01:22.300 --> 00:01:27.400] 投篮不是很多人理解的起跳的同时出手或先出手,脚在离地的颠头。
[00:01:27.840 --> 00:01:33.240] 库里的一段是也是跳投,是起跳后再出手,只是蓄力前,起跳高度较低。
[00:01:33.680 --> 00:01:39.240] 弗里则认为从理论上看,这是危险的投篮方式,这面对压迫式防守是难以出手的。
[00:01:39.500 --> 00:01:46.180] 但由于库里极快的出手速度与强大的创造投篮空间的能力,这对于他来说影响是比较小的。
[00:01:46.540 --> 00:01:50.300] 最后,弗里则强调库里是痴迷于核心以及下肢力量的。
[00:01:50.340 --> 00:01:52.280] 他曾非常羡慕本格登拥有的技术,
[00:01:52.300 --> 00:01:53.500] 他曾经有数感一般的双腿。
[00:01:53.820 --> 00:01:57.440] 当他错失投篮时,他会告诉我,他没有用到腿的力量。
[00:01:57.760 --> 00:02:01.960] 一旦我用到腿的力量,我从腰部以上,每次投篮动作都是一致的。
[00:02:02.340 --> 00:02:08.620] 弗里则说到,在很多发挥失常的比赛中,他都是累了,下肢开始投篮,更多的用手臂去投篮。
[00:02:08.940 --> 00:02:13.900] 这会导致他失去平衡,更多的前倾,最终他的投篮动作变形错失投篮。
[00:02:14.280 --> 00:02:18.040] 我可能不是一位优秀的射手,但我能发现他投篮的问题。
[00:02:18.280 --> 00:02:22.020] 在被问到如何才能像库里那样投篮时,弗里则回答道,
[00:02:22.020 --> 00:02:26.820] 关键不是模仿他的动作,而是不断去打磨自己的技术,做最好的自己。
[00:02:27.200 --> 00:02:34.680] 库里的父亲戴尔·库里告诉弗里则,斯蒂芬的成功有25%是天生的,75%是后天培养的。
[00:02:35.040 --> 00:02:39.540] 斯蒂芬是一个非常努力的球员,他会虚心接受建议,坚持不懈地训练。
[00:02:39.900 --> 00:02:44.220] 并且他非常享受训练过程,而在赛场上他会展现出他高傲的那一面。
