# Transcript: douyin_7329410152732331304

- URL: https://www.douyin.com/video/7329410152732331304
- Title: 共创 5488 快准狠！如何复刻罗布·科隆一样的投篮？ #投篮教学 #罗布科隆
- Published at: 2024-01-29 14:54:43+0800
- Generated at: 2026-06-12T17:42:11.159658+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:17.360] 看能看出来是吧?
[00:00:17.360 --> 00:00:18.900] 手在动。
[00:00:18.900 --> 00:00:25.040] 每次投篮脚下都要发力啊。
[00:00:25.040 --> 00:00:30.040] 用脚下的力来爆发。
[00:00:30.040 --> 00:00:35.540] 沉的有点深了。
[00:00:35.540 --> 00:00:40.400] 身体本能反应了。
[00:00:40.400 --> 00:00:43.480] 一伸它就弹不起来啊。
[00:00:43.480 --> 00:00:46.540] 好球啊,就是这个。
[00:00:46.540 --> 00:00:48.600] 我们投篮整体速度提高就伸。
[00:00:48.600 --> 00:00:52.180] 自动这一下,慢了,沉下来了。
[00:00:52.180 --> 00:00:55.000] 一旦沉下来,你的基本也是脚跟会贴下来。
[00:00:55.000 --> 00:00:57.000] 保持。
[00:00:57.000 --> 00:00:59.000] 放松。
[00:00:59.000 --> 00:01:01.000] 漂亮。
[00:01:01.000 --> 00:01:07.000] 对。
[00:01:07.000 --> 00:01:11.000] 好球。
[00:01:11.000 --> 00:01:15.000] 尽量就是伸宽往上,竖直一些。
[00:01:15.000 --> 00:01:17.000] 对。
[00:01:17.000 --> 00:01:19.000] 去个拉直。
[00:01:19.000 --> 00:01:20.000] 还可以。
[00:01:20.000 --> 00:01:22.000] 对对,拉直了。
[00:01:22.000 --> 00:01:24.000] 拉直自然你向上的力,
[00:01:24.000 --> 00:01:26.000] 传导就更高效。
[00:01:26.000 --> 00:01:27.000] 好球。
[00:01:27.000 --> 00:01:31.000] 漂亮。
[00:01:31.000 --> 00:01:34.000] 这个是往前再够它,收回去。
[00:01:34.000 --> 00:01:36.000] 进了。
[00:01:36.000 --> 00:01:38.000] 还是伸宽不太积极。
[00:01:38.000 --> 00:01:40.000] 就是投着投着。
[00:01:40.000 --> 00:01:42.000] 开始主动往前追这个。
[00:01:42.000 --> 00:01:44.000] 把这个拉直。
[00:01:44.000 --> 00:01:46.000] 快速拉直。
[00:01:46.000 --> 00:01:48.000] 可以可以可以。
[00:01:48.000 --> 00:01:49.000] 漂亮。
[00:01:49.000 --> 00:01:51.000] 对,刚才那个很明显的。
[00:01:51.000 --> 00:01:53.000] 拉直之后这个出手就很轻松。
[00:01:54.000 --> 00:01:57.000] 可以。
[00:01:57.000 --> 00:02:02.000] 可以。
[00:02:02.000 --> 00:02:04.000] 这刚才还是有这一下。
[00:02:04.000 --> 00:02:06.000] 这一下。
[00:02:06.000 --> 00:02:08.000] 对。
[00:02:08.000 --> 00:02:11.000] 直接用用用右手对那个点。
[00:02:11.000 --> 00:02:13.000] 尽量在那个点就能对位了。
[00:02:13.000 --> 00:02:16.000] 右侧右侧能对位了。
[00:02:16.000 --> 00:02:20.000] 可以可以。
[00:02:20.000 --> 00:02:21.000] 进了。
[00:02:21.000 --> 00:02:22.000] 漂亮。
[00:02:22.000 --> 00:02:23.000] 往下。
[00:02:23.000 --> 00:02:27.000] 往下。
[00:02:27.000 --> 00:02:28.000] 漂亮。
[00:02:28.000 --> 00:02:31.000] 伸宽垂直向上,手也向上顶。
[00:02:31.000 --> 00:02:33.000] 顺势就向上释放了。
[00:02:33.000 --> 00:02:34.000] 可以可以可以。
[00:02:34.000 --> 00:02:35.000] 这球。
[00:02:35.000 --> 00:02:36.000] 看。
[00:02:36.000 --> 00:02:38.000] 尽量往上,这有个余量在。
[00:02:38.000 --> 00:02:44.000] 你有的球能把手收回来。
[00:02:44.000 --> 00:02:45.000] 对。
[00:02:45.000 --> 00:02:47.000] 来,试一下。
