# Transcript: douyin_7029154030890863885

- URL: https://www.douyin.com/video/7029154030890863885
- Title: 6.8万 如何像安东尼一样优雅地投篮！安东尼投篮深度解析 #投篮教学 #waveball
- Published at: 2021-11-11 11:47:37+0800
- Generated at: 2026-06-12T18:11:28.627266+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:05.620] 卡内隆·安东尼被称作人类跳投精华,他的投篮起跳轻松流畅,出手柔和优雅。
[00:00:06.020 --> 00:00:09.040] 安东尼的投篮,也是大多数人理想中的样子。
[00:00:09.440 --> 00:00:12.600] 作为一位重型前锋,安东尼的投篮为何又宽又稳?
[00:00:13.020 --> 00:00:15.380] 本期视频将深度解析安东尼的投篮。
[00:00:15.840 --> 00:00:22.040] 首先我们从安东尼的投篮发力来看,第一点,下肢发力,安东尼的投篮趋膝区宽幅度较小。
[00:00:22.400 --> 00:00:24.500] 他的下肢发力以压弹式发力为主。
[00:00:24.840 --> 00:00:28.860] 以接球投篮为例,他在接球时利用了球下落的惯性顺势成球。
[00:00:28.860 --> 00:00:34.460] 陈球同时降重心肌肉蓄力,前脚掌的快速蹬地,带动了小腿肌肉的收缩。
[00:00:34.820 --> 00:00:38.000] 这能充分利用筋膜储存的弹性同时触发千张反射。
[00:00:38.340 --> 00:00:43.620] 在伸展阶段筋膜弹性以及千张反射共同作用,产生了远大于肌肉拉伸时的力量。
[00:00:44.020 --> 00:00:49.680] 最终形成快速有力的起跳,他还会常用到窄距的双脚站位,这也能进一步加速起跳。
[00:00:50.100 --> 00:00:55.540] 而传统投篮中常见的是充分的屈膝屈宽,调动的主要是大肌群,起跳速度较慢。
[00:00:55.540 --> 00:00:57.880] 长时间,大幅度的拉伸肌肉。
[00:00:58.280 --> 00:01:02.860] 筋膜储存的弹性以及千张反射产生的力量,都会以热能的形式被释放。
[00:01:03.200 --> 00:01:09.160] 第二点,上肢发力,安东尼的快速出手技术,他在出手后投篮手手臂并未完全伸直。
[00:01:09.520 --> 00:01:12.900] 这是为了追求快速出手,主动发力快速地压腕拨球。
[00:01:13.180 --> 00:01:18.820] 安东尼使用的是投篮手空手心的持球方式,五指自然微张,手腕带动手指拨球。
[00:01:19.240 --> 00:01:22.920] 充分压腕的情况下出手后,投篮手中指是直向地面的。
[00:01:23.280 --> 00:01:24.900] 第三,投篮的直线发力。
[00:01:25.540 --> 00:01:27.100] 使用的是右手肩上投篮。
[00:01:27.500 --> 00:01:31.240] 在他投篮时采用的是轻微内发的站位,左脚脚尖正对篮筐。
[00:01:31.660 --> 00:01:37.520] 右脚脚尖内旋,形成侧身,侧身的站位,能一定程度消除投篮时上至肌肉的紧张。
[00:01:37.740 --> 00:01:43.600] 在他投篮时腿、臀部、手臂在同一条直线上正对篮筐,形成投篮的直线发力。
[00:01:43.940 --> 00:01:45.400] 第四点,转宽送肩。
[00:01:45.720 --> 00:01:53.960] 安东尼在三分几远距离投篮时,常会出现向左侧旋转宽步,右肩向前送的动作,在投篮脚步不理想的情况下。
[00:01:53.960 --> 00:01:56.860] 这可以帮助身体纠偏,更好的直线发力。
[00:01:57.180 --> 00:02:01.000] 同时转宽送肩能让力量更充分的传导,使投篮更流畅。
[00:02:01.440 --> 00:02:02.840] 第五点,竖直起跳。
[00:02:03.160 --> 00:02:07.680] 安东尼投篮起跳是核心收紧,腰部自然伸直,保持了脊柱的中立位。
[00:02:08.040 --> 00:02:11.200] 这能更好的传导下肢力量,提升空中姿态的美感。
[00:02:11.560 --> 00:02:15.120] 养成竖直起跳的习惯,也能彻底解决投篮挺腰的问题。
[00:02:15.620 --> 00:02:16.780] 其次是投篮节奏。
[00:02:17.080 --> 00:02:20.640] 安东尼投篮的陈球与起球都是顺势而为,没有停顿。
[00:02:20.640 --> 00:02:26.660] 以接球投篮为例,他在接球时利用了球下落的惯性顺势陈球,双手放松贴近身体。
[00:02:27.000 --> 00:02:29.540] 他的起球也是利用起跳的力量顺势起球。
[00:02:31.660 --> 00:02:34.280] 安东尼常会通过炸球来寻找投篮节奏。
[00:02:34.720 --> 00:02:40.100] 炸球衔接投篮的训练方法,可以有效解决投篮手快脚慢,投篮发力脱节的问题。
[00:02:40.600 --> 00:02:41.900] 最后是投篮辅助手。
[00:02:42.180 --> 00:02:47.440] 安东尼的投篮辅助手,在投篮中起到稳定篮球的作用,没有参与投篮发力。
[00:02:47.640 --> 00:02:49.560] 在投篮手将要开始播球时,
[00:02:49.760 --> 00:02:50.620] 辅助手脱离篮球。
[00:02:50.840 --> 00:02:53.900] 出手后辅助手是上举的,并不向前跟随。
[00:02:54.240 --> 00:02:55.540] 投篮手能够独立出球。
