# Transcript: douyin_7482228181894728971

- URL: https://www.douyin.com/video/7482228181894728971
- Title: 6206 同手同脚的上步习惯！导致约90%的人仍然存在投篮手快脚慢 同手同脚的上步习惯！导致约90%的人仍然存在投篮手快脚慢/弹道偏左，本视频讲解了从普通大众到国内外职业球员普遍存在的投篮问题，并通过拆解上步投篮来解决投篮手快脚慢/弹道偏左的问题！#投篮教学 #waveball #库里
- Published at: 2025-03-16 10:26:43+0800
- Generated at: 2026-06-12T17:34:21.773955+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:07.900] 画面中两位球员均为上部投篮,上方塞尔维亚球员的发力相对脱节,下方布克则是发力流畅的跳投。
[00:00:30.000 --> 00:00:45.400] 在正常步态中,我们是一个交叉协同的模式,也就是我上右脚的时候,我的右手是向后摆的,向后折叠的。
[00:00:45.500 --> 00:00:48.680] 这主要是由于我们的神经是一个交叉协同的模式。
[00:00:49.020 --> 00:00:59.840] 这种交叉协同的模式的话,就是我的右脚上波的同时,我的右手是在做收球,右手在做折叠,同时我的左髋在做一个向下向后的折叠。
[00:00:59.840 --> 00:01:02.260] 我的左髋相当于是压住的。
[00:01:05.980 --> 00:01:14.640] 此处由于很多人是这种同手同脚同侧发力的模式,当他右脚上波的时候,他的左髋已经跟随着右手趋于伸展了。
[00:01:14.880 --> 00:01:19.120] 所以很难做到核心的稳定与下肢怀膝宽同步的这种爆发。
[00:01:23.520 --> 00:01:29.240] 而这种对侧的模式,当右脚上波时,右手后摆做收球,对侧的左髋做收缩。
[00:01:29.240 --> 00:01:36.820] 右脚登地的瞬间启动下肢怀膝宽的联动发力,整体的核心稳定性与下肢的弹性爆发就会更高效。
[00:01:40.500 --> 00:01:49.740] 刚才这种对侧协同的模式,它完整的发力节奏就是,当我们上步的时候,我们做收球,降重心,我们登地的同步去起球。
[00:01:50.240 --> 00:01:59.220] 我下肢躯干完整伸展之后,球到达了我的上肢发力点,这既保证了我身体的平衡,上肢又能协同下肢躯干建立的速度强化。
[00:01:59.240 --> 00:01:59.880] 并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并且并
[00:02:29.240 --> 00:02:31.240] 就是先跳再投
[00:02:31.240 --> 00:02:33.240] 大家印象中库里是一段式
[00:02:33.240 --> 00:02:36.240] 但他的投篮其实也是一个跳投的模式
[00:02:36.240 --> 00:02:37.240] 他都是先跳再投
[00:02:37.240 --> 00:02:39.240] 而不是这种跳与投同时
[00:02:43.240 --> 00:02:45.240] 其实这种投与跳同时
[00:02:45.240 --> 00:02:48.240] 他没有真正意义上做到上下肢协同
[00:02:48.240 --> 00:02:50.240] 更多是上下肢同时发力
[00:02:50.240 --> 00:02:53.240] 严格意义上来说也可以被定义为手快脚慢
[00:02:53.240 --> 00:02:55.240] 这里还需要强调一下
