# Transcript: douyin_7486294410494299428

- URL: https://www.douyin.com/video/7486294410494299428
- Title: 每周精选内容 3.3万 手型摇摆，发力脱节！如何解决周楷恒这类投篮世界难题？ 最近有网友要我谈下周凯恒在澳大利亚进行的的投篮专项训练，他的投篮是否有变化？训练师指出了他两个比较明显的问题，第一点是他在最高点出手，产生了发力脱节，形成了下坠跳投，第二点是他的手型摇摆不定，但训练中这两大问题并未能解决，本视频将深度解读问题根源并提供解决方案。#waveball #投篮教学
- Published at: 2025-03-27 09:25:46+0800
- Generated at: 2026-06-12T17:32:43.489800+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:16.220] 最近有网友要我谈一下关于周冠恒在澳大利亚进行的投篮专项训练,他的投篮是否有明显改变呢?
[00:00:16.360 --> 00:00:20.160] 在视频中训练师主要提出了他投篮的两点问题。
[00:00:20.660 --> 00:00:26.500] 第一点就是他习惯在最高点出手,这就造成了发力的脱节,形成了大家描述中的下坠跳投。
[00:00:26.500 --> 00:00:31.020] 第二点是他投篮出手时手心难以稳定,总是明显的摇摆。
[00:00:31.300 --> 00:00:34.720] 但在这次的训练中,这两大问题并没有得到解决。
[00:00:35.300 --> 00:00:40.900] 产生这两大问题的主要根源是周冠恒的投篮中没有协调好整体的旋转发力。
[00:00:41.320 --> 00:00:53.560] 首先周冠恒投篮中有辅助手过度压球的这种习惯,这就限制了他躯干的旋转发力,导致了他髋关节肩关节无法联动的发力,整个动力链传导受阻。
[00:00:53.560 --> 00:01:05.200] 在他的起球阶段,辅助手的过度压球也就造成了他右肩的紧张蓄力,在他出手阶段肩部会过度的带长发力,也就形成了这种抽搐出手的观感。
[00:01:05.560 --> 00:01:17.620] 其次由于他辅助手的这种压球习惯,他是难以降低上肢发力点去出手的,他只能把辅助手伸展到接近最高点脱离篮球之后,投篮手才获得自由的播球。
[00:01:18.060 --> 00:01:22.500] 这也导致他需要更高的起跳高度来伸展释放他的辅助手。
[00:01:22.500 --> 00:01:40.920] 针对此问题,我们改善的大方向是辅助手向下的这种压球要改为向上的脱球,这才能保证我们上下肢协同的向上,保持我们髋间联动的旋转发力,消除我们肩关节的紧张卡顿,在我们上升过程中就可以自由出手。
[00:01:41.440 --> 00:01:44.380] 第二点是他投篮手型摇摆不定的问题。
[00:01:44.980 --> 00:01:52.040] 首先周凯涵投篮较高的上肢发力点下,他的播球是偏向手掌的外侧,也就是无名指小拇指这一侧。
[00:01:52.040 --> 00:02:03.780] 这种结构导致他压外方向平凡的向左,而肘关节伸展也就是我们顶肘时,我们的小臂会做旋前,也就是向右的旋转,所以伸肘的整体是向右稳定的。
[00:02:04.020 --> 00:02:14.080] 而他压外的方向是向左,这两个方向是一个反向的,这就形成了一种对抗的发力,最终导致了他出手的时候手型的这种摇摆。
[00:02:14.820 --> 00:02:19.880] 这种结构之下,他在做大量的投篮训练都是很难去稳定他的手型的。
[00:02:20.320 --> 00:02:22.020] 好,针对此问题,我们整体的谈论。
[00:02:22.040 --> 00:02:30.260] 我们的谈论是,在他的上肢发力点时,他需要维持肩关节的稳定,我们近端的稳定才能保证我们远端的流畅加速。
[00:02:30.500 --> 00:02:48.900] 在释放掉扶手过度压球的情况下,他才能做到用他的手掌内侧去拨球,手掌内侧的拨球方向也就是略向右的,与我们肘关节伸展的方向一致,这就能做到上肢力线的动态稳定,从根源上解决他手型摇摆不定的问题。
