# Transcript: douyin_6993626601162345764

- URL: https://www.douyin.com/video/6993626601162345764
- Title: 10.8万 技术解析｜克里斯.保罗投篮的3个秘密！ #克里斯保罗 #篮球干货 #投篮教学
- Published at: 2021-08-07 18:03:03+0800
- Generated at: 2026-06-12T18:14:23.155023+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:03.620] 克里斯保罗是极少数以中距离跳投为杀手锏的球员。
[00:00:04.000 --> 00:00:09.620] 本赛季保罗的中投出手数和命中数都是全联盟第一,命中率高达52.3%。
[00:00:09.920 --> 00:00:12.680] 本期视频解析克里斯保罗投篮的三个秘密。
[00:00:13.060 --> 00:00:21.000] 细节一,常见的投篮大都是从身体的中部起球,而保罗习惯从身体的右侧起球,以弧形的轨迹将球举到头顶。
[00:00:21.380 --> 00:00:27.720] 这大大增加了防守者切球的难度,当保罗持球或运球时,防守都难以预判他下一步是要投篮。
[00:00:27.720 --> 00:00:33.100] 二,常见的投篮都有合球动作,抬球时会在胸部稍作停留,容易被切球。
[00:00:33.500 --> 00:00:36.580] 而保罗从右侧起球,没有明显的合球动作。
[00:00:36.780 --> 00:00:42.580] 其次,从右侧起球对于右手型球员来说,投篮手更加放松,更加省力与流畅。
[00:00:43.000 --> 00:00:45.580] 有相关困扰的球友,可尝试此方法。
[00:00:45.980 --> 00:00:48.920] 从右侧起球帮助保罗更快更安全地完成投篮。
[00:00:49.440 --> 00:00:54.820] 细节二,大部分的射手、投篮手都是采用L型手肘,而保罗是采用的V型。
[00:00:55.100 --> 00:00:57.220] 这是由于保罗其实是一段式投篮。
[00:00:57.220 --> 00:01:06.220] 而他的出手点又很高,所以他用更小手肘夹角,获得更大的投篮力量,在他出手时手肘高于眼部,同时也保证了球较高的弧度。
[00:01:06.560 --> 00:01:10.580] 如果L型的手肘对于你来说不舒服,你也可以试试V型手肘。
[00:01:11.040 --> 00:01:19.360] 细节三,保罗投篮出手后,投篮手的四指都是直向地面的,这能够使球获得更多的后旋,增加了球进入篮筐的概率。
[00:01:19.680 --> 00:01:25.040] 同时投篮手的这个跟随动作,相当于一个物理瞄准器,确保你的投篮轨迹更正。
[00:01:25.160 --> 00:01:27.200] 身高只有183厘米的保罗。
[00:01:27.220 --> 00:01:30.580] 却能在常人淋漓的NBA轻松且高效的投篮。
[00:01:30.960 --> 00:01:35.220] 以上的三个细节,都是非常值得普通篮球爱好者借鉴与学习的。
