# Transcript: douyin_7464447720997113126

- URL: https://www.douyin.com/video/7464447720997113126
- Title: 5536 河村永辉的投篮正在蜕变！为何垫步投篮如此轻松顺畅？ 这是比库里平均射程还远的NCAA历史得分王克拉克，这是在三分大赛上与库里对决的WNBA三分约内斯库，她们在投篮时常使用垫步衔接，为何使用垫步投篮如此轻松顺畅？ 河村永辉进入NBA前也常使垫步衔接投篮，但他垫步后是踝膝髋深度压缩的方式，很少利用垫步转化的力量和速度，再进入NBA后的这段时期，他对此脚步的运用有显著的提升，他减小了髋膝踝的压缩幅度，更多利用到了弹性爆发，正确的使用垫步能使投篮更加快速、省力。#waveball #河村永辉 #投篮教学 #库里
- Published at: 2025-01-27 12:29:27+0800
- Generated at: 2026-06-12T17:35:18.142828+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:04.240] 这是比库里平均射程还远的NCAA历史得分王——克拉克。
[00:00:04.620 --> 00:00:09.160] 这是在三分大赛上与库里对决的WNBA三分王——约内斯库。
[00:00:09.540 --> 00:00:14.720] 他们在投篮时常使用垫步衔接,为何使用垫步投篮如此轻松顺畅?
[00:00:15.120 --> 00:00:16.560] 我们总结了以下三点。
[00:00:17.000 --> 00:00:18.200] 弹、顺、稳。
[00:00:18.740 --> 00:00:23.780] 第一点弹,使用垫步投篮时,关系怀三关节在空中折叠建立了巴力结构。
[00:00:23.840 --> 00:00:27.500] 提前完成了重心下降,仅借用身体自重下振。
[00:00:27.500 --> 00:00:34.620] 即可快速弹起,这是利用了肌肉的千张反射以及筋膜的弹性起跳,做到触地即可弹起。
[00:00:35.040 --> 00:00:40.840] 不少球员在降重形势过度依赖下肢蓄力,则会损失速度和弹性,下肢蹬身变慢。
[00:00:41.160 --> 00:00:46.480] 导致上下肢发力的脱节,何存永回进入NBA前也常使用垫步衔接投篮。
[00:00:46.800 --> 00:00:51.880] 但他垫步后使怀系关深度压缩的方式,很少利用垫步转化的力量和速度。
[00:00:51.960 --> 00:00:56.620] 在进入NBA后的这段时期,他对此脚步的运用有显著的提升。
[00:00:56.620 --> 00:01:04.480] 他减小了宽膝怀的压缩幅度,更多利用到了弹性爆发,正确的使用垫步能使投篮更加快速,省力。
[00:01:04.880 --> 00:01:14.340] 第二点,顺,使用垫步衔接投篮能更自然地养成,登地与起球同步的投篮节奏,做到上下肢协同发力,使投篮发力更加顺畅。
[00:01:14.780 --> 00:01:19.260] 同时也可利用此脚步,对手快脚慢,发力脱节的问题进行改善。
[00:01:22.620 --> 00:01:23.620] 第三点,稳。
[00:01:23.940 --> 00:01:26.600] 垫步相比一二步能更多利用臀部力量进行。
[00:01:26.620 --> 00:01:30.940] 尤其下肢弹性,双脚同时触地完成制动,稳定性更强。
[00:01:31.260 --> 00:01:37.860] 尤其在移动投篮中,使用双脚的垫步停,整体动作的变量更小,从而提升投篮的稳定性。
