# Transcript: douyin_7153101059588754699

- URL: https://www.douyin.com/video/7153101059588754699
- Title: 6588 为何威少投篮持续下滑？深度解析威少投篮问题及威少最新投篮修改，值得借鉴 #威斯布鲁克 #waveball
- Published at: 2022-10-11 12:05:23+0800
- Generated at: 2026-06-12T18:01:42.759817+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:07.980] 威斯布鲁克正处于职业生涯中非常尴尬的时期,近年来,威斯布鲁克原本就不够精准的投篮,却持续下滑。
[00:00:08.440 --> 00:00:13.860] 本期视频将深度解析威斯布鲁克投篮存在的问题,以及近期他投篮的调整。
[00:00:14.220 --> 00:00:19.880] 威斯布鲁克投篮存在的问题,主要表现在四个方面,第一点,投篮的整体发力方面。
[00:00:20.040 --> 00:00:28.940] 威斯布鲁克的两段式跳投,是在起跳的最高点甚至下落式出手,投篮无法借力到下肢的力量,他的投篮主要靠手腕手指的力量。
[00:00:28.940 --> 00:00:35.380] 而控制手腕,手指发力的都是一些小肌肉群,他们在紧张,高压下会变得非常不稳定。
[00:00:35.760 --> 00:00:40.920] 我们常会看到威斯布鲁克在三分线外投出三步瞻,在中距离砸到计时器。
[00:00:41.360 --> 00:00:45.380] 他的跳投就像一辆全力加速的跑车,突然击杀后再二次启动。
[00:00:45.780 --> 00:00:52.180] 威斯布鲁克投篮的上肢发力,并不是肩、肘、腕自然的发力顺序,投篮力量集中于末端。
[00:00:52.580 --> 00:00:56.960] 手腕、手指的主动发力,最终导致他投篮姿态的僵硬费力。
[00:00:57.200 --> 00:00:58.760] 第二点,持球方面。
[00:00:59.040 --> 00:01:03.740] 威斯布鲁克的投篮手持球,五指都相对紧凑,手掌流出的空隙较大。
[00:01:04.060 --> 00:01:06.500] 对球的控制面积较小,稳定性不足。
[00:01:06.940 --> 00:01:13.060] 他既不像库里自然放松地用掌根触球,也不像科比五指尽量伸展加大对篮球的控制。
[00:01:13.460 --> 00:01:15.140] 第三点,发力的一致性。
[00:01:15.400 --> 00:01:26.680] 由于威斯布鲁克的投篮是手腕,手指主动发力,在他出手后,他的投篮手手肘很多时候并未伸直,这会导致他投出的弧线较平,做不到每次投篮的一致性。
[00:01:26.720 --> 00:01:28.640] 难以形成稳定的肌肉记忆。
[00:01:28.940 --> 00:01:31.220] 第四点,投篮手手肘的矫枉过正。
[00:01:31.660 --> 00:01:44.040] 威斯布鲁克投篮时,投篮手手肘有明显内收的习惯,但他内收的较多,导致篮球的重心常会落在手掌的外侧,手指难以完成垂直拨球,这再度增加了他出手的不稳定性。
[00:01:44.340 --> 00:01:58.580] 2015-16赛季,是威斯布鲁克投篮最准的一个赛季,投篮命中率43%,三分命中率34%,罚球命中率85%,但这对于一个全明星级别的后卫来说,效率并不高。
[00:01:58.940 --> 00:02:03.180] 威斯布鲁克的两段是跳投对起跳高度,核心控制能力要求很高。
[00:02:03.520 --> 00:02:07.960] 随着年龄增长以及伤病的累积,威斯布鲁克的运动能力明显退化。
[00:02:08.060 --> 00:02:12.960] 他的投篮命中率也持续下滑,常在比赛中遭遇被放投的尴尬境地。
[00:02:13.300 --> 00:02:19.380] 在今年的休赛季中,威斯布鲁克也尝试在调整自己的投篮,在威斯布鲁克近期的训练中。
[00:02:19.380 --> 00:02:29.520] 他投篮时采用了微曲宽屈膝的蓄力方式,更多地运用了下肢的弹性来起跳,腾空高度降低,但投篮速度变快。
[00:02:29.620 --> 00:02:35.260] 他在起跳的过程中提前出手,更多地借力下肢来投篮,整体发力变得轻松。
[00:02:35.360 --> 00:02:38.580] 这也是一段式及1.5段式投篮的发力特征。
[00:02:38.680 --> 00:02:45.240] 短期内威斯布鲁克的投篮发力,是难以彻底改变的,这需要长期大量练习来形成肌肉记忆。
[00:02:45.340 --> 00:02:47.800] 在最新的湖人队内训练赛中,他仍然使用的是两段式投篮。
[00:02:47.800 --> 00:02:51.260] 他仍然使用的是两段式跳投的发力习惯来远投。
[00:02:51.360 --> 00:02:58.940] 仍然出现了三不沾的情况,训练与实战不同的发力节奏,这也是大多数球友在训练神准,实战拉胯的根源。
[00:02:59.040 --> 00:03:05.080] 在国内很多业余爱好者以及职业球员,从小学习的都是传统两段式投篮的发力方式。
[00:03:05.180 --> 00:03:09.780] 威斯布鲁克的投篮问题以及解决方向,是非常值得我们借鉴的。
