# Transcript: douyin_7079629891666332941

- URL: https://www.douyin.com/video/7079629891666332941
- Title: 9100 干货纯享！适合普通人的投篮模型，前CBA后卫程华山的投篮解析！ #投篮教学 #waveball
- Published at: 2022-03-27 12:19:44+0800
- Generated at: 2026-06-12T18:08:07.957783+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:03.880] 很多球友想要关于国内球员的投篮解析,今天他来了。
[00:00:04.300 --> 00:00:13.160] 这是2019年KOK世界篮球争霸赛上,成华山在比赛最后还剩4秒钟时,投出了一记超远3分,压哨绝杀了新西兰队。
[00:00:13.580 --> 00:00:21.000] 这记投篮他从接球到出手,仅用了1.13秒的时间,而在如此远的距离,他仍然保持了稳定的投篮动作。
[00:00:21.340 --> 00:00:23.180] 为何他的投篮能做到又快又稳?
[00:00:23.540 --> 00:00:26.800] 本期视频将解析前CBA后卫成华山的投篮。
[00:00:26.800 --> 00:00:33.040] 成华山在球场上的特点是习惯于三分投射,擅长突破,创造空间的能力较强。
[00:00:33.460 --> 00:00:36.040] 他的投篮是具有个人特色的一段式跳投。
[00:00:36.500 --> 00:00:43.300] 首先是他投篮的下肢发力,他在接球后快速将重心,较大的区宽幅度,带动了小幅度的屈膝。
[00:00:43.680 --> 00:00:52.860] 同时保持了较低的沉球,脚下使用的是窄距的站位,几乎全脚掌触地,没有明显的体重习惯,利用身宽的力量向上起球出手。
[00:00:53.140 --> 00:00:56.780] 其次是上肢发力部分,在抬球点向上充分的顶肘。
[00:00:56.820 --> 00:01:00.720] 拉直手肘后,手腕自然下压,篮球的后旋充足。
[00:01:01.100 --> 00:01:06.400] 同时他有向上投的习惯,出手后手肘高于眼部,这保证了篮球较高的弧度。
[00:01:06.740 --> 00:01:11.520] 在出手后手腕有搂和抖动的现象,从起球到出手没有明显停顿。
[00:01:11.940 --> 00:01:14.220] 那么他的投篮对普通人有何借鉴意义?
[00:01:14.620 --> 00:01:19.860] 第一点,他充分的区宽蓄力能为投篮提供更大的力量,整体发力更加稳定。
[00:01:20.180 --> 00:01:25.120] 很多球友习惯的是屈膝发力,尤其在远距离投射时会出现力量不足,
[00:01:25.120 --> 00:01:30.760] 过度的屈膝容易导致下肢伸展缓慢,上下肢发力脱节,同时身体重心不稳。
[00:01:31.120 --> 00:01:36.800] 第二点,他低肘部向上发力的特点是顶肘更加充分,下肢力量更加顺畅地传导。
[00:01:37.220 --> 00:01:40.400] 一些球友是高肘部投篮,或习惯向前投篮。
[00:01:40.900 --> 00:01:46.480] 这都很少用到下肢力量,更多的是靠上肢力量投篮,弧线较低,射程较短。
[00:01:46.900 --> 00:01:51.520] 第三点,他起球时投篮手与辅助手的大臂,都是贴近身体上举的。
[00:01:51.640 --> 00:01:54.620] 起球的轨迹是从身体的中部转向偏右肩。
[00:01:54.620 --> 00:01:59.320] 这能保证手肘、手腕、手指在同一条直线上指向篮筐发力。
[00:01:59.620 --> 00:02:05.200] 一些球员做不好投篮的直线发力,出手后小臂,手腕常出现左右偏移的情况。
[00:02:05.640 --> 00:02:08.620] 都是由于手肘过度外翻或手腕的扭曲导致。
[00:02:09.100 --> 00:02:13.280] 普通人能做好以上三个细节,基本就能轻松驾驭三分投射了。
[00:02:14.560 --> 00:02:17.120] 最后是对城华山的投篮的两点建议。
[00:02:17.380 --> 00:02:20.220] 一、他在投篮时躯干会有小幅度的前倾。
[00:02:20.400 --> 00:02:24.040] 如果能保持躯干的正直,身体的重心会更稳定。
[00:02:24.040 --> 00:02:27.320] 力量传导更加顺畅,同时提升姿态的美感。
[00:02:27.620 --> 00:02:31.160] 二、他目前脚下发力是全脚掌贴地的发力习惯。
[00:02:31.460 --> 00:02:36.540] 如果养成单脚或双脚的前脚掌发力的习惯,能进一步提高投篮速度。
[00:02:36.900 --> 00:02:40.320] 同时更多的利用脚掌及小腿的弹性力量向上起跳。
