# Transcript: douyin_7083706559829757196

- URL: https://www.douyin.com/video/7083706559829757196
- Title: 8.2万 普通人也能像库里一样轻松投篮！再次解读投篮转腕发力 #投篮教学 #库里 #waveball
- Published at: 2022-04-07 11:59:17+0800
- Generated at: 2026-06-12T18:07:53.878340+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:05.180] 这是我见过的目前国内球手中投篮的上制发力,最接近库里的人。
[00:00:05.640 --> 00:00:08.140] 为何他的投篮也能做到如此轻松流畅?
[00:00:08.560 --> 00:00:14.260] 他与库里使用了相同的投篮转弯发力技术,我们前期讲到了库里投篮的转弯发力技术。
[00:00:14.600 --> 00:00:18.980] 很多球友反馈没能充分领会,本期视频将进一步解读该技术。
[00:00:19.380 --> 00:00:21.880] 库里投篮的转弯发力,到底该怎么做?
[00:00:22.100 --> 00:00:26.380] 第一点,侧腕持球,库里投篮是采用的是侧腕持球与举球。
[00:00:26.760 --> 00:00:29.600] 持球时他的投篮手是放在篮球的侧上方的。
[00:00:29.600 --> 00:00:36.720] 手腕的后取角度非常小,这能使手腕与小臂充分放松,投篮手的掌根与指尖以及指腹出球。
[00:00:37.160 --> 00:00:38.740] 辅助手保持稳定脱球。
[00:00:39.180 --> 00:00:44.100] 在举球阶段他仍然保持着侧腕持球,由于库里投篮时采用的是侧身站位。
[00:00:44.440 --> 00:00:50.760] 他的投篮手是沿着右脚脚尖的方向,做出弧形上举的运动,接近于我们跑步时的摆臂动作。
[00:00:51.000 --> 00:00:53.980] 这里为何是弧形上举,而不是直线上举?
[00:00:54.360 --> 00:00:59.500] 如果直线上举,手肘一直保持正对篮筐,我们的大臂骨就会被凶击阻隔。
[00:00:59.860 --> 00:01:01.860] 导致肩部与大臂的肌肉紧张。
[00:01:02.300 --> 00:01:14.000] 第二点,转弯发力,库里投篮的转弯过程,是在大臂与肩膀接近平行时,也就是接近上至发力点时,由侧腕转位正腕,从侧腕持球举球到接近抬球点位置。
[00:01:14.140 --> 00:01:20.160] 这个过程是小臂的外旋,此时力量传导到了肘部,之后以肘位中心通过小臂内旋。
[00:01:20.580 --> 00:01:24.960] 同时手腕内旋,掌根,手指脱球,完成最后的旋转发力。
[00:01:25.400 --> 00:01:29.580] 库里利用转弯技术,实现了播球前的小臂与手腕约180。
[00:01:29.600 --> 00:01:33.660] 以此获得了更大的发力空间和播球加速度。
[00:01:33.960 --> 00:01:41.240] 库里的侧腕持球与弧心举球能让投篮手的肩膀,手臂,手腕充分放松,投篮是更轻松的直线发力。
[00:01:41.600 --> 00:01:46.020] 符合人体的解剖学结构,它的转弯发力利于上至力量的充分发挥。
[00:01:46.480 --> 00:01:58.040] 最后是一些球友在转弯投篮时常会出现的问题,在投篮转弯过程中还未正手正腕直向篮筐,就提前扭曲手腕发力播球,这很容易导致投篮方向的偏移。
[00:01:58.100 --> 00:01:59.100] 出手后手腕。
[00:01:59.100 --> 00:02:01.660] 手臂会出现有明显的左右摆动。
