# Transcript: douyin_7042140032928369951

- URL: https://www.douyin.com/video/7042140032928369951
- Title: 2.4万 投篮脱节无力？如何像库里一样利用弹性投篮 #投篮教学 #waveball #库里
- Published at: 2021-12-16 11:39:56+0800
- Generated at: 2026-06-12T18:10:16.910455+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:08.060] 最近收到很多球友的投篮视频,其中投篮手快脚慢,投篮时身体重心不稳总是前跳,是出现最多的两大问题。
[00:00:08.380 --> 00:00:14.160] 本期视频将重点解析库里投篮的压弹式发力,以库里为案例来解决这两大问题。
[00:00:14.620 --> 00:00:19.620] 库里投篮时身体行电非常小,通过浅蹲轻跳就能产生强劲的向上力量。
[00:00:20.040 --> 00:00:24.000] 这除了库里强大的核心力量外,关键还在于它的压弹式发力。
[00:00:24.000 --> 00:00:31.240] 压弹式发力,最早是由香港的知名篮球教练CouchFay提出的。
[00:00:31.520 --> 00:00:39.160] 压指的是用核心力量向下压来将重心蓄力,弹则是利用筋膜的弹性,以及千张反射产生的力量来深宽起跳。
[00:00:39.560 --> 00:00:45.080] 压弹式发力的特点,屈膝躯宽幅度小,起跳速度快,更加稳定与省力。
[00:00:45.500 --> 00:00:52.340] 传统起跳的发力模式,是以肌肉发力为主导,通过大幅度的屈膝躯宽,充分拉伸肌肉来蓄力起跳。
[00:00:52.520 --> 00:00:53.960] 起跳速度相对较慢。
[00:00:54.260 --> 00:00:56.460] 对身体素质以及体能要求较高。
[00:00:56.840 --> 00:01:01.160] 大部分普通篮球爱好者投篮起跳,使用的都是传统的发力模式。
[00:01:01.460 --> 00:01:12.180] 很多人由于自身力量不足,会通过过度屈膝躯宽来加大蓄力,结果却是下肢伸展太慢,跟不上上肢举球的发力节奏,最终手快脚慢,发力脱节。
[00:01:13.680 --> 00:01:17.460] 还有的人投篮时躯干过度前倾,试图拉近与篮筐的距离。
[00:01:17.880 --> 00:01:23.080] 这会造成身体重心的前冲,下肢产生的力量会停滞在腰部,难以向上传导。
[00:01:23.540 --> 00:01:23.960] 再回到过度前倾,
[00:01:24.000 --> 00:01:28.980] 库里的压弹式发力,首先是向下压的阶段,库里接球后快速降重心。
[00:01:29.300 --> 00:01:37.060] 利用球下落的惯性将球从胸部下沉到腹部,核心紧绷向下压,宽部围曲同时带动屈膝,躯干略前倾。
[00:01:38.520 --> 00:01:43.360] 在接球的同时,库里常用到窄距的小跳步衔接,仅用前脚掌着地。
[00:01:43.760 --> 00:01:46.960] 这能缩短触底时间,更容易找到触底急弹的感觉。
[00:01:47.420 --> 00:01:53.140] 其次是弹起阶段,库里在下压后瞬间弹起,拐关节的主动发力,蹬地起球。
[00:01:53.140 --> 00:01:59.560] 这能充分利用足底和小腿筋膜的弹性,同时也会触发腿部肌肉的千张反射产生力量。
[00:01:59.980 --> 00:02:03.220] 千张反射产生的力量,大于肌肉拉伸时的力量。
[00:02:04.320 --> 00:02:10.800] 而大幅度长时间的屈膝屈宽,都会造成筋膜弹性与千张反射产生的力量,以热量的形式流失。
[00:02:11.260 --> 00:02:16.860] 值得注意的是,库里蹬地后膝关节会顺势前移,很多时候膝盖都会超过脚尖。
[00:02:17.200 --> 00:02:21.640] 但这并不影响他的躯干的直立,直立的躯干能使力量的传导更高效。
[00:02:21.640 --> 00:02:27.480] 我们在投篮时也可以参照库里,保持下巴不要超过脚尖,基本垂直于脚尖。
[00:02:27.860 --> 00:02:30.180] 此方法能很好的控制躯干直立稳定。
[00:02:30.600 --> 00:02:37.240] 这里的发力顺序也非常关键,很多人起跳发力都是用髋关节率先发力,再到膝关节与踝关节。
[00:02:37.660 --> 00:02:44.280] 此模式下肢伸展较慢,而库里使用的踝关节主动发力驱动的身膝伸宽,可以加速下肢的伸展。
[00:02:44.620 --> 00:02:47.340] 这是解决投篮手快脚慢的有效方法之一。
[00:02:49.080 --> 00:02:51.620] 库里的压弹式发力,充分利用了筋膜的力量。
[00:02:51.640 --> 00:02:55.840] 筋膜的弹性,以及千张反射的力量,使他的起跳更高效省力。
[00:02:56.160 --> 00:03:01.900] 但库里的投篮也离不开肌肉的力量,尤其髋关节的力量,在他的投篮中仍是主导地位。
