# Transcript: douyin_7471214412595088666

- URL: https://www.douyin.com/video/7471214412595088666
- Title: 8323 走出误区！顶级射手投篮的引膝发力≠'跪膝'蓄力 颠覆传统！解决从发力脱节到流畅跳投，不要再把顶级射手的引膝发力做成了跪膝蓄力。#waveball #投篮教学 #库里 #布克
- Published at: 2025-02-14 18:07:40+0800
- Generated at: 2026-06-12T17:35:08.980304+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:09.720] 在布克、库里的原地投篮中会看到他们在举球时下肢出现跪膝的动作,这似乎与手快脚慢、发力脱节的投篮有相似特征。
[00:00:10.160 --> 00:00:14.520] 那么他们的原地投篮与手快脚慢、发力脱节的投篮有什么区别?
[00:00:14.900 --> 00:00:27.340] 视频中库里在投篮起球时膝关节会有小幅度前跪,但这并不是主动的屈膝蓄力,这实际是蹬地向上传导力量的隐膝机制,这是在举重项目中常会被强调的一个技术环节。
[00:00:27.340 --> 00:00:45.100] 库里通过前脚掌主动蹬地,脚跟持续上抬,同时膝关节自然前影,这能让他更好的回正身体重心,帮助怀膝宽三关节的伸展,向上加速,此时上肢可以同步向上加速,并自然地建立发力角度。
[00:00:45.260 --> 00:00:56.080] 而手快脚慢的投篮通常在蹬地之前便开始动手举球,发力顺序的错误,下至蹬身的滞后,导致重心没有回正,躯干一直处于前倾的状态,
[00:00:56.420 --> 00:00:57.320] 限制了上肢的向上移动。
[00:00:57.340 --> 00:01:13.840] 下肢的发力有明显的停滞,这都会造成上下肢发力的脱节。
[00:01:14.260 --> 00:01:23.300] 投篮的力量约60%来自下肢,将重心蓄力后通过宽膝怀伸展将力量向上传递,最终转化为投篮的出手力量。
[00:01:23.540 --> 00:01:27.320] 酷力,不克,科比的投篮,在下肢完全展开时,
[00:01:27.340 --> 00:01:37.520] 球仍然在上肢发力点,上肢保持着发力结构,都利用了下肢和躯干伸展建立的速度与角度,能做到流畅的跳投,而手快脚慢的投篮。
[00:01:37.860 --> 00:01:51.420] 由于发力顺序的错误,发力形成不完整,下肢还未完全蹬身,上肢已提前发力,养成了过度依赖上肢发力的投篮习惯,存在发力脱节的问题,影响身体的平衡与降低投篮的稳定性。
[00:01:51.700 --> 00:01:56.380] 最后减速改善方法,这是经过本人线下上千训练案例的检验。
[00:01:56.380 --> 00:01:59.020] 从小白到职业球员都适用的方法。
[00:01:59.360 --> 00:02:09.840] 我们需要明确上下肢的发力节奏,在蹬地同时起球,或意识中强化先蹬地再起球,做到脚踝积极蹬身,膝关节放松前影,重心自然回正。
[00:02:10.180 --> 00:02:22.000] 膝关节前影时前脚掌要快速向上蹬身起跳,这样才能真正做到上下肢的有序协同发力,达到先跳再投的模式,也就是蹬地摆臂同步,高效地向上加速的发力模式。
[00:02:22.220 --> 00:02:25.520] 在美国传统投篮教学Rob Fodor的投篮体系中,
[00:02:25.740 --> 00:02:26.360] 要求首先,
[00:02:26.380 --> 00:02:26.600] 先动,
[00:02:26.840 --> 00:02:27.400] 求先动。
[00:02:27.700 --> 00:02:34.060] 国内的投篮教学普遍也是坚持相同理念,也就是先摆臂再蹬地的相对低效的发力模式。
[00:02:34.520 --> 00:02:40.360] 随着现代篮球的发展,传统的教学理念与顶级球员的技术,已出现了脱节的情况。
[00:02:40.760 --> 00:02:52.460] 视频中塞尔维亚队球员与美国队球员发力,存在着明显差别,首先动的投篮会在发篮,低强度训练的情景中出现,但下肢的伸展速度天生比上肢伸展慢。
[00:02:52.540 --> 00:02:55.600] 古通人的下肢发力相比职业球员会更慢。
[00:02:55.600 --> 00:03:09.480] 如果我们在训练时长期使用上肢先启动的模式投篮,便会让下肢的发力时机滞后,下肢登身速度变慢,无论堆积再大的训练量,从根源上都解决不了发力脱节,难以做到流畅的跳投。
[00:03:09.900 --> 00:03:17.380] 最后是关于此问题,本人特地与有多位NBA球员训练经历的IPT投篮训练师布莱斯做了线下交流。
[00:03:25.600 --> 00:03:28.920] 我们实际上是同样的,球会先移动。
[00:03:28.920 --> 00:03:38.900] 很多国家训练是积动球的第一步,所以球员开始变得很差,因为球会移动,但球员也不会移动。
[00:03:38.900 --> 00:03:46.400] 普通的这种爱好者跟像布克和库里最大的区别就是他们启球的时候脚踝一直没有停,脚踝的发力这下。
[00:03:46.400 --> 00:03:49.400] 是的,他们总是移动,他们有很好的流畅。
[00:03:49.400 --> 00:03:52.600] 所以我们在我们的几个视频中谈到这一点。
[00:03:52.600 --> 00:03:53.500] 在球不自动移动时,或者在球移动前,球会移动。
[00:03:53.500 --> 00:03:53.900] 在球移动时,球会移动,但球移动后,球会移动。
[00:03:53.900 --> 00:03:55.900] 在球移动时,球会移动,但球员会移动。
[00:03:55.900 --> 00:03:56.400] 在球移动时,球员会移动,但球员会移动。
[00:03:56.400 --> 00:04:03.400] 身体其实在移动中,当所有东西开始流浪,因此我们不是很大粉丝。
