# Transcript: douyin_7214731957081525516

- URL: https://www.douyin.com/video/7214731957081525516
- Title: 2.1万 利拉德首次回应“投篮用手掌压腕“，打破常规的上肢传导，让你的投篮变得轻松流畅！ #利拉德 #投篮教学
- Published at: 2023-03-26 14:04:45+0800
- Generated at: 2026-06-12T17:51:48.438296+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.140 --> 00:00:04.860] 大家一直好奇为何利拉德在投篮时会用手掌脱球,让手指指尖脱离篮球。
[00:00:05.260 --> 00:00:10.240] 近日,力爆篮球技术解析专栏针对此问题对利拉德进行了专访。
[00:00:10.300 --> 00:00:15.180] 在采访中利拉德解答了这独特的投篮技巧,而本人也经过近一个月的练习验证。
[00:00:15.500 --> 00:00:19.480] 利拉德的这个投篮技巧是可以快速转化到大多数人的投篮中的,
[00:00:19.660 --> 00:00:23.640] 它能明显提高发力效率,提升投篮的弧度以及篮球的转速。
[00:00:24.000 --> 00:00:26.400] 本视频将对此技术做出深度解析。
[00:00:26.400 --> 00:00:28.900] 首先,我们看利拉德本人的解答。
[00:00:29.200 --> 00:00:32.880] 在他投篮的举球阶段,会将投篮手的手指指尖脱离篮球,
[00:00:33.220 --> 00:00:36.680] 刻意用手掌接住篮球,用手掌来主导压弯波球。
[00:00:37.120 --> 00:00:40.720] 此习惯来源于利拉德的父亲,从小利拉德的父亲告诉了他,
[00:00:41.000 --> 00:00:42.860] 你需要用你的指尖来投篮。
[00:00:43.320 --> 00:00:48.360] 他从小就开始模仿他父亲的投篮,他的父亲总是用手掌脱球来压弯波球。
[00:00:48.680 --> 00:00:53.060] 于是他经常躺在床上,用手掌脱球,从手掌滚动到指尖,
[00:00:53.060 --> 00:00:55.460] 将球投到天花板上的一个目标点。
[00:00:55.460 --> 00:01:00.620] 就是这样反复的练习,形成了肌肉记忆,这样的习惯就一直延续了下来。
[00:01:00.980 --> 00:01:06.340] 利拉德用手掌来主导压弯波球的习惯,符合利亮言尖肘腕手指有序传导规律。
[00:01:06.620 --> 00:01:11.340] 用近端的稳定带动远端的灵活,利亮更顺畅传导,提高了发力效率,
[00:01:11.520 --> 00:01:14.240] 能让他的投篮更加轻松,增加了投篮射程。
[00:01:14.640 --> 00:01:19.020] 这也会迫使他的手肘充分伸展后再出手,可以有效提高投篮的弧度。
[00:01:19.020 --> 00:01:26.020] 而他从手掌滚动到指尖的波球,能更多利用手指的弹性充分波球,进一步提升波球的加速度。
[00:01:26.340 --> 00:01:32.660] 同时放松手指也是有效提高手感的一种方式,高弧线与强后旋都是高投篮命中率的保证。
[00:01:33.100 --> 00:01:38.940] 需要注意的是,利拉德的投篮手手掌的触球,手指指尖不触球,挤球的稳定性会降低。
[00:01:39.300 --> 00:01:45.340] 这需要辅助手更多的实力来挤球,像利拉德会将辅助手放置于篮球的侧下方,来向上托球。
[00:01:45.500 --> 00:01:49.000] 而与手掌主导压弯的方式,相对的就是手指主导压弯的方式。
[00:01:49.020 --> 00:01:59.740] 通常表现为在手肘还未伸直时,手指就主动发力拨球,这样会更多向前发力压弯,投篮弧度较低,手指的拨球不充分,篮球的后旋也较弱。
[00:02:00.080 --> 00:02:07.560] 破坏了原本力量有序的传导,会更加费力与不稳定,最终降低投篮命中率,尤其在远距离投篮时问题会更突出。
[00:02:07.960 --> 00:02:13.440] 很多人苦恼自己投出去的球,后旋不足,弧线太平,这也是重要根源之一。
[00:02:13.680 --> 00:02:18.680] 殊途同归,我们之前解读过的库里的侧弯持球与转弯发力,也是同样的原理。
[00:02:18.680 --> 00:02:24.040] 库里通过手掌托球充分向上传导力量后,再用相对放松的手指加速拨球。
