# Transcript: douyin_7233595443328896314

- URL: https://www.douyin.com/video/7233595443328896314
- Title: 共创 3.0万 投篮精英化| 投篮速度从1秒到0.33秒，堪比库里，化繁为简，提高发力效率。#投篮矫正 #投篮训练 #waveball
- Published at: 2023-05-16 10:04:43+0800
- Generated at: 2026-06-12T17:49:09.622705+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:02.000] 来吧!
[00:00:13.000 --> 00:00:14.000] 重心先下来。
[00:00:14.000 --> 00:00:15.000] 先下就脚呗。
[00:00:15.000 --> 00:00:19.000] 重心先下来,你不能太想,你稍微要先下来。
[00:00:24.000 --> 00:00:27.000] 你刚才很开始就想提高一点点,提高这个队伍。
[00:00:27.000 --> 00:00:28.000] 这个队伍?
[00:00:30.000 --> 00:00:31.000] 对。
[00:00:46.000 --> 00:00:49.000] 还是要把这个角度保持住,你这个准备角度吧。
[00:00:49.000 --> 00:00:50.000] 不放。
[00:00:50.000 --> 00:00:51.000] 对。
[00:00:51.000 --> 00:00:52.000] 这个体积。
[00:00:52.000 --> 00:00:53.000] 这样的话,这样的话,这样的话,这样的话。
[00:00:53.000 --> 00:00:54.000] 对。
[00:00:54.000 --> 00:00:55.000] 然后也得低个性的。
[00:00:55.000 --> 00:00:56.000] 低个性的。
[00:00:56.000 --> 00:00:57.000] 好。
[00:00:57.000 --> 00:00:58.000] 这个可以。
[00:00:58.000 --> 00:00:59.000] 这样就把胸部补。
[00:00:59.000 --> 00:01:00.000] 好。
[00:01:00.000 --> 00:01:01.000] 这足够满足了往上。
[00:01:01.000 --> 00:01:02.000] 好的。
[00:01:02.000 --> 00:01:04.000] 就这个结果就开始了。
[00:01:04.000 --> 00:01:06.000] 你用跳舞前走。
[00:01:06.000 --> 00:01:07.000] 跳舞前走。
[00:01:12.000 --> 00:01:13.000] 有点前前前。
[00:01:13.000 --> 00:01:14.000] 不够前前前。
[00:01:14.000 --> 00:01:15.000] 不够前前前前。
[00:01:19.000 --> 00:01:20.000] 对。
[00:01:20.000 --> 00:01:21.000] 还是会。
[00:01:21.000 --> 00:01:22.000] 看脚下的。
[00:01:22.000 --> 00:01:23.000] 前前前前。
[00:01:23.000 --> 00:01:24.000] 前前前前。
[00:01:24.000 --> 00:01:25.000] 前前前前。
[00:01:25.000 --> 00:01:26.000] 前前前前。
[00:01:26.000 --> 00:01:27.000] 前前前前。
[00:01:27.000 --> 00:01:28.000] 前前前前。
[00:01:28.000 --> 00:01:29.000] 前前前前。
