# Transcript: douyin_7148733210447400199

- URL: https://www.douyin.com/video/7148733210447400199
- Title: 6810 手肘外翻，辅助手发力！为何雷阿伦还被称作传统跳投的教科书？如何像雷阿伦一样跳投！ #雷阿伦 #跳投 深度解析
- Published at: 2022-09-29 17:35:54+0800
- Generated at: 2026-06-12T18:02:20.854534+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:04.800] 我不相信天赋,我能够站在名人堂的舞台,是因为我一生都勤奋训练。
[00:00:05.180 --> 00:00:09.460] 18年如一日,天职班的自律,铸就了这个跨时代的伟大射手。
[00:00:09.900 --> 00:00:15.000] 雷阿伦的绰号Ray Gun,亦为雷枪,他的跳投被称作传统跳投的教科书。
[00:00:15.340 --> 00:00:16.960] 他的跳投充满了力量之美。
[00:00:17.360 --> 00:00:19.740] 本期视频将深度解读雷阿伦的跳投。
[00:00:20.160 --> 00:00:24.940] 雷阿伦的跳投是典型的两段式投篮,上肢在空中有明显的停顿瞄篮。
[00:00:25.060 --> 00:00:29.380] 但他的两段式跳投,具有做到了联盟中最快的出手速度之一。
[00:00:29.380 --> 00:00:32.000] 首先是雷阿伦跳投的起跳技术方面。
[00:00:32.320 --> 00:00:35.300] 第一点,雷阿伦跳投的核心是他的起跳技术。
[00:00:35.620 --> 00:00:42.120] 雷阿伦投篮蓄力时,去宽屈膝的角度相对较小,他主要利用脚踝与小腿发力来启动爆发。
[00:00:42.480 --> 00:00:48.620] 即使是两段式跳投,他也能做到触地击弹,这比身躯宽身屈膝蓄力拥有更快的弹速。
[00:00:49.020 --> 00:00:53.540] 这也得益于他自身强劲的力量与爆发力,他拥有种马般强壮的小腿。
[00:00:56.180 --> 00:00:57.820] 第二点是陈球与起球。
[00:00:58.140 --> 00:00:59.340] 雷阿伦的陈球非常顺利。
[00:00:59.440 --> 00:01:01.400] 几乎都沉到了膝盖位置。
[00:01:01.700 --> 00:01:08.980] 这能获得更多的瞄准时间,同时能充分发挥摆臂的助力作用,增加起跳高度以及增强整体的流畅性。
[00:01:09.360 --> 00:01:12.240] 摆臂在二段式跳投中,是非常关键的技术。
[00:01:12.680 --> 00:01:18.120] 利用双臂快速向上摆动,可以将身体拉起,而转化到跳投中就是快速起球。
[00:01:18.440 --> 00:01:20.420] 利用快速起球带动身体向上。
[00:01:20.740 --> 00:01:27.040] 第三点,雷阿伦的跳投使用的是侧身的站位,右脚略在左脚前,双脚脚尖略向左旋转。
[00:01:27.180 --> 00:01:28.920] 双脚站距约与肩同宽。
[00:01:28.920 --> 00:01:31.280] 侧身投篮能让肩部更加放松
[00:01:31.280 --> 00:01:32.860] 使上肢发力更流畅
[00:01:32.860 --> 00:01:33.780] 第四点
[00:01:33.780 --> 00:01:36.100] 雷阿伦的跳投有小幅度的前跳
[00:01:36.100 --> 00:01:39.720] 这是由于他上肢更多的向前发力带动重心向前
[00:01:39.720 --> 00:01:42.740] 这能给他的投篮带来更多水平方向的注意
[00:01:42.740 --> 00:01:45.580] 其次是雷阿伦投篮的上肢发力方面
