date_cst,create_time_cst,url,id,type,text,top
2026-04-16,2026-04-16 18:41:08+0800,https://www.douyin.com/video/7629305320225255012,7629305320225255012,video,共创 6878 进步不能停！徐远征投篮问题诊断，主视眼观念限制了他的篮球发展之路！#waveball #投篮教学 #进步不能停 #投篮发力,757
2026-01-20,2026-01-20 13:56:34+0800,https://www.douyin.com/note/7597318663230210438,7597318663230210438,note,1060 把热爱变成工作！想提升个人价值 想在篮球领域/互联网进一步发展 可以找我聊聊 #waveball,757
2025-12-11,2025-12-11 17:37:27+0800,https://www.douyin.com/video/7582532179743493435,7582532179743493435,video,置顶 4.1万 从59分到97分！如何快速让前国家球员提升投篮效率。 今年7月在北京，本频道联合Shot lab 投篮实验室，对前国家队球员 @孟铎Danny3 进行的投篮测试与实时优化。孟铎作为球员时期也是以投射见长，他的参与也让整个测试更具参考价值。优化后，他的投篮从出手弧度、出手速度到发力效率都实现了可量化的提升。#waveball #shotlab #投篮,330
2025-11-26,2025-11-26 10:30:06+0800,https://www.douyin.com/video/7576855772332608774,7576855772332608774,video,3.6万 为何训练准，强度实战拉？ 此视频揭开了国内很多球员的共性问题，曾被下架，李添荣、林葳、廖三宁……与优秀射手上肢结构的决定性差异。#waveball #投篮教学 #发力矫正 #林葳 #李添荣,757
2025-11-22,2025-11-22 11:25:00+0800,https://www.douyin.com/video/7575385579668524315,7575385579668524315,video,4891 林葳投篮问题深度分析，普通人也常会陷入同样的困境！ 林葳在NCAA已打了4场比赛，无论中距离还是三分，目前还没有一次命中！本期视频将对林威的投篮问题做深度分析，同时提供解决思路，林葳的投篮困境，其实很多普通人都会遇到。#waveball #投篮教学 #发力矫正 #林葳,1184
2025-09-21,2025-09-21 10:24:36+0800,https://www.douyin.com/video/7552362733249793315,7552362733249793315,video,6135 再次成功诊断库里投篮问题！库里自述“在足弓间打球” 我之前对库里投篮问题的诊断，在库里最新发布的自传中得到验证。库里：我整个上半身的所有动作都在为纠正脚下的失衡而做出调整，这次投篮或许还是能投进，但投进的概率已经“谬以千里”。 #发力矫正 #投篮教学 #waveball #库里,1184
2025-08-19,2025-08-19 02:02:23+0800,https://www.douyin.com/video/7539987501855886638,7539987501855886638,video,置顶 9259 “半人半神”库里最新投篮问题诊断 库里如何补救投篮中下肢的失衡，含普通人同类问题解决思路。#waveball #库里中国行,330
2025-07-11,2025-07-11 00:37:11+0800,https://www.douyin.com/video/7525493225554038056,7525493225554038056,video,3724 走出误区！投篮一定得空出手心，投篮射程与精准控制都能兼顾 为何仅用指尖投篮就能完整超远三分，无论是顶级射手凯特琳克拉克的一段式投篮，还是小手麦康奈尔的两段式投篮，他们的手掌大小与普通人相近，都是采用的空手心的持球方式。手掌贴球的持球方式能解决部分射程，但它会让你丢失手腕手指的精准控制。#waveball #投篮教学 #凯特琳克拉克,1184
2025-07-08,2025-07-08 10:22:47+0800,https://www.douyin.com/note/7524530878112075066,7524530878112075066,note,284 Nike✖️Shotlab 打出名堂。Ai智能助力，精准剖析球员问题，用数据驱动的客观分析➕教练的经验判断，让每个球员的发展路径都建立在可量化、可验证的科学基础上。,1611
2025-06-10,2025-06-10 01:00:49+0800,https://www.douyin.com/video/7513995676607384883,7513995676607384883,video,8855 为何很多人的动态投篮比原地更准？亚翰与丹尼投篮分析 首先在亚翰的自然的步态中可以看到有双脚外八的习惯，在他的投篮中常见脚外八与肘外翻的情况，此问题导致他原地投篮时关节对位困难，投篮命中率偏低，这是由于在原地投篮没有足够的空间把脚下与肘部回正，整体的发力效率与方向控制都会受到明显影响。同时在他的原地投篮中他会出现明显的先伸髋再蹬地的低效发力模式，这会导致他的重心前倾，用过度跪膝来代偿发力角度与力量。#投篮教学 #waveball,1611
