# Transcript: douyin_7118657404723596575

- URL: https://www.douyin.com/video/7118657404723596575
- Title: 5519 纳什、库里对比 ！投篮站姿对投篮稳定性的影响 #投篮教学 #库里 #waveball
- Published at: 2022-07-10 16:26:25+0800
- Generated at: 2026-06-12T18:05:34.569542+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:05.100] 很多球友会在投篮站姿上出现问题,他们投篮时会出现身体扭曲的情况。
[00:00:05.460 --> 00:00:12.340] 尤其在远距离投篮时,具体有两种情况,第一种是,双脚是侧站,身体却是面向篮筐的。
[00:00:12.680 --> 00:00:18.660] 另外一种是,双脚是正对篮筐,身体却是侧对篮筐的,这都会造成身体的扭曲。
[00:00:18.940 --> 00:00:25.760] 投篮时身体的扭曲会使身体重心偏移,破坏了投篮最基础的平衡,使投篮的稳定性大大折扣。
[00:00:26.160 --> 00:00:28.420] 投篮时是该正对篮筐还是侧对篮筐?
[00:00:28.420 --> 00:00:31.200] 在投篮时,到底该采用哪种站姿?
[00:00:31.640 --> 00:00:37.780] 在传统的标准投篮教学中,倡导的是身体正对篮筐,同时双脚的脚尖也是正对篮筐。
[00:00:38.200 --> 00:00:44.960] 这位球员以纳什为代表,他用宽的右侧与右肩来对准篮筐的中心线,是典型的单手右肩上投篮。
[00:00:45.440 --> 00:00:52.020] 随着现代篮球的发展,更多的球员在投篮时选择身体侧对篮筐,此类球员以库里为代表。
[00:00:52.020 --> 00:00:58.020] 其细节为,双脚的脚尖向左内旋,与篮筐的中线形成20度到30度的夹角。
[00:00:58.020 --> 00:01:02.100] 同时身体也是同向侧对篮筐的,最终是稍偏右肩出手。
[00:01:02.100 --> 00:01:08.940] 但库里在罚球时,由于距离较近,极少用到下肢的力量,他的双脚脚尖几乎是正对篮筐。
[00:01:08.940 --> 00:01:10.900] 身体仍然保持侧对篮筐。
[00:01:10.900 --> 00:01:14.920] 而在他的教学视频中,他仍然使用了传统的教学理念。
[00:01:14.920 --> 00:01:18.180] 传播的是投篮时身体与脚尖都要正对篮筐。
[00:01:18.180 --> 00:01:25.340] 虽然这两种站姿在动作上差别明显,但其实这两种投篮站姿苗篮的底层原理,却是相同的。
[00:01:25.340 --> 00:01:31.260] 以右手球员为例,这两种站姿都是用宽的右侧与右肩,来对准篮筐的中线。
[00:01:31.260 --> 00:01:34.180] 同时在举球时用右手肘部对准这条线。
[00:01:34.180 --> 00:01:38.700] 但为何越来越多的球员,都采用侧身的站位方式来投篮?
[00:01:38.700 --> 00:01:41.100] 侧身站位的投篮有三大优势。
[00:01:41.100 --> 00:01:46.780] 首先侧身的站姿,能使前脚掌的发力更加充分,让我们的下肢启动更快速。
[00:01:46.780 --> 00:01:49.460] 尤其在接球投篮与急停投篮时。
[00:01:49.460 --> 00:01:57.100] 第二点,侧身的站姿,可以使投篮手肩部更加放松,肩关节活动度更高,上肢的发力更加轻松流畅。
[00:01:57.100 --> 00:02:04.700] 第三点,侧身可以修正投篮手手肘的外翻,可以使投篮手处于视觉中心,让投篮瞄准更加正直。
