# Transcript: douyin_7033704416129649959

- URL: https://www.douyin.com/video/7033704416129649959
- Title: 2.2万 学会放松！拥有库里一样丝滑般的投篮 #投篮教学 #库里 #waveball
- Published at: 2021-11-23 18:05:26+0800
- Generated at: 2026-06-12T18:10:59.374830+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:05.220] 为何拥有顶级身体天赋的威斯布鲁克在投篮时经常出现投短打铁的情况?
[00:00:05.660 --> 00:00:09.220] 为何库里看似轻松随意的投篮,却能投得又圆又准?
[00:00:09.600 --> 00:00:14.420] 很多篮球爱好者投篮时最苦恼的就是发不出力,明明用尽全力去投篮。
[00:00:14.840 --> 00:00:17.460] 可投出的球仍然是绵软无力,旋转不足。
[00:00:17.900 --> 00:00:20.840] 投篮发不出力,主要原因是没有做到充分的放松。
[00:00:21.320 --> 00:00:27.720] 整个人在投篮过程中,都是紧绷的状态,浑身都在使劲,但力量就是无法充分传递到篮球上。
[00:00:27.720 --> 00:00:37.220] 这是由于肌肉在紧张的情况下,伸缩性和弹性都会大幅减小,会很大程度上影响到肌肉运动的速度,速度越慢力量的损耗也就越大。
[00:00:37.560 --> 00:00:40.480] 学会放松,是投篮技术中非常重要的一环。
[00:00:40.900 --> 00:00:44.580] 我们将以库里的投篮为例,来解析投篮中的放松与发力。
[00:00:45.760 --> 00:00:51.440] 库里在投篮起跳前,四肢及躯干都是处于放松状态的,首先是它的侧腕持球。
[00:00:51.620 --> 00:00:57.020] 在持球及举球过程中投篮手都处在自然放松的状态,这避免了正腕持球时。
[00:00:57.020 --> 00:00:59.140] 手腕以及小臂的过于紧张。
[00:01:00.200 --> 00:01:06.120] 其次是库里在快速降重心时,髋部也是放松的自然下坐,躯髋带动小幅度的屈膝。
[00:01:06.460 --> 00:01:17.680] 在此环境,很多人就会出错,他们会主动发力,收紧核心向后撅屁股,膝盖也会同时大幅度前屈,这会造成肌肉的紧张,减慢了臀大肌驱动身体的速度。
[00:01:18.580 --> 00:01:22.420] 最后库里在整个向下蓄力的过程中,脚下也是放松状态。
[00:01:22.620 --> 00:01:26.880] 接下来进入发力阶段,前脚掌快速蹬地,深吸,深髋。
[00:01:27.020 --> 00:01:28.220] 保持核心的紧张。
[00:01:28.680 --> 00:01:34.300] 整个人是垂直向上跳起,同时双手顺势将球举向头顶,随着身体的充分伸展。
[00:01:34.660 --> 00:01:36.500] 顶肘在顺势压腕拨球出手。
[00:01:36.880 --> 00:01:43.040] 库里的投篮是协调多块肌肉共同完成的动作,各环节发力的有序叠加,自下而上连贯的传导。
[00:01:43.480 --> 00:01:45.220] 最终达到轻松省力的效果。
[00:01:45.460 --> 00:01:51.960] 需要注意的是投篮起跳前的放松,是要像弹簧一样有弹性的放松,而不是肌无力松垮式的放松。
[00:01:51.960 --> 00:01:57.340] 投篮的发力若是在起跳之前,投篮动作就会变得僵硬,导致你的速度变慢。
[00:01:58.660 --> 00:02:04.300] 投篮需要的是速度与力量的结合,放松是为了速度,瞬间的爆发是为了力量的集中。
[00:02:04.760 --> 00:02:10.620] 只有在蹬地起跳前充分的放松,在瞬间收缩,才能在投篮中充分发挥你的爆发力。
[00:02:10.940 --> 00:02:13.820] 放松与发力之间体现的是辩证统一的关系。
