# Transcript: douyin_7110892122483526949

- URL: https://www.douyin.com/video/7110892122483526949
- Title: 4.5万 美如画！如何像曹芳一样跳投，曹芳跳投深度解析 #曹芳 #投篮教学 #waveball
- Published at: 2022-06-19 18:13:09+0800
- Generated at: 2026-06-12T18:05:51.890597+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:08.780] 他曾是CUB日的顶级后卫,虽然身高只有178厘米,但他标志性的跳投,像是麦迪与科比的结合体,他就是伯兹哥曹芳。
[00:00:09.180 --> 00:00:15.880] 曹芳的跳投不但流畅飘逸,同时也是实战中的一大利器,是非常值得普通人学习参考的案例。
[00:00:16.240 --> 00:00:18.640] 本期视频将深度解析曹芳的跳投。
[00:00:19.060 --> 00:00:24.180] 曹芳平时的惯用手是左手,他从小也是用左手投篮,后来才改用到右手。
[00:00:24.520 --> 00:00:28.700] 经过长期的调整与苦练,才形成了如今较为成熟的投篮模式。
[00:00:28.700 --> 00:00:35.880] 曹芳的跳投是典型的两段式投篮,曹芳跳投的整体发力节奏是,接球后沉球与降重心同步。
[00:00:36.240 --> 00:00:41.980] 通过摆臂向上举球,带动下肢的伸展起跳,蹬地腾空后上肢发力伸展完成投篮。
[00:00:42.400 --> 00:00:47.740] 首先是曹芳跳投的下肢发力方面,第一点,曹芳的投篮使用的是侧身的站位。
[00:00:48.100 --> 00:00:58.060] 双脚占据越宽于肩,双脚向左旋形成侧身,投篮侧的右脚与右肩略靠前,侧身投篮,能使上肢肌肉更加放松,肩关节的活动度更高。
[00:00:58.060 --> 00:01:05.460] 第二点,她的跳投,起跳都非常充分,沉球同时保持了身体较低的重心,较深的屈膝与躯宽。
[00:01:05.840 --> 00:01:12.100] 有明显体重的习惯,肌肉力量与肌腱筋膜弹性兼得,保证了起跳的腾空高度与弹速。
[00:01:12.480 --> 00:01:22.360] 第三点,曹芳跳投出手后,常有并腿前摆的习惯,这能避免起跳时重心的前冲,保证身体的平衡,同时也能提高出手的弧度。
[00:01:22.360 --> 00:01:25.920] 而在她的后仰跳投中,她常会使用到单腿的前摆。
[00:01:26.280 --> 00:01:28.040] 其次是曹芳投篮的上肢。
[00:01:28.060 --> 00:01:36.720] 第一点,持球,曹芳采用的是投篮手五指自然伸展,手指与掌根触球,辅助手置于篮球侧面的持球方式。
[00:01:38.400 --> 00:01:46.280] 第二点,摆臂,曹芳的起球是肩部,手臂主动发力的上摆,她投篮的起跳会通过充分的摆臂带动身体向上。
[00:01:46.680 --> 00:01:49.640] 这一点也是很多人学不会流畅跳投的关键卡点。
[00:01:50.040 --> 00:01:56.040] 第三点,起球,曹芳习惯从身体的中部起球,右肩上出手,起球到头部时,
[00:01:56.220 --> 00:01:58.040] 手肘有明显的内收习惯。
[00:01:58.060 --> 00:02:01.020] 第二点,双肘的间距较小,这能使发力更集中。
[00:02:01.300 --> 00:02:06.380] 同时投篮手肘部与腕部呈一条直线对准篮筐,形成较稳定的直线发力。
[00:02:06.800 --> 00:02:13.700] 曹芳使用的是右手肩上投篮,她投篮侧身的站姿,将右肩放在了视觉中心,头部保持正对篮筐。
[00:02:14.080 --> 00:02:16.680] 这能保证投球方向与瞄准方向的一致。
[00:02:18.680 --> 00:02:25.720] 第四点,发力出手,曹芳使用的是高肘部投篮,也就是在抬球点肘部的高度,大于肩部的高度。
[00:02:25.820 --> 00:02:27.280] 提高了上肢的发力点。
[00:02:28.060 --> 00:02:32.140] 抬球点会有明显停顿,高肘部投篮的发力方向是从后往前。
[00:02:32.500 --> 00:02:35.100] 投篮弧度略低,在远距离的表现不稳定。
[00:02:35.540 --> 00:02:41.640] 曹芳跳投的上肢发力较多,主要通过顶肘部甩小臂,手腕主动发力前取将球投出。
[00:02:41.980 --> 00:02:49.180] 而手指是相对放松的,压腕柔和且幅度较大,她主要是用食指,中指与无名指,这三指来播球。
[00:02:49.580 --> 00:02:54.740] 第五点,投篮辅助手,曹芳的投篮辅助手,有明显的向前跟随的习惯。
[00:02:54.740 --> 00:02:58.540] 这能帮助她固定投篮线路,使投篮弹道更加稳定。
[00:02:58.960 --> 00:03:03.640] 曹芳的跳投具有很强的抗防守干扰性,她的跳投技术已相当成熟。
[00:03:03.980 --> 00:03:12.100] 但维持其稳定性的难度较大,她的跳投需要较强的核心力量,良好的身体协调性,以及充沛的体能等作为基础。
[00:03:12.380 --> 00:03:17.840] 在赛场上曹芳的投篮是有神经刀的表现,但谁又能拒绝这般美如画的跳投呢?
