# Transcript: douyin_7360524758594653503

- URL: https://www.douyin.com/video/7360524758594653503
- Title: 7216 沉肩坠肘！像像杜兰特/库里一样顺滑起球出手 #投篮教学 #发力矫正 #waveball
- Published at: 2024-04-22 11:15:17+0800
- Generated at: 2026-06-12T17:40:09.579184+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:03.700] 在投篮时如何像库里·杜兰特一样顺滑地起球出手?
[00:00:03.960 --> 00:00:06.820] 本期视频就通过学员的私教案例呈现相关内容。
[00:00:07.220 --> 00:00:12.440] 很多人在持球时就会出现耸肩、肘部明显外翻、上肢紧张僵硬的情况。
[00:00:12.800 --> 00:00:26.340] 在这样的状态下,他们在投篮起球的阶段会出现肘部外翻带长肩关节的外展,肩关节会出现卡顿,阻碍下肢核心力量的同步向上传导,同时肩肘腕难以直线对位,影响到方向的稳定控制。
[00:00:26.340 --> 00:00:31.320] 视频是对马来西亚前国青球员的发力矫正,他的投篮也存在上述问题。
[00:00:31.660 --> 00:00:34.460] 我们的解决办法可以总结为四字经要沉肩坠肿。
[00:00:37.820 --> 00:00:40.360] 首先要求他直臂感受肩膀的放松摆动。
[00:00:43.980 --> 00:00:46.980] 之后直臂转化为屈臂同时持球进行摆动。
[00:00:47.360 --> 00:00:50.480] 此时他的感受是摆到面部,肩部就被卡住了。
[00:00:50.660 --> 00:00:56.320] 持球后他肩部开始紧张,两肩架了起来,这里就要求他在意识上强化沉肩坠肿。
[00:00:56.340 --> 00:00:59.600] 肩往前,肩往前,肘往前的感觉,对。
[00:01:00.020 --> 00:01:03.560] 不用假那么你只是有意识地接近身体,不用完全假死。
[00:01:04.400 --> 00:01:08.380] 不用假死,摆上去摆到额头,你目标是摆到额头,对。
[00:01:09.020 --> 00:01:10.540] 目标摆到,这是放松的呀。
[00:01:10.780 --> 00:01:12.840] 板腹的持球摆臂建立本体感受。
[00:01:13.280 --> 00:01:20.220] 在起球上摆中,肩甲骨放松下沉,至于身体的前方,而手肘的肘尖始终保持朝下,不要向外。
[00:01:20.360 --> 00:01:25.940] 摆动到大约肩肘平行,篮球接近额头前时,肩肘带动手腕顺势主动发力。
[00:01:26.340 --> 00:01:33.180] 这能让肩、肘、腕三关节更自然地对位,更好让上肢与躯干结合,顺畅地形成整体力量。
[00:01:44.620 --> 00:01:48.940] 如果双手持球的起球做起来有难度,可以转换到用腹助手持球。
[00:01:49.060 --> 00:01:53.540] 向身体中线合球找投篮手的形式,全程保持沉肩坠肘的要力。
[00:01:56.340 --> 00:02:01.690] 并并放松的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓展的拓
