# Transcript: douyin_7084811665971105028

- URL: https://www.douyin.com/video/7084811665971105028
- Title: 2.4万 “模板林书豪”华裔美式后卫沃尔特·林技术解析—投篮篇 #投篮教学 #林书豪 #waveball
- Published at: 2022-04-10 11:27:40+0800
- Generated at: 2026-06-12T18:07:43.041529+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.620 --> 00:00:06.040] 沃尔特林,他是我最喜欢的华裔球员,他从小学起就跟随德文威廉姆斯训练。
[00:00:06.480 --> 00:00:17.140] 现在他在NCAA三级联盟打球,虽然他的身高只有178厘米,但他在赛场上十分高效,他是一个优秀的射手,同时也是一个狡猾的篮下终结者。
[00:00:17.540 --> 00:00:24.380] 他最大的优势是他的篮球智商,他有着非常强大的控场能力,能从容地应对紧逼防守,多人包夹。
[00:00:24.380 --> 00:00:30.940] 我们将从投篮、传球、篮球智商三个方面,分两期视频,对沃尔特林进行解析。
[00:00:31.380 --> 00:00:33.520] 本期视频重点将解读他的投篮。
[00:00:33.980 --> 00:00:44.740] 沃尔特林拥有着一手相当标准的跳投,无论是中距离,还是三分他都以同样的方式投篮,沃尔特林的投篮总是保持着平衡,发力的平衡,身体的平衡。
[00:00:45.200 --> 00:00:51.900] 在比赛中你会看到他无视防守的干巴跳投,充满侵略性的刺探步跳投,急停拉回后的跳投。
[00:00:54.380 --> 00:00:56.380] 防守贴脸的跳投。
[00:00:56.380 --> 00:00:58.380] 后撤步的关键球。
[00:00:58.380 --> 00:01:00.380] 即使是经济独立式的三分,他都是保证身体平衡状态下的出手。
[00:01:00.380 --> 00:01:02.380] 如果你想增加跳投的稳定性,请保持每次投篮动作的一致性以及发力的平衡,身体的平衡。
[00:01:02.380 --> 00:01:04.380] 在比赛中大多数投篮机会都来自接球投篮。
[00:01:04.380 --> 00:01:06.380] 当你还未接到传球时,就要随时做好投篮准备,准备好你的技术。
[00:01:06.380 --> 00:01:08.380] 在比赛中大多数投篮机会都来自接球投篮。
[00:01:08.380 --> 00:01:22.380] 当你还未接到传球时,就要随时做好投篮准备,准备好你的技术。
[00:01:22.380 --> 00:01:29.200] 做好投篮准备,准备好你的接球手型,准备好你的投篮脚步,最重要的是你的心态要准备好。
[00:01:29.580 --> 00:01:36.080] 投篮脚步可以是双脚的跳步,当你接球的同时进行小跳步,这是最快速的衔接投篮的脚步。
[00:01:36.520 --> 00:01:41.560] 跳步投篮能让你在比赛中获得更多出手机会,你也可以使用一二步衔接投篮。
[00:01:41.960 --> 00:01:45.480] 这比跳步投篮要慢一秒左右,但它可以更充分的瞄准。
[00:01:45.860 --> 00:01:47.880] 在比赛中这两种步伐你都要掌握。
[00:01:52.380 --> 00:01:59.200] 很多时候你需要无球跑动,或者利用队友的掩护,来获得空位投篮的机会。
[00:02:05.140 --> 00:02:11.100] 这就是本期沃尔特林投篮部分的内容,下期我们将继续解读它的传球与篮球智商。
