# Transcript: douyin_7190995728481717559

- URL: https://www.douyin.com/video/7190995728481717559
- Title: 6998 足弓支撑，脚趾发力！再议顶级射手脚下的发力 #投篮教学 #库里 #汤普森 #雷阿伦
- Published at: 2023-01-21 14:56:03+0800
- Generated at: 2026-06-12T17:56:24.070644+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:10.940] 注意看,这是大多数人投篮时,脚下存在的发力问题,双脚触地后没有积极的蹬地,还在持续屈膝蓄力,踝关节的伸展之后,脚下是被动的蹬身。
[00:00:11.400 --> 00:00:19.220] 这样的发力模式,下肢伸展较慢,上下肢难以协同发力,存在手快脚慢、发力脱节的问题,发力效率较低。
[00:00:19.220 --> 00:00:33.600] 我们在观察库里,汤普森、雷阿伦投篮起跳时,都会把脚下的发力放在第一位,脚下是主动的蹬地启动向上的发力,更多的利用筋膜系统的张拉弹性,轻松的衔接上至发力,发力效率较高。
[00:00:33.980 --> 00:00:38.400] 想拥有顶级射手一样的下肢发力,关键就需要解决脚下的问题。
[00:00:38.860 --> 00:00:42.060] 本期视频将从根源解决投篮中脚下发力的问题。
[00:00:42.360 --> 00:00:49.160] 第一点,很多人投篮蓄力时,是用整个脚掌支撑,不会用足弓支撑,抬起脚跟主要靠足弓支撑。
[00:00:49.680 --> 00:00:53.540] 足弓决定了你的身体,是否拥有良好的动态平衡能力。
[00:00:53.880 --> 00:01:01.540] 足弓功能正常的这类人,就需要再蓄力使用足弓支撑身体,这能加速下肢的爆发同时更多的利用筋膜的弹性。
[00:01:01.940 --> 00:01:10.240] 而大多数扁平足与高弓足的人群,动态平衡能力较弱,难以抬起脚跟,用足弓支撑身体,同时足部的弹性也较弱。
[00:01:10.640 --> 00:01:14.640] 这类人群就需要加强足部的力量,先恢复足弓的正常功能。
[00:01:14.940 --> 00:01:18.580] 第二点也非常关键,很多人能抬起脚跟支撑身体,
[00:01:18.580 --> 00:01:27.800] 但却没有做到脚下的主动蹬地,发力效率也会大打折扣,脚下蹬地时需要脚趾主动发力,就像猎豹奔跑时一样用脚趾抠地。
[00:01:28.220 --> 00:01:31.480] 足底共有19条肌腱,有18条都与脚趾相连。
[00:01:31.940 --> 00:01:36.480] 脚趾主动发力能激活从脚掌、脖绳肌到臀肌肌群的肌肉动力链。
[00:01:36.900 --> 00:01:43.720] 我们投篮蓄力时首先向下蓄力,足底肌群发力,足弓支撑身体,足弓被压低后会快速回弹。
[00:01:43.920 --> 00:01:47.180] 此时需要快速衔接向下的蹬地,顺势起跳,
[00:01:47.180 --> 00:01:53.480] 这也就是我们的脚趾主动抠地的动作,脚趾的蹬地会形成一个杠杆,撬动身体向上。
[00:01:53.840 --> 00:02:00.740] 汤普森曾在他的投篮教学中就曾谈到,投篮就像倒流的瀑布,从你的脚趾发力,顺势流淌,一直到出手。
