# Transcript: douyin_7576855772332608774

- URL: https://www.douyin.com/video/7576855772332608774
- Title: 3.6万 为何训练准，强度实战拉？ 此视频揭开了国内很多球员的共性问题，曾被下架，李添荣、林葳、廖三宁……与优秀射手上肢结构的决定性差异。#waveball #投篮教学 #发力矫正 #林葳 #李添荣
- Published at: 2025-11-26 10:30:06+0800
- Generated at: 2026-06-12T16:35:07.260425+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:08.840] 这是一期内容过于敏感,曾被下架的视频,它揭开了传统投篮教学里长期存在,却很少有人正面讨论的问题。
[00:00:09.140 --> 00:00:17.600] 它与近期本频道更新的林薇的投篮揭示了一些共性问题,本期再次将视频发出,做一次复盘,进一步为大家解惑。
[00:00:18.120 --> 00:00:25.680] 第一次发布此视频时,李天荣是CBA常规赛三分命中率排名第一的球员,命中率为46.7%。
[00:00:25.680 --> 00:00:31.000] 我还特地去了CBA全明星三分大赛的现场,观赛李天荣的投篮表现。
[00:00:31.380 --> 00:00:39.780] 李天荣的投篮兼具了动作姿态的流畅性与实战的相对稳定性,但他上肢的发力结构也限制了他投篮的上限。
[00:00:40.260 --> 00:00:49.460] 首先,李天荣的投篮是先跳再投的模式,比较充分地利用了下肢与躯干发力率先建立的速度与角度,具备抗防守干扰的优势。
[00:00:49.780 --> 00:00:53.980] 向后的角度与向上的速度为上肢的精准控制提供了基础保障。
[00:00:53.980 --> 00:01:09.240] 而国内职业球员普遍还是先起球再登地,相对低效的发力模式,此问题不负赘述,可参见往期视频。
[00:01:09.660 --> 00:01:16.580] 其次,李天荣具有较好的跑跳基础,下肢怀息宽的发力完整高效,保证了重心的稳定与身体的平衡。
[00:01:16.900 --> 00:01:22.660] 尤其是在他投篮时,髋关节胸椎的自然旋转,能相对流畅地完成力量的传导,
[00:01:23.000 --> 00:01:23.960] 最后呈现出全力的发力。
[00:01:23.980 --> 00:01:26.400] 李天荣的上肢趋干向后,腿部自然浅摆的姿态。
[00:01:26.900 --> 00:01:33.140] 很多人投篮发力僵硬卡顿,大多是由于缺乏或没有协调好,上下肢在水平面的旋转发力。
[00:01:33.720 --> 00:01:35.820] 最后是李天荣投篮的上肢部分。
[00:01:36.440 --> 00:01:42.320] 李天荣投篮时,下肢趋干都是侧向的方式,但他的上肢持球是偏正腕正肘的模式,
[00:01:42.660 --> 00:01:46.740] 这样的结构下就会发生在起球时篮球远离身体的问题。
[00:01:47.300 --> 00:01:51.820] 这会削弱整体向上发力的效率,会增加被防守切球或干扰的风险。
[00:01:51.980 --> 00:01:53.400] 同时,起球过程中,
[00:01:53.400 --> 00:01:58.520] 篮球也会落到手掌的外侧,在发力时就会出现手腕的发力方向是从右向左。
[00:01:59.040 --> 00:02:03.640] 而手肘伸展时小臂是悬前的过程,发力方向是从左往右,
[00:02:04.020 --> 00:02:07.500] 他的投篮会出现腕关节与肘关节发力方向的偏差。
[00:02:07.960 --> 00:02:11.860] 在相对慢速的投篮中,还可以刻意控制发力顺序,
[00:02:12.020 --> 00:02:17.680] 手肘发力在先,手腕发力在后,一定程度上削弱方向不一致的负面影响。
[00:02:17.880 --> 00:02:20.580] 但在高速投篮或被高强度防守下,
[00:02:20.900 --> 00:02:23.080] 这样的上肢结构就会对力量的传导,
[00:02:23.080 --> 00:02:25.960] 方向的控制产生较大的负面影响。
[00:02:33.060 --> 00:02:37.680] 再次复盘,从数据上也一定程度能验证这一结构的脆弱性。
[00:02:38.080 --> 00:02:43.120] 常规赛46.7%的三分命中率跌落到季后赛28.6%的三分命中率,
[00:02:43.620 --> 00:02:46.700] 在高对抗,高速度环境下出现了明显下滑,
[00:02:47.140 --> 00:02:49.020] 这也是国内很多球员的共性问题。
[00:02:53.080 --> 00:03:00.000] 此环节我们可以参考NBA三分王库里与CBA三分王朱芳宇,
[00:03:00.240 --> 00:03:02.300] 他们投篮的上肢结构存在共性,
[00:03:02.560 --> 00:03:07.160] 他们都是侧腕持球的形式,在最后发力阶段,篮球落在手掌的内侧。
[00:03:07.420 --> 00:03:12.020] 肘关节与腕关节都是从左向右的同向发力,上肢结构更加稳定。
[00:03:12.280 --> 00:03:18.160] 而与李天荣投篮模型更为接近的德温布克也同样是手肘与手腕同向发力的模式。
[00:03:18.420 --> 00:03:21.500] 一旦你真正理解这些结构逻辑,你会发现,
[00:03:21.760 --> 00:03:22.780] 投篮优化调整从来不一样,
[00:03:23.080 --> 00:03:27.140] 投篮不是改动作,而是让身体回到最自然最高效的发力方式。
