# Transcript: douyin_7206256014004374840

- URL: https://www.douyin.com/video/7206256014004374840
- Title: 9104 投篮问题严重限制了CBA准状元的发展上限！邹阳投篮问题深度解析与解决方案 #投篮教学 #邹阳
- Published at: 2023-03-03 17:53:46+0800
- Generated at: 2026-06-12T17:53:48.961865+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:10.680] 在前期的视频中本频道对邹阳的投篮做出了简要分析,但很多人仍然坚持怎么舒服怎么投的观念,认为他的手肘外翻、手腕扭曲对投篮稳定性影响不大。
[00:00:11.060 --> 00:00:14.020] 本期视频就将对邹阳的投篮问题做出深度分析。
[00:00:14.480 --> 00:00:20.540] 邹阳身高198厘米,臂展达到了213厘米,同时也拥有着较出色的动态天赋。
[00:00:20.900 --> 00:00:27.760] 在上赛季CUBA球员中,综合实力排名第一,但他的投篮问题却严重限制了他的发展上限。
[00:00:27.760 --> 00:00:37.520] 上赛季他的三分球命中率仅为26.7%,邹阳极少尝试中距离的跳投,主要以篮下得分为主,在罚球线上的表现也不够稳定。
[00:00:37.940 --> 00:00:44.300] 邹阳投篮发力的整体节奏是,陈球与降重心同步,蹬地的同时起球,上下之势协同发力。
[00:00:44.680 --> 00:00:47.720] 整体发力的模式是比较符合现代篮球的发展。
[00:00:48.080 --> 00:00:55.540] 他的投篮问题主要是在方向性上,他投篮时存在手肘明显外翻、手腕扭曲的情况,导致上肢力线不直,
[00:00:55.540 --> 00:00:57.740] 严重影响到了力量的传导与投篮。
[00:00:57.760 --> 00:01:04.560] 邹阳持球后会将投篮手的小臂做内旋,手腕大幅后驱将手掌贴到篮球的中部。
[00:01:04.860 --> 00:01:09.320] 整个手臂是处于相对紧绷的状态,起球阶段手肘也难以内收。
[00:01:09.660 --> 00:01:16.380] 同时他的辅助手是在篮球的侧上方,向斜下方压迫着投篮手,导致他投篮手手腕进一步扭曲。
[00:01:16.700 --> 00:01:19.140] 篮球的重心落在了偏无名指小拇指一侧。
[00:01:19.380 --> 00:01:24.420] 最终播球也是无名指小拇指一侧主导,频繁出现播球后篮球侧旋的情况。
[00:01:27.760 --> 00:01:34.660] 而我们要保证投篮手的直线发力,用偏十指与中指主导播球,才是最稳定的发力结构。
[00:01:36.660 --> 00:01:42.560] 在本人所修正的千余力投篮案例中,大约有50%的人,也都会出现此类问题。
[00:01:42.980 --> 00:01:47.760] 我们主要从两个方面来解决,第一方面是强化投篮手的单手直线投篮能力。
[00:01:48.020 --> 00:01:53.640] 第二方面是弱化辅助手在投篮过程中的发力,辅助手主要起到扶球与弹道跟随的作用。
[00:01:53.800 --> 00:01:55.680] 共三种针对性训练方法。
[00:01:55.920 --> 00:01:57.700] 第一种是在罚球线的单手投篮。
[00:01:57.760 --> 00:01:59.660] 在这种练习中,只用投篮手单手投篮。
[00:02:00.020 --> 00:02:01.440] 辅助手完全不参与投篮。
[00:02:01.880 --> 00:02:08.340] 单手投篮能迫使你手肘内收,投篮手平衡持球,需要注意的是头部不要歪斜,两肩保持等高。
[00:02:11.900 --> 00:02:17.120] 第二种是辅助手只与篮球一侧不出球,也就是用辅助手来瞄准篮筐同侧。
[00:02:17.500 --> 00:02:19.480] 同是投篮手单手完成直线投篮。
[00:02:19.900 --> 00:02:26.420] 第三种训练方法,辅助手只用掌心出球,手指不出球,同样用辅助手来瞄准篮筐同侧。
[00:02:26.580 --> 00:02:27.540] 投篮手单手完成直线投篮。
[00:02:27.540 --> 00:02:28.540] 投篮手单手完成直线投篮。
[00:02:28.960 --> 00:02:34.580] 在您每次投篮训练的第一项安排次训练环节,时长约在30分钟,也可增加难度。
[00:02:34.820 --> 00:02:41.080] 每次做成完整的投篮动作,坚持约十次训练后,上至投篮力线不正的问题会得到明显改善。
