# Transcript: douyin_7336400298631613723

- URL: https://www.douyin.com/video/7336400298631613723
- Title: 3646 抖腕的真相！库里的投篮发力与传统武术“通背拳” #投篮教学 #库里 #通背拳 #waveball
- Published at: 2024-02-17 11:00:03+0800
- Generated at: 2026-06-12T17:41:38.114010+00:00
- ASR: mlx-whisper
- Model: mlx-community/whisper-large-v3-mlx

[00:00:00.000 --> 00:00:04.560] 库里的投篮发力与中国传统武术、通配拳的发力是非常相似的。
[00:00:04.920 --> 00:00:08.940] 近期网络上又兴起了关于投篮中抖腕、上支弹抖发力的讨论。
[00:00:09.260 --> 00:00:15.060] 留言也收到不少催更相关主题的,本视频就再次以库里为例对抖腕进行全面总结。
[00:00:15.440 --> 00:00:16.660] 那么到底什么是抖腕?
[00:00:17.060 --> 00:00:20.840] 在一些投篮教学中,会把快速且具有爆发性的压腕称为抖腕。
[00:00:21.180 --> 00:00:23.980] 把抖腕作为一种投篮出手技术是不准确的。
[00:00:23.980 --> 00:00:29.480] 例如库里投篮出手后手掌与手指会柔和地抖动,但手臂、手腕相对是稳定。
[00:00:29.800 --> 00:00:33.600] 手掌与手指的抖动是投篮出手后的一种视觉效果。
[00:00:33.940 --> 00:00:39.380] 抖腕一词让很多人产生了误会,有些人去效仿时,重点放在了上支主导的快速发力。
[00:00:39.680 --> 00:00:47.480] 没有做到整体的联动发力,投篮出手后会产生手臂、手腕的抖动,但这会导致对球的控制削弱,出手很不稳定。
[00:00:47.880 --> 00:00:51.020] 像库里投篮出手后的手部抖动是如何形成的呢?
[00:00:51.020 --> 00:00:55.700] 库里的投篮发力与中国传统武术、通背拳的发力是非常相似的。
[00:00:56.000 --> 00:00:59.260] 我们先听听通背拳传人戈武元对于通背拳发力的总结。
[00:01:15.360 --> 00:01:20.780] 而库里投篮发力的方式则可以总结为脚下启动、加宽爆发、加甩臂压腕。
[00:01:21.020 --> 00:01:26.820] 力量从脚掌向上逐渐传递叠加,最后通过顶肘甩臂、快速爆发性的压板将球投出。
[00:01:27.160 --> 00:01:32.960] 出手是由于瞬间的爆发力,通过相对放松状态下的手掌手指,形成了手部的揉和抖动。
[00:01:33.360 --> 00:01:37.740] 如果你要学习库里快速流畅的投篮发力,那么需要注意以下三点。
[00:01:37.940 --> 00:01:41.180] 第一,库里投篮的下肢发力,以宽爆发为主。
[00:01:41.180 --> 00:01:56.420] 他在陈球屈膝幅度较小,可以在高重心状态下轻松出手。
[00:01:56.660 --> 00:02:05.280] 很多人在投篮时存在宽爆发不足,总是通过过度屈膝前跪,加压大腿前侧肌群来发力,这会导致手快脚慢,发力不流畅。
[00:02:05.660 --> 00:02:09.780] 第二点,力从地起,踝关节作为发力时与地面的第一力传导点。
[00:02:09.820 --> 00:02:11.160] 对于下肢三伸展。
[00:02:11.180 --> 00:02:12.140] 这种力从地起的发力是非常重要的,因为上肢的发力是非常重要的。
[00:02:12.440 --> 00:02:17.640] 很多人脚下的发力是被上肢带动的登身,启动速度与整体的爆发力都会大大折扣。
[00:02:17.960 --> 00:02:23.600] 这就需要建立脚下主动发力的意识,同时加强对足踝力量与足踝刚性的专项训练。
[00:02:23.960 --> 00:02:28.860] 第三点,库里的投篮过程中,上肢是相对放松的,大臂小臂手流性连接。
[00:02:29.220 --> 00:02:37.360] 整个发力过程快速流畅没有停顿,有些人由于下肢力量的不足或发力脱节,只能通过上肢力量带长,会出现手臂过度用力。
[00:02:37.360 --> 00:02:43.140] 手臂僵硬的情况,达不到快速甩臂的放松状态,这也会增加对方向的控制难度。
